serial_timesteps,ep_len_mean,value_loss,clipfrac,ep_reward_mean,policy_loss,policy_entropy,total_timesteps,n_updates,true_reward,time_elapsed,approxkl,fps,explained_variance
78000,26.89,0.00019897419,0.08909,1.6949525513499974,-0.0062412377,1.4248329,7800000,156,0.065833926,525.1638112068176,0.007044741,15173,0.9997790588531643
78500,32.05,0.00018961655,0.085106,2.109479629844427,-0.0059293467,1.4110498,7850000,157,0.06595393,529.027811050415,0.006749151,18352,0.9997880338050891
79000,27.84,0.0043050568,0.11246202,1.8146002979576588,-0.0065081166,1.4062141,7900000,158,0.06685444,532.3402936458588,0.008819994,17021,0.9949750350788236
79500,33.44,0.00043199197,0.088066004,2.168514839708805,-0.0069717076,1.3881916,7950000,159,0.06731983,535.8397114276886,0.006980132,15282,0.9993966366746463
80000,31.45,0.00021949159,0.08556198,2.005078052729368,-0.005499714,1.3668959,8000000,160,0.066853404,539.5221476554871,0.0068522017,18446,0.9997405917674769
80500,29.18,0.00021955564,0.087680005,1.921611942946911,-0.005220428,1.3446136,8050000,161,0.0682898,542.7060005664825,0.0069593256,16978,0.99975181024638
81000,30.87,0.00019301687,0.087614015,2.116139477491379,-0.006163612,1.3168743,8100000,162,0.06810646,546.1240665912628,0.0070166164,17775,0.9997815915266983
81500,28.76,0.00087948045,0.10622202,1.969652931317687,-0.0056694136,1.3050301,8150000,163,0.068897836,549.5050957202911,0.008431003,17091,0.9988499770406634
82000,30.45,0.00019581901,0.087482,1.9438891027867795,-0.005639606,1.2763249,8200000,164,0.06897629,553.0492563247681,0.007007679,15869,0.9997736331861233
82500,28.67,0.00019836798,0.089679986,1.831556479409337,-0.005740541,1.2513658,8250000,165,0.0699813,556.7140309810638,0.0071294634,16359,0.9997717379301321
83000,28.23,0.0015223713,0.096654005,1.7603503307700157,-0.00484066,1.2414829,8300000,166,0.06794969,560.325941324234,0.0076560588,16996,0.9980800495250151
83500,32.39,0.0020100619,0.104903996,2.081704807430506,-0.0050817127,1.2344608,8350000,167,0.0683952,563.8467903137207,0.008259188,16935,0.9974591732025146
84000,27.23,0.0032504236,0.10387404,1.791925829425454,-0.006518651,1.2385705,8400000,168,0.0682573,567.3766570091248,0.00799598,16783,0.9959222911857069
84500,30.56,0.0003533569,0.086052015,2.066553741842508,-0.0055528586,1.2312235,8450000,169,0.0692962,570.7648770809174,0.00679996,18943,0.9995711987139657
85000,30.82,0.0017169794,0.108481996,2.002240686491132,-0.0050692265,1.2120607,8500000,170,0.06899613,573.768538236618,0.008393638,19018,0.9978916780091822
