approxkl,total_timesteps,ep_len_mean,serial_timesteps,value_loss,explained_variance,fps,true_reward,ep_reward_mean,policy_entropy,clipfrac,time_elapsed,policy_loss,n_updates
0.003520621,50000,34.27,500,306.74875,0.0036093592643737793,7943,-0.6070761,-3.8774920345295665,5.6875334,0.032123994,0.021704912185668945,-0.0054911375,1
0.003359368,100000,38.87,1000,297.28833,0.01565539836883545,8074,-0.6595852,-10.731571270310978,5.692056,0.027752005,7.1116273403167725,-0.003701065,2
0.0029645406,150000,35.84,1500,345.64548,0.022416234016418457,7867,-0.6293073,-7.7553373375886085,5.673514,0.02155,13.982210636138916,-0.0047250227,3
0.002878227,200000,41.68,2000,247.286,0.0349576473236084,7872,-0.52667075,-5.400066795736024,5.6622605,0.024112001,20.925324201583862,-0.0042989235,4
0.003016245,250000,41.63,2500,368.81918,0.039051055908203125,7940,-0.65305835,-9.894404760016656,5.659485,0.021028,27.91072130203247,-0.0034393927,5
0.0031069038,300000,37.99,3000,266.51694,0.05298537015914917,7918,-0.56182486,-13.618356676533493,5.655906,0.024440002,34.835180044174194,-0.0036902651,6
0.0031754575,350000,37.45,3500,179.12262,0.06856894493103027,7965,-0.46465856,-11.102891545624969,5.6707892,0.024633994,41.667630672454834,-0.003564078,7
0.0029136594,400000,33.84,4000,266.06427,0.06759649515151978,7898,-0.58234024,-9.979005326781559,5.67404,0.021041999,48.505037784576416,-0.0036798755,8
0.002989387,450000,37.9,4500,216.96562,0.07789689302444458,8116,-0.5053636,-13.425258484398325,5.6690383,0.021428,55.3026921749115,-0.0035063773,9
0.0029974484,500000,36.63,5000,254.13435,0.08104437589645386,7949,-0.5173894,-4.362883080067969,5.673576,0.019656,61.91964149475098,-0.0029539985,10
0.0028585193,550000,38.14,5500,261.11026,0.08634310960769653,7993,-0.53879756,-9.064222196933969,5.6734686,0.02037,68.72392463684082,-0.003523551,11
0.0022180798,600000,38.49,6000,276.63568,0.0900680422782898,8143,-0.5380333,-9.480006645266984,5.670037,0.012584,75.46636319160461,-0.0028045536,12
0.002194172,650000,38.74,6500,216.59872,0.1030956506729126,8035,-0.4589406,-7.598674694894704,5.6645074,0.012946,81.81953239440918,-0.00274095,13
0.0025734117,700000,40.4,7000,204.19603,0.11026382446289062,8071,-0.4630775,-2.2511269278059114,5.668583,0.018271998,88.59637188911438,-0.0031505325,14
0.002521008,750000,31.77,7500,183.78343,0.1279822587966919,8030,-0.43098265,-5.940633094568577,5.673105,0.018254,95.37880420684814,-0.0034074166,15
0.0020582548,800000,38.31,8000,236.88055,0.12906235456466675,8268,-0.4632053,-1.7986393910812253,5.6854057,0.010960001,102.23272800445557,-0.0023851863,16
0.0023099373,850000,38.25,8500,266.8754,0.11878514289855957,7918,-0.51131415,-3.624523279442592,5.691955,0.016619999,108.79011750221252,-0.0030293271,17
0.0024627636,900000,37.8,9000,160.34901,0.160405695438385,7796,-0.42350405,-3.7642707565660243,5.710707,0.01731,115.47666621208191,-0.0037003728,18
0.0026282927,950000,36.84,9500,230.69473,0.14096111059188843,7777,-0.5111968,-5.896219921521245,5.714081,0.017315995,122.5186357498169,-0.0032391576,19
0.0021573212,1000000,38.23,10000,153.33705,0.16919994354248047,8056,-0.4125783,-1.0419439662892074,5.715357,0.013554002,129.33256340026855,-0.0028198576,20
0.002132803,1050000,32.32,10500,136.28214,0.20095735788345337,7764,-0.37936875,-3.0824905126736737,5.719445,0.013228,136.0512776374817,-0.0030945146,21
0.0020000236,1100000,41.02,11000,201.46959,0.17412185668945312,7946,-0.4609972,-2.4322718494341986,5.7290287,0.012443999,142.90505862236023,-0.0026420248,22
0.002694909,1150000,36.9,11500,190.02092,0.17894834280014038,8047,-0.43809077,-2.858303941053702,5.7332726,0.018889997,149.56313395500183,-0.0036050978,23
0.0019519785,1200000,35.33,12000,122.11444,0.2346438765525818,8280,-0.34421644,-6.743721987404423,5.7335997,0.010818,156.2612714767456,-0.0024900823,24
0.0025776553,1250000,35.39,12500,148.5433,0.2095181941986084,7689,-0.395846,-1.6078323510435673,5.7346177,0.018228002,162.79522442817688,-0.0030803978,25
0.0020601146,1300000,35.65,13000,193.24861,0.20515888929367065,7968,-0.45581746,-2.406285353623864,5.7400374,0.011409999,169.73443746566772,-0.0027413706,26
0.0021201135,1350000,35.61,13500,173.9326,0.21597427129745483,7728,-0.44136167,-2.2234159462400607,5.7376976,0.014257998,176.38710403442383,-0.003017893,27
0.0021895259,1400000,41.68,14000,144.18141,0.2571738362312317,7933,-0.35764474,-7.53761221430312,5.7408814,0.013257997,183.4082772731781,-0.0028191074,28
0.0019602885,1450000,37.95,14500,212.13039,0.20792877674102783,7725,-0.41860974,-3.1255551413478577,5.7410736,0.011556,190.30272889137268,-0.0031366802,29
0.0019475452,1500000,38.03,15000,157.97581,0.2401193380355835,8021,-0.36978114,-4.439581152839946,5.7420783,0.011973999,197.2833068370819,-0.0029166876,30
0.0025068603,1550000,37.38,15500,127.292854,0.2737228274345398,8068,-0.3634654,-5.5752646549220755,5.7469854,0.018573998,203.93662977218628,-0.003413725,31
0.0023612627,1600000,40.27,16000,190.14618,0.247857928276062,8326,-0.41837806,-4.657187191631778,5.7466283,0.016060002,210.68567371368408,-0.0034950112,32
0.0021722037,1650000,35.63,16500,106.26162,0.30462032556533813,8301,-0.3281022,0.9968016580781736,5.7487745,0.013751998,217.29961252212524,-0.0028591456,33
0.0014674726,1700000,37.78,17000,148.56175,0.2850218415260315,8222,-0.39746663,-1.9568060743157685,5.757829,0.0067699994,223.85051035881042,-0.0020946055,34
