ep_len_mean,policy_loss,serial_timesteps,clipfrac,n_updates,explained_variance,true_reward,approxkl,ep_reward_mean,fps,value_loss,total_timesteps,time_elapsed,policy_entropy
38.13,-0.0026277164,17500,0.012128,35,0.11787480115890503,1.3363003,0.0019114104,101.02173448185204,8096,3985.5981,1750000,230.24144792556763,5.340696
46.75,-0.0029286388,18000,0.017276,36,0.11621731519699097,1.3868456,0.0024314406,116.60604781043483,7756,4145.017,1800000,237.02021503448486,5.326658
39.31,-0.0028846746,18500,0.015384,37,0.12378662824630737,1.2876203,0.002476147,102.6531297820434,7841,4015.4355,1850000,243.88044953346252,5.3132033
42.17,-0.0030513527,19000,0.013225998,38,0.12557220458984375,1.3711733,0.0021147546,48.80486532678653,7867,3905.4963,1900000,250.83909678459167,5.3034406
43.59,-0.0034914187,19500,0.019743998,39,0.13304126262664795,1.2304174,0.002650391,109.44803628900146,7645,4068.6377,1950000,257.72803807258606,5.2995086
40.49,-0.0034571053,20000,0.019012,40,0.13326114416122437,1.5653285,0.0027349538,101.26192827238236,7920,4251.246,2000000,264.8000497817993,5.2933083
40.82,-0.002883328,20500,0.013115998,41,0.13640046119689941,1.491895,0.0021423057,75.92020726579358,8294,4254.315,2050000,271.7187702655792,5.286384
41.84,-0.0030462912,21000,0.014635998,42,0.14008009433746338,1.6615345,0.0024828815,94.95701290663347,8103,4350.493,2100000,278.33328890800476,5.285922
38.75,-0.0029267818,21500,0.016136002,43,0.14281529188156128,1.7641536,0.0025399115,95.83930008334806,8295,4304.252,2150000,284.95535039901733,5.280094
41.18,-0.003049883,22000,0.015930003,44,0.14887690544128418,1.34588,0.0024020749,115.35895127665485,8006,4612.431,2200000,291.54701375961304,5.274957
39.24,-0.003086523,22500,0.01619,45,0.15000873804092407,1.4710108,0.0025000072,67.15069888584112,8082,4413.424,2250000,298.3672263622284,5.2661605
44.37,-0.0029057777,23000,0.014356,46,0.15244746208190918,1.6835399,0.002281764,143.66548461517786,8103,4352.806,2300000,305.0297918319702,5.252851
43.43,-0.0031773902,23500,0.015536002,47,0.16092878580093384,1.8986652,0.0022816763,123.15232731078518,8061,4525.3613,2350000,311.6435594558716,5.244563
39.81,-0.0029427055,24000,0.014830002,48,0.16325461864471436,1.8637313,0.0025564048,100.1879355559661,8112,4600.285,2400000,318.3690183162689,5.2387266
41.72,-0.0027058402,24500,0.011318003,49,0.15988695621490479,2.0363061,0.0020179998,138.30123088298248,8099,4844.123,2450000,324.8555600643158,5.230982
45.55,-0.0029865322,25000,0.013178002,50,0.15935248136520386,1.790121,0.0021411343,123.36477115560702,7984,4781.3696,2500000,331.5144181251526,5.225946
45.98,-0.002917977,25500,0.01207,51,0.17179632186889648,1.7834346,0.0021977571,62.35905770208221,7889,4577.019,2550000,338.28340578079224,5.2166123
48.54,-0.0038837842,26000,0.0207,52,0.16980940103530884,2.3822205,0.0029292468,151.8514100409718,7870,4994.983,2600000,345.03518533706665,5.200223
42.09,-0.0035091008,26500,0.019755999,53,0.17424380779266357,2.5507793,0.0026349286,126.52094998651533,7910,5138.8887,2650000,351.82900190353394,5.1920457
47.37,-0.0030948883,27000,0.017266003,54,0.18318045139312744,2.4361537,0.0026601765,156.11463909822515,7934,4769.0186,2700000,358.8815014362335,5.1873264
49.77,-0.0034837208,27500,0.020203996,55,0.18012458086013794,2.3342395,0.0026986334,147.23290433775634,8142,4832.699,2750000,365.6173348426819,5.1815825
42.91,-0.0035727953,28000,0.022592,56,0.19182872772216797,2.5145812,0.0029964468,132.29453469128813,8069,4970.663,2800000,372.3107795715332,5.170216
42.76,-0.0032602774,28500,0.018275997,57,0.18544983863830566,2.3649971,0.0026449796,136.77420097445835,8318,5217.167,2850000,379.05516266822815,5.1599474
42.74,-0.003041597,29000,0.015174002,58,0.18750786781311035,2.2241752,0.0024500436,117.69145663218632,7943,5130.3784,2900000,385.7114119529724,5.148428
48.61,-0.0035802973,29500,0.018088002,59,0.18990164995193481,2.5384293,0.0025463933,187.71617160569753,8065,5330.9663,2950000,392.45474004745483,5.1395664
45.2,-0.0030490307,30000,0.013598001,60,0.197942852973938,2.5670989,0.0022143025,168.54873306019581,7968,5187.2046,3000000,399.0879065990448,5.134703
49.17,-0.0032076165,30500,0.019759998,61,0.202350914478302,2.8131046,0.0025860458,173.47034756358278,7754,5209.3013,3050000,405.98523807525635,5.1290584
45.87,-0.0032031613,31000,0.018184,62,0.20165574550628662,2.604487,0.0026783964,175.71618178204866,8042,5297.635,3100000,413.0345940589905,5.1186614
45.23,-0.0036820641,31500,0.020112002,63,0.20512765645980835,2.3092418,0.0027308858,178.05408814585127,8115,5541.9624,3150000,419.8404076099396,5.106247
50.81,-0.0032974198,32000,0.01747,64,0.20581436157226562,3.0421069,0.0025218395,183.77775976343312,8186,5580.541,3200000,426.60304260253906,5.1012697
50.57,-0.003396471,32500,0.015242001,65,0.20653754472732544,2.7782671,0.0023806228,183.60132674744818,8219,5641.5776,3250000,433.24070405960083,5.0974555
46.77,-0.0033303008,33000,0.016223999,66,0.21220147609710693,2.5906777,0.002395975,159.7582089939795,8017,5442.5444,3300000,439.81377601623535,5.0902376
50.13,-0.0034836521,33500,0.020046003,67,0.2178378701210022,3.38972,0.0028240269,257.4078550540027,8188,5745.709,3350000,446.5293438434601,5.0838614
48.31,-0.003234482,34000,0.013453999,68,0.220458984375,2.7688088,0.0023311856,190.74382054441304,8336,5394.411,3400000,453.23584485054016,5.077066
47.53,-0.0035106323,34500,0.017901996,69,0.21462100744247437,3.1725426,0.002485318,235.82201128160813,8135,5732.4194,3450000,459.6856861114502,5.07294
53.19,-0.0032433677,35000,0.014353996,70,0.2256585955619812,3.2776594,0.002307537,226.33472024629125,8230,5566.0386,3500000,466.19115948677063,5.064294
50.74,-0.0034111144,35500,0.015596002,71,0.22879111766815186,3.159947,0.0024977163,209.83979395953008,8223,5671.4614,3550000,472.8651134967804,5.0468197
50.59,-0.0036250914,36000,0.018488,72,0.22551220655441284,2.7028558,0.0026128502,148.484714034074,8065,5756.533,3600000,479.39441537857056,5.0351944
46.69,-0.0034561777,36500,0.016441999,73,0.23700696229934692,3.3115609,0.0025415882,225.93740700641763,8120,5811.1816,3650000,486.1206364631653,5.025141
45.29,-0.0033414576,37000,0.020002,74,0.2375897765159607,3.0689344,0.0027980667,174.68795621307567,8421,5560.4727,3700000,492.7298617362976,5.010472
43.36,-0.0039304723,37500,0.018718002,75,0.23312538862228394,3.0002677,0.0028030635,173.93927922944363,8345,5701.3535,3750000,499.14078426361084,4.999959
53.66,-0.003609643,38000,0.018951999,76,0.23836290836334229,3.4476175,0.0026369423,285.0731267584488,7923,5824.6313,3800000,505.6365075111389,4.9881377
45.47,-0.0039254297,38500,0.018800002,77,0.24194711446762085,3.055129,0.0027735222,129.52972982208013,8228,5947.05,3850000,512.4981768131256,4.9749794
52.38,-0.0036694673,39000,0.019299999,78,0.24576568603515625,3.253704,0.0026530393,233.8327039226194,8061,5654.83,3900000,519.2416746616364,4.961626
53.03,-0.004182416,39500,0.023846004,79,0.2495969533920288,3.379916,0.0030572081,278.6161564901192,8016,5659.889,3950000,525.8373847007751,4.949032
48.54,-0.0036808776,40000,0.019202,80,0.24645096063613892,3.442845,0.002767443,241.27079190328558,8066,5982.68,4000000,532.5919709205627,4.9368563
45.94,-0.0038463825,40500,0.017666005,81,0.2506421208381653,3.5477738,0.002521979,152.3896209658589,7858,5810.699,4050000,539.3893437385559,4.928863
52.31,-0.003277502,41000,0.017207999,82,0.25698816776275635,2.9659996,0.0025544155,202.32971872046357,8050,5396.5137,4100000,546.3298819065094,4.923376
49.3,-0.0039675124,41500,0.021498,83,0.2564646005630493,3.4674246,0.002917894,185.84204887742467,7980,5879.9077,4150000,553.0074820518494,4.918692
44.33,-0.0038253972,42000,0.019589998,84,0.2603098750114441,3.3803656,0.0027320168,124.57862252311315,8215,6032.2773,4200000,559.7801365852356,4.9094167
48.95,-0.0034074648,42500,0.017621998,85,0.26762884855270386,3.4742842,0.0025108815,249.346660874082,7865,6050.1763,4250000,566.4848258495331,4.897846
47.83,-0.0035622173,43000,0.017210001,86,0.26798897981643677,3.8598711,0.0026241513,277.3539032151829,8040,6112.8354,4300000,573.3500301837921,4.886863
50.58,-0.0042361813,43500,0.023894003,87,0.2754378914833069,3.1656568,0.0030752379,198.89307184675243,7737,5585.692,4350000,580.2024426460266,4.870668
48.64,-0.003493833,44000,0.020181999,88,0.27078908681869507,3.466132,0.0028365003,221.95731528017322,8238,5941.6973,4400000,587.1669878959656,4.860574
51.98,-0.0033379453,44500,0.016382001,89,0.27182453870773315,3.645214,0.0025623683,212.99521001004615,7981,6105.075,4450000,593.672881603241,4.852929
44.44,-0.0034327016,45000,0.017065996,90,0.26952433586120605,3.627675,0.002599639,225.33593367587076,8160,6053.9355,4500000,600.505448102951,4.8445187
51.54,-0.0036132038,45500,0.017423997,91,0.28005164861679077,3.426288,0.0026525166,189.82544998556608,8233,6101.6187,4550000,606.9915866851807,4.8322425
56.35,-0.0038916322,46000,0.020474002,92,0.2852998971939087,3.7649894,0.0028967732,301.55956954850814,8116,6207.7144,4600000,613.4917833805084,4.8201013
51.44,-0.003895855,46500,0.018860001,93,0.2815138101577759,3.602469,0.0026446786,252.10524563994724,8045,6038.09,4650000,619.9221110343933,4.8024244
48.46,-0.0035098905,47000,0.017799996,94,0.293326735496521,3.5639586,0.002717684,218.67881230788072,7907,5847.6167,4700000,626.5040874481201,4.785211
54.33,-0.004156789,47500,0.021122001,95,0.2914202809333801,3.515637,0.0029093986,247.18889214046766,7993,6018.703,4750000,633.5229642391205,4.7770114
42.66,-0.0035020711,48000,0.019908005,96,0.2901555895805359,3.5904303,0.0027823385,191.50750828479883,7940,5899.9805,4800000,640.2889981269836,4.771564
52.35,-0.0041345432,48500,0.022435999,97,0.2952423691749573,3.71674,0.0029056638,233.09753315022303,7892,6227.419,4850000,647.2004659175873,4.7635646
54.17,-0.003903704,49000,0.022732,98,0.2945021986961365,3.916107,0.0028810855,249.81645779445768,8222,6193.3833,4900000,654.0264348983765,4.759233
55.02,-0.0038799935,49500,0.021388,99,0.29429805278778076,3.6641653,0.002712746,254.37161825204268,8182,6052.607,4950000,660.733119726181,4.751959
53.52,-0.0040795524,50000,0.02449801,100,0.2995656132698059,3.9120417,0.0030739852,236.5548741310369,7901,6170.4673,5000000,667.3693740367889,4.7472963
59.97,-0.0037463913,50500,0.015547999,101,0.29468053579330444,3.9534469,0.0024283098,307.132416819724,8091,6501.7686,5050000,674.349415063858,4.7415924
53.03,-0.0038635142,51000,0.020516004,102,0.30502527952194214,3.7857795,0.0028078542,243.2283014972531,7821,6421.938,5100000,681.0454480648041,4.729957
61.4,-0.0041764732,51500,0.020533998,103,0.30862534046173096,4.212094,0.0027218,327.8545855505066,8076,6542.29,5150000,688.0481958389282,4.716341
48.93,-0.0039895275,52000,0.022000004,104,0.31076133251190186,4.4132576,0.002916353,238.7161305484129,7980,6533.123,5200000,694.5945148468018,4.702395
47.35,-0.0043646325,52500,0.026012002,105,0.3098948001861572,3.6840189,0.0031841272,256.54546583914663,7931,6459.5454,5250000,701.08531498909,4.6920357
54.63,-0.004184853,53000,0.024457999,106,0.3090009093284607,4.237836,0.0031540373,342.3511046543003,8068,6701.76,5300000,707.9085121154785,4.6796184
51.44,-0.0044191494,53500,0.021452,107,0.30935877561569214,4.129101,0.0028543842,276.10194651244905,8050,6680.1064,5350000,714.5567097663879,4.670708
55.84,-0.003484002,54000,0.017108,108,0.3187137842178345,4.295914,0.002432677,321.4780073587317,8401,6353.785,5400000,721.3250722885132,4.671793
57.31,-0.003885683,54500,0.017308,109,0.3179541230201721,4.4258676,0.00246946,299.8833722835345,8070,6820.716,5450000,727.916375875473,4.668923
61.5,-0.0033602195,55000,0.01572,110,0.3250073194503784,4.0221014,0.0023571393,322.80615037386536,7948,6333.9487,5500000,734.5329508781433,4.656742
49.74,-0.0038100618,55500,0.020467998,111,0.3204602003097534,4.041481,0.002788222,223.22573960143606,8036,6365.8535,5550000,741.1069819927216,4.6448803
55.54,-0.0039568706,56000,0.022065997,112,0.3228168487548828,4.1991444,0.0029451284,278.0424926703423,8074,6658.6943,5600000,747.7487337589264,4.6314135
55.68,-0.003954606,56500,0.022206001,113,0.326137900352478,4.130615,0.0028889289,304.2130030989135,8024,6307.6387,5650000,754.3765301704407,4.6205153
52.48,-0.003731708,57000,0.020849997,114,0.33139723539352417,4.3547053,0.0027072444,282.6244530987088,8046,6666.707,5700000,761.1498703956604,4.608244
53.95,-0.0041126106,57500,0.021667998,115,0.3353383541107178,4.4491963,0.0029124988,312.46827183278276,8250,6644.922,5750000,767.9967696666718,4.5991664
49.87,-0.0035111178,58000,0.017075997,116,0.3349679708480835,4.247872,0.002447494,277.2557578353793,8206,6719.5137,5800000,774.5491580963135,4.5973434
51.39,-0.0040978887,58500,0.022580003,117,0.34382885694503784,4.1400313,0.0028787479,255.72119190889643,8081,6492.5894,5850000,781.1526091098785,4.5900774
60.18,-0.0043916265,59000,0.025398001,118,0.3368600606918335,4.568032,0.0031667047,322.3640241709002,8045,6632.1763,5900000,787.7390911579132,4.5719385
52.49,-0.004172377,59500,0.023131998,119,0.33939671516418457,4.5827107,0.00302169,281.10274631608974,8284,6719.699,5950000,794.3393409252167,4.552245
56.77,-0.004031939,60000,0.020968001,120,0.339489221572876,4.5272408,0.002887214,332.5241713435715,8143,6536.3506,6000000,800.9047169685364,4.534252
60.74,-0.0040024742,60500,0.021284001,121,0.3465006947517395,4.735283,0.0029802385,292.2767623041873,8293,6729.649,6050000,807.3998641967773,4.521595
48.4,-0.0047471244,61000,0.025730003,122,0.34969383478164673,4.6593685,0.0031910848,278.2849622002989,8299,6781.0566,6100000,813.8037023544312,4.5107656
62.46,-0.0039864774,61500,0.022513997,123,0.3572480082511902,4.655935,0.0029155284,365.4508753473381,8170,6331.5684,6150000,820.4153847694397,4.500635
57.06,-0.0040042107,62000,0.023776002,124,0.3567054867744446,4.337851,0.002909932,280.58065607804804,8166,6455.0244,6200000,826.9749093055725,4.493825
56.74,-0.0039007028,62500,0.019336,125,0.3515315055847168,4.276089,0.0026643886,243.95444354046137,8208,6452.0244,6250000,833.4987823963165,4.4879146
61.81,-0.0036890025,63000,0.01936,126,0.3544690012931824,4.855748,0.0027419287,443.21123293837064,8489,7092.9326,6300000,840.1704514026642,4.471017
55.07,-0.0036493219,63500,0.017609999,127,0.36025339365005493,4.595664,0.002553279,243.0829920988332,8297,6755.5864,6350000,846.5468530654907,4.458535
58.55,-0.0044156755,64000,0.023746006,128,0.359200119972229,4.4621897,0.0029806762,328.4764718876575,8197,6688.1055,6400000,852.9473567008972,4.4508376
51.64,-0.0040722936,64500,0.020912,129,0.36278241872787476,4.725464,0.002804936,319.373882705688,8320,7008.612,6450000,859.4368166923523,4.44274
64.2,-0.00395069,65000,0.020683998,130,0.35872334241867065,4.3825874,0.0027123336,345.9725293521344,8123,6686.4785,6500000,865.9318532943726,4.432089
58.8,-0.004020793,65500,0.021022005,131,0.36290884017944336,4.5302744,0.0028496266,318.2619083344657,8473,6289.3174,6550000,872.4643657207489,4.41913
56.92,-0.004071677,66000,0.022532003,132,0.3745678663253784,4.6417685,0.002892918,326.21045431958976,8164,6742.246,6600000,878.9501755237579,4.406983
54.98,-0.003708685,66500,0.019095998,133,0.3730531930923462,4.875559,0.002728331,313.801240643044,7908,6697.996,6650000,885.4662868976593,4.3950286
58.28,-0.0040533985,67000,0.020148003,134,0.36629873514175415,4.9108677,0.002707609,298.0366325855488,8394,6884.2324,6700000,892.3197441101074,4.3776875
66.06,-0.003735621,67500,0.020188,135,0.37098199129104614,4.5374136,0.0027762959,377.76539355151937,8082,6434.082,6750000,898.8668966293335,4.364549
59.44,-0.0038334525,68000,0.01944,136,0.37703484296798706,4.726239,0.0026463405,319.8304445763165,8208,6658.0137,6800000,905.4284286499023,4.3615003
51.24,-0.004382531,68500,0.024523998,137,0.3751760721206665,4.7447977,0.0030225483,324.6960780176427,8346,7013.063,6850000,912.1292994022369,4.3575077
48.96,-0.0046821088,69000,0.026905999,138,0.3883005380630493,4.750063,0.0031220755,315.1991820226307,7998,6462.8545,6900000,918.5453932285309,4.351235
52.5,-0.004222624,69500,0.022938004,139,0.3840775489807129,4.9408255,0.0030245646,289.12821022962277,8058,6664.598,6950000,925.2161953449249,4.343107
50.94,-0.0032314092,70000,0.01333,140,0.38556307554244995,4.9010243,0.0021743581,286.1004523230274,8150,6920.4146,7000000,931.8971612453461,4.3359914
53.23,-0.0043530483,70500,0.024004005,141,0.38630926609039307,5.1295834,0.0030541252,359.7177343625826,8204,7093.089,7050000,938.5704185962677,4.3290534
59.29,-0.0038846899,71000,0.020003999,142,0.3854362368583679,4.7107706,0.002827874,311.8048192824097,8349,6734.265,7100000,945.2901835441589,4.325628
62.45,-0.004343321,71500,0.022794,143,0.3923047184944153,5.1701913,0.002889585,353.3122800257057,8125,6714.9917,7150000,951.6826162338257,4.316944
56.83,-0.004360605,72000,0.024989998,144,0.3889557719230652,4.948854,0.0031042546,336.53748981011336,8070,6902.2017,7200000,958.3947820663452,4.3076015
55.08,-0.0042336234,72500,0.025006006,145,0.3947989344596863,4.683502,0.0031336234,322.04013795918434,8225,6669.1504,7250000,965.1704828739166,4.297512
62.29,-0.0038330192,73000,0.020711996,146,0.39368605613708496,5.0456533,0.0028521854,429.599248274063,7913,6909.7725,7300000,971.7570281028748,4.281668
49.13,-0.0035695916,73500,0.016010001,147,0.3962688446044922,4.993113,0.002470049,246.1761261111591,8285,6808.3184,7350000,978.51784491539,4.262893
71.29,-0.0043755304,74000,0.023579998,148,0.39250385761260986,5.235567,0.0029186595,435.0004560442688,8022,6989.786,7400000,985.1074328422546,4.2436476
59.64,-0.0037461126,74500,0.016950004,149,0.400101900100708,4.7661448,0.002545275,351.18154392102326,7878,6770.2705,7450000,991.7034845352173,4.224952
68.19,-0.004229544,75000,0.022133999,150,0.39559245109558105,5.1439133,0.0029535454,375.8613296641526,8236,6924.0264,7500000,998.3669590950012,4.211893
59.31,-0.004597349,75500,0.023899999,151,0.3985101580619812,5.0581837,0.0029472974,343.19600786353755,7911,6780.187,7550000,1004.9971609115601,4.2046685
47.14,-0.0045855697,76000,0.024958,152,0.3995094895362854,5.125815,0.0030932457,292.5317289431114,8040,6896.524,7600000,1011.9090802669525,4.191411
61.16,-0.0040275026,76500,0.020454,153,0.40063416957855225,5.0941215,0.0027596117,409.74456872286277,7646,7057.873,7650000,1018.4343664646149,4.180138
53.81,-0.004244934,77000,0.021318,154,0.4168606400489807,5.05501,0.0028523423,340.77089035998097,7911,6888.402,7700000,1025.433274269104,4.1713495
67.92,-0.0046375785,77500,0.027535997,155,0.4009241461753845,5.146204,0.0033478364,403.217128825268,8009,7280.685,7750000,1032.1429190635681,4.160332
55.06,-0.0041945553,78000,0.0202,156,0.41130268573760986,5.1981163,0.0027459627,327.94638496856203,8279,7035.217,7800000,1038.9086277484894,4.146527
60.61,-0.0041063344,78500,0.020951997,157,0.4139026403427124,5.34224,0.0028274397,411.05623392470415,8037,7133.1504,7850000,1045.2711670398712,4.1336784
60.77,-0.0048338394,79000,0.027370004,158,0.4187288284301758,5.364742,0.0033144653,375.05737413884606,8029,7063.2188,7900000,1051.953794002533,4.1169033
68.87,-0.0039134393,79500,0.018274002,159,0.41566675901412964,5.0004473,0.002607884,380.8039242126839,7745,6704.36,7950000,1058.672831773758,4.1032014
67.39,-0.0044868924,80000,0.024617998,160,0.4178239107131958,5.008172,0.0030130458,316.7689511605771,8378,7051.3257,8000000,1065.6985383033752,4.0969067
66.29,-0.0041617323,80500,0.022826,161,0.41684389114379883,5.38362,0.002921707,411.46674923341254,8349,7083.4136,8050000,1072.3212175369263,4.0932097
60.9,-0.0038368872,81000,0.022554003,162,0.4181343913078308,5.525415,0.002986613,386.48180930280125,8090,7231.8506,8100000,1078.9390363693237,4.084967
63.21,-0.0043811454,81500,0.026032005,163,0.4221852421760559,5.299408,0.0031685808,408.5311104352609,8037,6956.3574,8150000,1085.7036361694336,4.08254
60.12,-0.004035713,82000,0.021522,164,0.4260227084159851,5.3356543,0.002815884,371.6866588551982,7956,6910.571,8200000,1092.4670543670654,4.076731
71.35,-0.004006264,82500,0.021156002,165,0.4188947081565857,5.326309,0.0028477304,426.69095640576444,8125,7118.405,8250000,1099.0043859481812,4.0684514
76.28,-0.004355944,83000,0.019596,166,0.42386412620544434,5.41296,0.00267731,444.58058094279954,7811,7116.9893,8300000,1105.666543006897,4.0574136
63.49,-0.0042456444,83500,0.023848005,167,0.4273659586906433,5.6501,0.0030461254,449.49337551419626,8006,7366.6426,8350000,1112.501984834671,4.0445704
54.82,-0.0041071638,84000,0.022298,168,0.42990928888320923,5.6278033,0.002923925,336.6827862511016,8075,7160.2417,8400000,1119.3128354549408,4.037071
59.37,-0.004553449,84500,0.026927998,169,0.4293755292892456,5.702174,0.003224113,346.2568033047584,7625,7051.7974,8450000,1125.9766523838043,4.03166
56.07,-0.003995693,85000,0.021864003,170,0.43416792154312134,5.28972,0.0029041003,352.17659911533815,7908,7124.365,8500000,1133.1157302856445,4.0247736
62.18,-0.004418347,85500,0.023445997,171,0.4372219443321228,5.2790174,0.0029701598,415.3366563322768,7942,7167.942,8550000,1139.8455905914307,4.0143046
66.41,-0.0039849523,86000,0.022094,172,0.43308818340301514,5.762719,0.0028948816,444.348399606999,7946,7381.658,8600000,1146.6362841129303,4.0034337
67.04,-0.004422822,86500,0.025189996,173,0.4394725561141968,5.5944567,0.003147268,472.41354284531377,8004,7309.1113,8650000,1153.3102016448975,3.9956722
69.96,-0.0046524764,87000,0.024385996,174,0.4426547884941101,5.500726,0.0030326452,443.34928506962956,7734,7078.311,8700000,1160.0780458450317,3.988988
61.73,-0.0036814567,87500,0.020632003,175,0.4466310143470764,5.3346357,0.0027512282,417.8755256269236,8057,7130.4355,8750000,1166.9367988109589,3.981767
73.61,-0.0047472636,88000,0.023824,176,0.43476301431655884,5.886475,0.0030371535,489.0260258306283,7903,7507.092,8800000,1173.861273765564,3.969619
63.9,-0.004502377,88500,0.025422,177,0.44828325510025024,5.6464458,0.0031178389,423.96711811093496,7840,7155.4404,8850000,1180.5653729438782,3.9565673
