ep_reward_mean,n_updates,serial_timesteps,policy_loss,fps,policy_entropy,ep_len_mean,true_reward,time_elapsed,value_loss,clipfrac,approxkl,total_timesteps,explained_variance
-1.3051330733299256,1,500,-0.0062464597,16368,5.667032,32.2,-0.04478921,0.002590656280517578,0.5937883,0.030100003,0.003605667,50000,0.014988124370574951
-0.5384961152076722,2,1000,-0.005663265,15648,5.652488,31.57,-0.043178383,3.8252241611480713,0.5011265,0.033429995,0.0037833413,100000,0.16039937734603882
-0.26736922025680543,3,1500,-0.006006562,17415,5.6385427,30.1,-0.04195042,7.566230773925781,0.41331664,0.033250004,0.0037617723,150000,0.3013731837272644
-0.5480473482608795,4,2000,-0.0062324824,14925,5.623155,33.18,-0.044807892,11.002569913864136,0.40404317,0.032138,0.003615328,200000,0.37262606620788574
-0.8331828159093857,5,2500,-0.0065170797,19399,5.609844,34.05,-0.041641675,14.909310817718506,0.35563037,0.036998004,0.0040130178,250000,0.47442883253097534
-0.8745392072200775,6,3000,-0.0066313515,17520,5.5899806,31.01,-0.04195488,18.10900092124939,0.31609288,0.032482,0.0036913464,300000,0.5415346026420593
-0.42360775113105775,7,3500,-0.006489496,19872,5.5648417,28.54,-0.040409613,21.43430471420288,0.25140834,0.03359,0.0038372218,350000,0.619381457567215
-0.4113568252325058,8,4000,-0.0061236215,16627,5.5495863,30.36,-0.043162778,24.331397533416748,0.2760335,0.03397,0.0038175506,400000,0.660372257232666
-0.4679562360048294,9,4500,-0.006655169,17605,5.532789,31.08,-0.040309377,28.020028114318848,0.2113741,0.040188,0.004149709,450000,0.7232112288475037
-0.25929505467414854,10,5000,-0.0065472503,17563,5.506076,28.95,-0.03715275,31.448017120361328,0.19655137,0.037401997,0.0040606023,500000,0.7639616578817368
-0.26959681272506714,11,5500,-0.006182337,17214,5.483455,29.97,-0.039697275,34.781458616256714,0.18257645,0.034186002,0.0038286692,550000,0.7845017611980438
-0.23663467407226563,12,6000,-0.006695506,16089,5.465386,28.73,-0.03702271,38.32339334487915,0.16732453,0.040389996,0.0041441857,600000,0.7945772558450699
-0.4488267958164215,13,6500,-0.006723879,16455,5.440632,32.92,-0.034190685,42.08017587661743,0.15225242,0.040182,0.004228949,650000,0.8163314759731293
-0.31598457098007204,14,7000,-0.0067234463,16778,5.4171906,27.77,-0.0332743,45.62875413894653,0.13964641,0.042743992,0.004373074,700000,0.8242013156414032
-0.2126728129386902,15,7500,-0.006827004,15536,5.3969316,27.76,-0.032120425,49.21060299873352,0.12881751,0.044700004,0.0044432157,750000,0.8248071372509003
-0.07534659385681153,16,8000,-0.0059875287,18219,5.3835545,29.05,-0.03071264,52.669849157333374,0.12413761,0.035637997,0.0038913433,800000,0.8395586758852005
-0.26081342935562135,17,8500,-0.0067942864,16653,5.3684993,30.68,-0.030728465,56.0000524520874,0.11715434,0.043798,0.004369872,850000,0.8485925942659378
-0.07726102471351623,18,9000,-0.0066161235,16853,5.350739,31.75,-0.029337622,59.44433379173279,0.110050686,0.041542005,0.0042809104,900000,0.8474304527044296
-0.35714439868927,19,9500,-0.0060523776,16395,5.327805,28.56,-0.028588593,63.09525656700134,0.09585579,0.03711399,0.00401554,950000,0.8561403304338455
-0.3918945074081421,20,10000,-0.006318444,18762,5.3009777,31.44,-0.026208049,66.64858961105347,0.096439034,0.039327998,0.0041707265,1000000,0.8610581755638123
-0.24026256382465364,21,10500,-0.0063617225,16729,5.2660894,27.47,-0.026720677,69.69776487350464,0.08607954,0.041302003,0.0043851137,1050000,0.8720241338014603
-0.0204024600982666,22,11000,-0.007037688,18457,5.2408986,28.98,-0.026978882,73.31599307060242,0.0828636,0.042024,0.0042931396,1100000,0.8684794157743454
-0.12472559928894043,23,11500,-0.0068457667,17437,5.213748,28.97,-0.024367366,76.73785543441772,0.075780705,0.044602003,0.0045551844,1150000,0.8693919777870178
-0.058120356798172,24,12000,-0.0066475184,16516,5.1910677,28.13,-0.024530709,80.07354712486267,0.07573041,0.042465996,0.004314755,1200000,0.8741325587034225
-0.12339279174804688,25,12500,-0.0068848785,18349,5.1712184,28.52,-0.022262065,83.71267986297607,0.07223967,0.046479993,0.0046088314,1250000,0.8764109015464783
-0.12917148053646088,26,13000,-0.0071053775,18131,5.154576,25.2,-0.022580856,86.87779068946838,0.07847885,0.049923986,0.004762057,1300000,0.8810063302516937
-0.006710579395294189,27,13500,-0.006969002,16745,5.13523,27.24,-0.021810748,90.18104910850525,0.06322906,0.042666007,0.004267906,1350000,0.8889550864696503
-0.12222079396247863,28,14000,-0.0073902006,17367,5.1054416,26.55,-0.022241617,93.51783394813538,0.06349701,0.046414007,0.0046274303,1400000,0.8839419186115265
-0.08696100950241088,29,14500,-0.0077652615,18415,5.071011,29.51,-0.019594086,96.95581603050232,0.061222695,0.050277997,0.004827959,1450000,0.8984281346201897
0.02218196988105774,30,15000,-0.0073948777,19157,5.0441327,29.85,-0.019468568,100.06852006912231,0.06112722,0.050074004,0.0048276396,1500000,0.8993230983614922
0.19738708376884462,31,15500,-0.0076013184,16558,5.0105205,28.28,-0.015002702,103.10959982872009,0.059961382,0.051841993,0.0049774516,1550000,0.904648669064045
0.07592362880706788,32,16000,-0.007922271,17436,4.9761634,25.95,-0.017958418,106.58228874206543,0.06030033,0.048348006,0.00471676,1600000,0.9026569947600365
0.0898002415895462,33,16500,-0.0076816063,18026,4.9453535,28.45,-0.015927931,109.99839067459106,0.064121366,0.049088,0.00474425,1650000,0.9015287086367607
