fps,n_updates,value_loss,ep_reward_mean,approxkl,policy_loss,clipfrac,serial_timesteps,time_elapsed,policy_entropy,explained_variance,ep_len_mean,true_reward,total_timesteps
8008,28,4.4992642,-3.1763761913744792,0.005782612,-0.007311402,0.068547994,14000,183.4402356147766,5.9998016,0.5968013405799866,35.18,-0.3703949,1400000
8145,29,6.98843,-3.9242131215733935,0.005577564,-0.007206058,0.06333,14500,190.2314944267273,6.0065136,0.49131691455841064,38.02,-0.37522137,1450000
7967,30,3.7482214,-3.692073461239197,0.005670741,-0.007388089,0.065524,15000,196.8907790184021,6.0101404,0.6733635365962982,45.37,-0.35822862,1500000
7798,31,6.1906056,-3.4458319804173514,0.0061404305,-0.0066696345,0.071856,15500,203.4794065952301,6.0079427,0.5005606114864349,38.61,-0.36031872,1550000
7987,32,8.046676,-5.124237144111394,0.0056104385,-0.005705328,0.065762,16000,210.22199630737305,6.0112805,0.4758458733558655,51.01,-0.35447142,1600000
8026,33,83.67707,-4.0399356220912885,0.005343824,-0.006432288,0.059182014,16500,217.0330924987793,6.032284,0.09320998191833496,40.71,-0.43980476,1650000
8012,34,21.961119,-3.9045696124974345,0.0051720585,-0.005666441,0.056340013,17000,223.4775049686432,6.06705,0.2638136148452759,48.35,-0.36651078,1700000
8077,35,4.5244966,-7.166395639839029,0.0060163154,-0.0069613582,0.070702,17500,230.1436619758606,6.0547748,0.64411261677742,50.05,-0.35014194,1750000
8086,36,10.369824,-7.93724226511666,0.0055519366,-0.0051877648,0.062800005,18000,236.7605423927307,6.0575905,0.45453590154647827,69.38,-0.34759775,1800000
8128,37,8.554185,-7.689740171010417,0.0049206396,-0.005279287,0.053053997,18500,243.59824442863464,6.068143,0.5514167845249176,66.35,-0.31818476,1850000
8043,38,18.425407,-4.7006902166192415,0.005355803,-0.0044971853,0.060069993,19000,250.12158751487732,6.0678267,0.4193849563598633,68.47,-0.32850063,1900000
7777,39,45.45136,-14.217502547467065,0.003895551,-0.0033162548,0.037389994,19500,256.8356523513794,6.0735993,0.2890835404396057,110.19,-0.3517936,1950000
8288,40,42.38222,-17.250558154278878,0.0052362876,-0.004397338,0.05685,20000,263.71289253234863,6.073783,0.29560863971710205,108.96,-0.32511094,2000000
8110,41,27.750639,-20.119105326043083,0.004679144,-0.0056953453,0.049223986,20500,270.002543926239,6.085109,0.41369491815567017,138.78,-0.330961,2050000
8205,42,26.54709,-39.227052443633426,0.0044305692,-0.00404678,0.045588,21000,276.59356570243835,6.1075115,0.44317924976348877,209.0,-0.32306764,2100000
7916,43,62.527077,-25.25299975595486,0.004924701,-0.004337951,0.052024003,21500,283.3317346572876,6.1236315,0.3189619183540344,187.09,-0.3368957,2150000
8061,44,22.016243,-25.2984350646624,0.0038933351,-0.0036241245,0.038466003,22000,290.12802290916443,6.12645,0.5196504294872284,215.61,-0.28387368,2200000
8143,45,25.106531,-24.88018657198337,0.0039472966,-0.004976905,0.036318,22500,296.71834206581116,6.13805,0.5229608416557312,228.24,-0.26598346,2250000
8053,46,5.616059,-17.30461872915587,0.005263147,-0.0047918083,0.059809998,23000,303.4166214466095,6.12612,0.7983465790748596,255.58,-0.21226865,2300000
7951,47,4.8153753,-15.185167986571727,0.0054274984,-0.005534543,0.061475996,23500,310.037801027298,6.0921345,0.8269919753074646,270.06,-0.19903666,2350000
8477,48,1.0008607,4.306737215344139,0.0058931387,-0.007991354,0.068482004,24000,316.936217546463,6.059576,0.9612357020378113,315.06,-0.12388116,2400000
8093,49,1.2875323,13.476096540531762,0.008244739,-0.008553317,0.105988026,24500,323.4489140510559,6.01151,0.958880964666605,345.09,-0.08678888,2450000
8146,50,0.80985963,17.27440111657153,0.0092282845,-0.007531419,0.11951802,25000,330.11576867103577,5.948003,0.9768411833792925,373.14,-0.06402152,2500000
7957,51,0.70827043,21.425741510245917,0.009845468,-0.007340675,0.13247202,25500,336.921498298645,5.8908424,0.9798339605331421,388.89,-0.037781876,2550000
8261,52,0.5812104,23.239547011632713,0.0099747665,-0.0076569472,0.13368002,26000,343.65655303001404,5.834277,0.9816217944025993,423.36,-0.012974607,2600000
7759,53,0.522838,24.124357308415856,0.010075468,-0.005853855,0.13499998,26500,350.1526005268097,5.7841473,0.9823443870991468,430.54,-0.00590263,2650000
7936,54,1.0877733,23.749697345296404,0.008947782,-0.0049964963,0.10263402,27000,357.0221755504608,5.7399945,0.9601430892944336,425.27,-0.013498308,2700000
8068,55,0.4902852,25.442041265235567,0.008878867,-0.005242089,0.11175403,27500,363.6404221057892,5.663914,0.9834735058248043,426.46,-0.007634364,2750000
7679,56,0.56286925,25.422596577747733,0.008210134,-0.0053602858,0.10296399,28000,370.4450385570526,5.6083746,0.9793110601603985,431.49,-0.0005434158,2800000
8025,57,0.4665766,26.277853372876105,0.008502917,-0.0052607423,0.107644014,28500,377.5988280773163,5.54781,0.9835683703422546,433.0,0.00075449236,2850000
8069,58,0.8672448,27.0631404891356,0.008366,-0.005740436,0.10328398,29000,384.43338418006897,5.50754,0.9678849279880524,429.75,-0.0027523853,2900000
7847,59,0.40712783,27.04125112100993,0.010394644,-0.0046495344,0.13601601,29500,391.1113860607147,5.4236193,0.9817095585167408,453.22,0.018115588,2950000
7996,60,0.46360207,29.731743103656953,0.009265824,-0.0050383373,0.11914802,30000,397.71112513542175,5.3687615,0.9810025319457054,444.79,0.01591952,3000000
7747,61,0.4153601,31.165102762429996,0.007064168,-0.0050836285,0.08341199,30500,404.2775604724884,5.3064656,0.9785836506634951,459.76,0.0314447,3050000
7736,62,0.43714958,31.94730792362066,0.008214688,-0.0051447963,0.10180198,31000,411.155561208725,5.241185,0.9780795369297266,457.43,0.030781228,3100000
8146,63,0.40340537,30.785983340074484,0.007574245,-0.005132328,0.09250799,31500,418.0308003425598,5.179846,0.978969182819128,461.33,0.03172305,3150000
8023,64,0.44025898,30.281464983903366,0.0071436344,-0.0045492304,0.08645599,32000,424.7611081600189,5.119998,0.9812270570546389,446.73,0.020028206,3200000
8005,65,0.38067394,30.565642371307394,0.0070725023,-0.005716488,0.07936399,32500,431.5814015865326,5.044197,0.9833848904818296,447.39,0.020346753,3250000
8145,66,0.39457414,32.89888269906853,0.007712362,-0.0058485605,0.08971201,33000,438.3475251197815,4.9670763,0.9770909566432238,465.13,0.03797296,3300000
8020,67,0.3601307,33.26185335891016,0.0068182903,-0.005560445,0.079587996,33500,444.73782324790955,4.910596,0.9751865286380053,471.83,0.045537833,3350000
8358,68,0.3162881,32.88420378058366,0.008491364,-0.005325855,0.11043401,34000,451.51057744026184,4.8610787,0.9830002952367067,459.35,0.03395687,3400000
8284,69,0.29140332,32.864533850604005,0.010389718,-0.004761377,0.14186998,34500,458.0655314922333,4.8040032,0.982153857126832,466.42,0.039525457,3450000
7962,70,0.28320834,33.57131934380677,0.009546843,-0.003936041,0.12966605,35000,464.4581973552704,4.763079,0.9820791631937027,467.48,0.04178407,3500000
8116,71,0.5921017,32.3418022518,0.009175231,-0.006812724,0.11797997,35500,471.12241983413696,4.7186522,0.968178316950798,464.91,0.035637688,3550000
8018,72,0.27317253,32.51421128481252,0.008234068,-0.0061409837,0.103751995,36000,477.74405550956726,4.6558595,0.9848535815253854,461.4,0.03579046,3600000
7835,73,0.28006366,34.21151518266766,0.009000381,-0.0054271417,0.11512798,36500,484.3938853740692,4.591546,0.9805181734263897,471.85,0.045810107,3650000
8463,74,0.33235118,34.108386933121835,0.008564558,-0.0052684485,0.11149201,37000,491.34326338768005,4.5350184,0.9777563661336899,470.86,0.04603372,3700000
7731,75,0.3237865,32.12399429917521,0.007923771,-0.004315039,0.09799999,37500,497.74158477783203,4.469147,0.9817943330854177,466.29,0.03846416,3750000
7924,76,0.27273443,34.28423044586612,0.009051181,-0.005028593,0.11669401,38000,504.75224804878235,4.405094,0.9793942105025053,475.3,0.04938055,3800000
7771,77,0.5608453,33.44018456510092,0.009339519,-0.005681184,0.12168401,38500,511.5856318473816,4.3533564,0.9667943865060806,470.26,0.042830836,3850000
7713,78,0.30733943,34.437262352137914,0.009219341,-0.0048720245,0.11833401,39000,518.5143058300018,4.302992,0.9795428980141878,471.8,0.047531683,3900000
8108,79,0.34307945,34.02549334157584,0.0086723175,-0.00538161,0.11202602,39500,525.5010778903961,4.2502403,0.9783053137362003,470.86,0.04532229,3950000
8164,80,0.4598671,33.60167851488543,0.010424333,-0.0057987506,0.13725401,40000,532.2253823280334,4.236963,0.9732331037521362,471.93,0.043240894,4000000
7725,81,0.30646607,36.75040377678542,0.010066538,-0.005933951,0.13322003,40500,538.7074496746063,4.189312,0.9699383527040482,481.81,0.059466913,4050000
7973,82,0.23159452,35.213910715946824,0.011050016,-0.0052298503,0.148698,41000,545.5800640583038,4.1283784,0.9827244337648153,475.0,0.05055007,4100000
7951,83,0.33208904,36.59677867184253,0.0117600225,-0.0048791273,0.14733998,41500,552.3868584632874,4.077683,0.9735978376120329,476.97,0.05470452,4150000
8109,84,17.358536,36.64623939684632,0.03593794,-0.0050886297,0.10367003,42000,559.1320607662201,4.042441,0.567844957113266,474.97,0.037679005,4200000
7876,85,0.17776224,36.10127871276567,0.0104549145,-0.004392935,0.140454,42500,565.7400772571564,3.993323,0.9838287364691496,479.8,0.056270175,4250000
7938,86,0.20502675,36.23904691582396,0.013823466,-0.005039286,0.18450198,43000,572.6198945045471,3.9402688,0.9812850374728441,479.99,0.056992862,4300000
8006,87,0.25222024,35.38765732705449,0.013613589,-0.0058055357,0.18931605,43500,579.219407081604,3.891362,0.9784422628581524,479.61,0.0551287,4350000
7978,88,0.272133,35.89551379184405,0.012673178,-0.004558765,0.17624798,44000,585.9039647579193,3.8299716,0.9783502425998449,477.98,0.05455338,4400000
7879,89,0.19716084,38.94840533025723,0.01249026,-0.00562427,0.17093797,44500,592.6928906440735,3.7608447,0.9798741601407528,480.41,0.06257127,4450000
7903,90,0.19106491,36.45345753006151,0.0127291,-0.0043919324,0.17206194,45000,599.5117735862732,3.679499,0.9811075702309608,483.59,0.05963017,4500000
7753,91,3.4696662,38.50057132662787,0.037219897,-0.006048334,0.076336004,45500,606.1857583522797,3.6537783,0.8064105659723282,483.41,0.056321807,4550000
7731,92,0.1831596,37.69634896774573,0.0108653745,-0.0042398935,0.14654599,46000,613.0629296302795,3.5954633,0.983167439699173,480.25,0.05963333,4600000
8253,93,0.28063172,35.70835027050396,0.019633252,-0.0043545947,0.26185793,46500,619.9540109634399,3.5453193,0.9704056829214096,485.05,0.060270816,4650000
