explained_variance,serial_timesteps,ep_reward_mean,ep_len_mean,fps,total_timesteps,clipfrac,time_elapsed,true_reward,n_updates,value_loss,approxkl,policy_entropy,policy_loss
0.9017623364925385,17000,-0.08837773133684096,39.33,7568,1700000,0.042339996,227.38610792160034,-0.023205671,34,0.19720808,0.004309491,5.101343,-0.005999137
0.9112902730703354,17500,0.5734956842017709,41.81,7844,1750000,0.045972005,234.61622643470764,-0.018443093,35,0.20213804,0.004557076,5.0748014,-0.0063499417
0.9154905453324318,18000,-0.0037037119158048882,37.29,7942,1800000,0.04665401,241.5472195148468,-0.019139033,36,0.17589499,0.004608833,5.0508237,-0.0062674307
0.918971836566925,18500,0.276260674752848,40.5,7886,1850000,0.048561994,248.48477721214294,-0.01962567,37,0.18458004,0.004699869,5.032054,-0.006459328
0.9216601923108101,19000,0.060028637777795664,38.29,8223,1900000,0.046624,255.45116186141968,-0.017056433,38,0.18923464,0.004575699,5.0052214,-0.0062371623
0.9212310910224915,19500,-0.06173229146952508,37.58,8049,1950000,0.045628,261.7540774345398,-0.016365374,39,0.19133861,0.0044931676,4.9817595,-0.006589031
0.9183584451675415,20000,0.24172993630978454,45.43,7955,2000000,0.044109996,268.548641204834,-0.015663624,40,0.19767845,0.0043219314,4.958914,-0.0066995113
0.9222651198506355,20500,0.15526300063997042,36.53,7944,2050000,0.037631996,275.35655188560486,-0.017382681,41,0.17988852,0.004007517,4.9310865,-0.0062594865
0.9231288731098175,21000,0.38838584057415576,42.45,8198,2100000,0.052144,282.2018141746521,-0.0123037975,42,0.17865762,0.004951997,4.9036965,-0.0068432237
0.9317035526037216,21500,0.49890486814067114,39.13,7757,2150000,0.042432003,288.8995826244354,-0.015370128,43,0.17684919,0.0043516965,4.8809743,-0.0066286502
0.9287891462445259,22000,1.2164742245950766,44.59,7818,2200000,0.04626799,295.66647005081177,-0.009988056,44,0.20173065,0.004603282,4.860582,-0.006902179
0.9285542145371437,22500,0.43260098091617694,39.13,7926,2250000,0.049095992,302.692804813385,-0.010889665,45,0.19112663,0.0047727646,4.8328643,-0.006519148
0.9263198599219322,23000,0.43090349542890183,47.29,7840,2300000,0.049853995,309.5032720565796,-0.006383251,46,0.20322764,0.0047493945,4.8146105,-0.00695323
0.9323815703392029,23500,0.47046231661879573,37.85,7917,2350000,0.036278,316.4026954174042,-0.009291484,47,0.19318953,0.003980007,4.8037105,-0.005603196
0.9333807080984116,24000,0.726279020869988,40.28,7614,2400000,0.051775996,323.33002161979675,-0.010517749,48,0.18803254,0.004901313,4.784344,-0.006775503
0.9345462918281555,24500,0.5158948528736073,40.04,7871,2450000,0.050237995,330.4275288581848,-0.0076933913,49,0.17419377,0.00482998,4.76084,-0.0065180226
0.9279819279909134,25000,0.6552841997107316,45.8,8065,2500000,0.045522004,337.2580363750458,-0.01034525,50,0.22458704,0.0044674915,4.740378,-0.0067861616
0.9312241598963737,25500,0.2561563589448633,41.92,7924,2550000,0.043424007,343.91020917892456,-0.0055145235,51,0.19789974,0.004337579,4.720006,-0.006478372
0.9350742176175117,26000,0.5209947158829891,42.81,7854,2600000,0.04689401,350.73871541023254,-0.0069953715,52,0.18959835,0.0046019014,4.703976,-0.0069168676
0.9370877146720886,26500,0.7191524828490219,46.91,7521,2650000,0.048692003,357.67355704307556,-0.0073232087,53,0.19413212,0.00462268,4.6878004,-0.0072713788
0.938122134655714,27000,0.8366527314612177,44.14,7483,2700000,0.052638,364.8790445327759,-0.0057932213,54,0.18324895,0.004929276,4.6632204,-0.0072320933
0.9384618923068047,27500,0.578107655558415,51.04,7638,2750000,0.05386,372.0280055999756,-0.0076440684,55,0.19063342,0.0049492903,4.6428304,-0.0068271803
0.9424509033560753,28000,0.46697607269052244,41.58,7713,2800000,0.057482004,379.2351999282837,-0.003647,56,0.17547755,0.0051756836,4.6265163,-0.0074548824
