total_timesteps,approxkl,n_updates,explained_variance,ep_reward_mean,fps,time_elapsed,clipfrac,policy_entropy,serial_timesteps,ep_len_mean,policy_loss,value_loss,true_reward
1700000,0.0043543167,34,0.9593443274497986,-0.14700266197691236,8212,223.2669813632965,0.042386003,5.0801625,17000,39.62,-0.0067640864,0.012030925,-0.02861115
1750000,0.004560483,35,0.9554442428052425,0.19521494322594662,8116,229.95470881462097,0.04575,5.056992,17500,44.39,-0.0071821334,0.012089615,-0.025049921
1800000,0.004490388,36,0.9609602391719818,0.11785256315371953,7943,236.7447407245636,0.045566007,5.0312123,18000,44.66,-0.0073021487,0.0113316085,-0.027125364
1850000,0.0045006988,37,0.9622514396905899,0.6509734757016122,7864,243.57270908355713,0.045648,5.0060205,18500,42.95,-0.007450349,0.012084025,-0.02674433
1900000,0.0046969126,38,0.9629960432648659,0.04415382932667853,7909,250.51193976402283,0.047836,4.9717345,19000,41.46,-0.007158956,0.01049146,-0.025209634
1950000,0.004616377,39,0.9643473885953426,0.39523248513796716,7664,257.31907510757446,0.046015993,4.9399796,19500,44.96,-0.0073283957,0.011172639,-0.02673584
2000000,0.004904763,40,0.9647761061787605,-0.15909980182354047,7822,264.3107850551605,0.052526,4.91655,20000,40.54,-0.007540831,0.010000147,-0.02512548
2050000,0.0048495186,41,0.9628760777413845,0.17402180245728233,7894,271.13550662994385,0.051308002,4.8969545,20500,46.43,-0.007539245,0.011945954,-0.025315968
2100000,0.00481941,42,0.970844216644764,0.909203761635872,7737,278.02976274490356,0.049506005,4.8650584,21000,40.51,-0.007383038,0.009940391,-0.023983518
2150000,0.0046410393,43,0.9676543101668358,-0.1763383635529317,7858,285.0494575500488,0.048334,4.838296,21500,46.37,-0.007458244,0.010455165,-0.021884348
2200000,0.005018424,44,0.9705141391605139,0.11299026515502192,7915,291.9308888912201,0.053225994,4.8108068,22000,45.44,-0.0076974602,0.009772974,-0.025050666
2250000,0.0048386618,45,0.9673800207674503,0.5955607171767042,7953,298.7522826194763,0.051298,4.7808175,22500,45.13,-0.0073405104,0.011120686,-0.024498533
2300000,0.004715839,46,0.9689636845141649,-0.1623734763264656,8144,305.52874517440796,0.05023601,4.7619414,23000,41.81,-0.0077384207,0.00964064,-0.025139442
2350000,0.0047541987,47,0.9695817399770021,0.07796882964568795,8126,312.0637319087982,0.049271997,4.7392306,23500,49.79,-0.007296907,0.010655855,-0.02583331
2400000,0.0049416097,48,0.9737550187855959,0.08559599039916066,8096,318.7103040218353,0.051730003,4.705896,24000,45.88,-0.0076107634,0.009967875,-0.020764077
2450000,0.0050125746,49,0.9724456835538149,0.8885292174792266,7939,325.27852606773376,0.05324601,4.669846,24500,49.83,-0.007975803,0.009709226,-0.018588325
2500000,0.0048726797,50,0.9746169950813055,0.5059862160553166,8459,332.0592339038849,0.051794,4.6381855,25000,50.26,-0.008187207,0.009332981,-0.015760414
2550000,0.0051215594,51,0.9736007433384657,0.753683120150381,7941,338.5085985660553,0.05534601,4.6110573,25500,49.13,-0.008183068,0.0098565575,-0.01808385
2600000,0.004970187,52,0.97337257117033,0.6571487574865751,8320,345.412526845932,0.052292004,4.575055,26000,46.92,-0.0075192535,0.010144337,-0.018918976
2650000,0.0053629177,53,0.9740739222615957,1.1039551848577684,7698,351.9579265117645,0.059993986,4.542687,26500,45.36,-0.008304222,0.008854957,-0.02036674
2700000,0.0049587153,54,0.9769189320504665,0.8727235087398912,7913,358.9452750682831,0.051095996,4.5108685,27000,52.56,-0.00806571,0.009652401,-0.017002104
2750000,0.005123009,55,0.9773742649704218,1.3574848365213257,8119,365.7362849712372,0.05485601,4.4776583,27500,46.25,-0.0078079225,0.008940194,-0.018154858
2800000,0.005105496,56,0.978214718401432,0.9379796590549085,8029,372.2756690979004,0.055912018,4.456101,28000,46.12,-0.008259343,0.00889447,-0.0140402
2850000,0.0053744656,57,0.9776346310973167,0.5860726995532605,8026,379.0587148666382,0.060271993,4.435829,28500,50.25,-0.008479481,0.008756276,-0.017345332
2900000,0.0053157574,58,0.9785431325435638,0.4570701395634023,8257,385.9068555831909,0.057808008,4.4033904,29000,51.92,-0.00819504,0.008861885,-0.015849987
2950000,0.005216488,59,0.9771749023348093,-0.09948921856117522,7677,392.58519101142883,0.05741201,4.37302,29500,44.63,-0.008199323,0.00935061,-0.019085893
3000000,0.005168046,60,0.978696633130312,1.5063533258072856,8289,399.5134291648865,0.05652801,4.3477464,30000,54.76,-0.008421671,0.009171267,-0.014848397
3050000,0.0052899932,61,0.9767830744385719,0.6937719063799886,7940,405.99025106430054,0.058886006,4.3313313,30500,49.91,-0.008413119,0.010497066,-0.012040056
3100000,0.005264388,62,0.9805575627833605,1.584209705692192,8137,412.70894598960876,0.058932003,4.304444,31000,55.68,-0.009059758,0.00875032,-0.016858784
3150000,0.0052085305,63,0.9808059744536877,1.042673098551313,8107,419.43195509910583,0.056021996,4.2687306,31500,50.31,-0.007908831,0.008677301,-0.013058661
3200000,0.0056372397,64,0.9809467326849699,1.315565416226309,7877,426.02631759643555,0.063818,4.236424,32000,50.22,-0.008556786,0.008579664,-0.014549401
3250000,0.005316455,65,0.981421735137701,0.6003787189963623,7849,432.92508149147034,0.059660003,4.20888,32500,47.31,-0.00835935,0.008366018,-0.015501252
3300000,0.0056482125,66,0.9824140015989542,0.9972031199716003,8090,439.96833539009094,0.063592,4.1725984,33000,51.16,-0.008118273,0.008940188,-0.015534397
3350000,0.0052228533,67,0.9792542289942503,0.9614436351643962,7797,446.7574689388275,0.057334002,4.140384,33500,44.27,-0.008000518,0.008857196,-0.015587651
3400000,0.0050112987,68,0.98027110286057,1.093367070540371,8102,453.7380497455597,0.054887995,4.113777,34000,65.52,-0.0072330744,0.009713452,-0.017398136
3450000,0.0051273014,69,0.9813064578920603,1.0771393426750728,7992,460.24777364730835,0.055214003,4.0879393,34500,48.29,-0.0077508395,0.008897393,-0.015539675
3500000,0.005152658,70,0.9817178323864937,0.7648140254365717,7820,466.98652815818787,0.057972003,4.069063,35000,57.87,-0.008079802,0.008355344,-0.013482291
3550000,0.0052341525,71,0.9826887473464012,1.6437092914318054,8016,474.05839800834656,0.057554003,4.055949,35500,58.96,-0.008123981,0.008305657,-0.012350889
3600000,0.0052881534,72,0.9807553309947252,0.8352559873102291,8100,480.798876285553,0.059015993,4.0456886,36000,54.25,-0.008320853,0.009270183,-0.013223328
3650000,0.0054093595,73,0.9828634709119797,1.558086996195525,7869,487.57170844078064,0.06001598,4.026951,36500,56.62,-0.008555271,0.009458446,-0.0116695
