ep_len_mean,serial_timesteps,true_reward,ep_reward_mean,total_timesteps,policy_entropy,policy_loss,n_updates,time_elapsed,clipfrac,approxkl,fps,value_loss,explained_variance
51.74,17500,0.010367911,1.035120382697278,1750000,5.6458507,0.0049468996,35,70.5231249332428,0.034647997,0.0037035632,25311,3.532346,0.5709354877471924
56.68,18000,0.01030582,-1.1635168774797058,1800000,5.6500216,-4.452204e-05,36,72.58584523200989,0.009932,0.0013438158,24915,3.3191285,0.6838546991348267
40.8,18500,0.02618486,0.9309146168421285,1850000,5.6544595,6.547458e-05,37,74.68829727172852,0.013320001,0.0017436128,25975,2.268403,0.60990971326828
46.79,19000,0.00970509,-0.17520036933048685,1900000,5.658956,0.002284656,38,76.69450092315674,0.022145998,0.00263158,25376,3.196228,0.6773186028003693
36.52,19500,0.011101493,0.4559817302098236,1950000,5.6624494,-0.00043929415,39,78.74452996253967,0.010464,0.0013276247,25574,2.7903543,0.6721464097499847
58.54,20000,0.019484228,-0.03008600758001194,2000000,5.6651382,-0.00021689176,40,80.7927405834198,0.01427,0.0016859776,25411,2.317008,0.7061922550201416
49.99,20500,0.019690555,-0.6845196590696286,2050000,5.66796,-0.0017311082,41,82.84613561630249,0.00708,0.0011686214,25612,2.0710292,0.7316150665283203
46.4,21000,0.01880352,-1.2915818028513832,2100000,5.670555,-0.0009783736,42,84.91673254966736,0.005656,0.001044129,25684,2.0896504,0.7212275862693787
48.55,21500,0.006813405,-1.4136566709942235,2150000,5.6739945,-0.001418872,43,86.95789551734924,0.007778,0.0010779987,25489,3.992347,0.6834370195865631
32.84,22000,0.031120447,1.0061254614629433,2200000,5.6773405,-0.0005520451,44,89.02999877929688,0.009141999,0.0013644183,25478,1.957085,0.7078109383583069
43.2,22500,0.039652593,0.33393990784061317,2250000,5.6811056,-0.0006154941,45,91.08005690574646,0.012076,0.001543945,25398,1.0918394,0.7114630937576294
51.79,23000,0.0338538,1.2050102430318657,2300000,5.685824,-0.00062640326,46,93.14477014541626,0.013978,0.0017423567,25115,2.0873904,0.662950873374939
40.06,23500,0.027370676,1.133551664226561,2350000,5.6898537,-0.00019947106,47,95.24175763130188,0.010836,0.0014730348,26461,2.4929676,0.5892052948474884
53.29,24000,0.015034809,-2.8209150864458206,2400000,5.694302,0.004387801,48,97.21463322639465,0.029856,0.0035804387,25259,3.8888993,0.6323501467704773
39.29,24500,0.034528356,1.856446417370171,2450000,5.6985574,-0.0009869288,49,99.29604601860046,0.00909,0.0011282753,25339,1.5882832,0.7251139879226685
42.66,25000,0.03492108,1.5495467150655895,2500000,5.7040167,-0.00090310245,50,101.35219097137451,0.007968,0.0012766899,25194,1.2679555,0.762315958738327
32.53,25500,0.030603133,-0.015838846693859522,2550000,5.7081456,-0.0013647488,51,103.44230389595032,0.0048979996,0.0008155018,25523,2.2087815,0.6824965476989746
50.18,26000,0.036826212,1.1682241331039405,2600000,5.710244,-0.0016532993,52,105.4931252002716,0.00961,0.0013387272,25530,0.9729953,0.761543408036232
47.58,26500,0.04069229,0.4020484969397512,2650000,5.7118673,-0.0013721396,53,107.55232262611389,0.007936,0.0011496693,25659,1.1698586,0.6892408430576324
42.6,27000,0.044230342,0.9096636437629059,2700000,5.7155952,-0.0013155314,54,109.58627343177795,0.0042399997,0.00084187667,25543,0.84401304,0.7312047779560089
49.69,27500,0.04182083,2.1113340063710346,2750000,5.7185974,-0.0015983882,55,111.6531412601471,0.007856,0.00121563,25610,0.98448527,0.7796862125396729
41.18,28000,0.036921922,2.405818820773784,2800000,5.722093,-0.0011779241,56,113.68299078941345,0.007784,0.0013227218,24814,1.0663787,0.7346053123474121
47.62,28500,0.03671076,1.2536844546760404,2850000,5.7263074,-0.0012592284,57,115.77887320518494,0.004788,0.0008323161,25635,1.2715644,0.7207913100719452
41.31,29000,0.03483902,1.0946132697448774,2900000,5.7286024,-0.0022178642,58,117.80938959121704,0.008096,0.0012982017,25577,1.4252815,0.7486605942249298
