n_updates,explained_variance,policy_entropy,total_timesteps,serial_timesteps,ep_len_mean,policy_loss,value_loss,fps,true_reward,clipfrac,ep_reward_mean,time_elapsed,approxkl
26,0.7869087308645248,4.853922,1300000,13000,46.13,-0.0036747842,0.3910435,8077,0.010093372,0.03189599,1.4189114410868207,166.00623607635498,0.0037672282
27,0.8387749940156937,4.842062,1350000,13500,46.08,-0.004706466,0.32047924,8303,0.012764966,0.044188,1.371696245596686,172.6272256374359,0.0045333523
28,0.8883841186761856,4.8315043,1400000,14000,41.41,-0.0044303243,0.17075887,7949,0.026388718,0.039586008,1.4899668664654018,179.19428181648254,0.0042121722
29,0.9367093369364738,4.806916,1450000,14500,40.14,-0.005522114,0.06526398,8267,0.03992687,0.05671399,1.6683098081345087,185.7124035358429,0.0053140074
30,0.959490567445755,4.780159,1500000,15000,36.94,-0.005448105,0.033314146,7873,0.048450634,0.052307997,1.8162394757439324,192.36049890518188,0.0048819063
31,0.972016965970397,4.7474456,1550000,15500,29.35,-0.0045784614,0.021522239,7999,0.05085058,0.054286,1.3936370250376058,199.31321740150452,0.0050353436
32,0.9722863882780075,4.704016,1600000,16000,28.54,-0.0037790071,0.02174226,8361,0.051745474,0.047017995,1.3487045811925782,206.07920718193054,0.004803214
33,0.9748765025287867,4.654339,1650000,16500,35.02,-0.0035442126,0.021220222,8378,0.050927397,0.044432007,1.7528538254488375,212.69636249542236,0.004681891
34,0.9740003198385239,4.6162324,1700000,17000,28.37,-0.0023698634,0.021040874,8190,0.052318193,0.044596005,1.35422933484253,219.31629753112793,0.0046090703
35,0.9781469982117414,4.5940156,1750000,17500,27.17,-0.0021041548,0.018053874,8197,0.052147333,0.04316,1.2216644810704747,225.76839208602905,0.0043525733
36,0.9805081505328417,4.5620923,1800000,18000,29.06,-0.0024490384,0.016903667,8397,0.05155946,0.050670005,1.4549681906710612,232.41250324249268,0.0049820617
37,0.9812119118869305,4.5195317,1850000,18500,23.24,-0.0023088404,0.016622176,8254,0.051670995,0.050440006,1.107800225285464,238.64982509613037,0.00497935
38,0.9843530133366585,4.484455,1900000,19000,38.81,-0.002640754,0.0145589495,8438,0.051753353,0.055548,2.2751769115775824,245.32911324501038,0.0052225674
39,0.98328547924757,4.4533024,1950000,19500,44.86,-0.0022511282,0.015920224,8499,0.05206066,0.054245997,2.8930316099684568,251.48364758491516,0.005178441
40,0.9870922025293112,4.421678,2000000,20000,48.17,-0.0018562309,0.0123203965,8306,0.05233123,0.062069993,3.1834003316250166,257.920068025589,0.005612135
41,0.984600936062634,4.3816094,2050000,20500,46.86,-0.0024196552,0.01528184,8273,0.051191263,0.073248,3.114953381731175,264.5409083366394,0.0061974744
42,0.9831450041383505,4.3407874,2100000,21000,43.52,-0.0034099808,0.016976159,8217,0.051053695,0.09379402,2.794791059217823,270.93559098243713,0.0073481756
43,0.9775124453008175,4.311654,2150000,21500,32.49,-0.0037348706,0.024041826,8236,0.05148421,0.08666202,1.860836094749393,277.54948592185974,0.0068706493
44,0.9712230637669563,4.2849445,2200000,22000,36.68,-0.0038326795,0.03149368,8242,0.05476647,0.073263995,2.0409534918915595,283.98006105422974,0.006126008
45,0.9731070175766945,4.260181,2250000,22500,37.79,-0.002829872,0.030176079,8102,0.054943692,0.06331799,2.2584218244973453,290.6273715496063,0.0056543397
46,0.9720473997294903,4.235318,2300000,23000,36.49,-0.0023413906,0.031659637,8019,0.05679768,0.04315799,2.12225590795686,297.2714400291443,0.00446139
47,0.9716641753911972,4.1985316,2350000,23500,36.94,-0.002274555,0.032429054,8206,0.058666095,0.048901998,2.104469739397755,304.16277623176575,0.00481172
48,0.9710185453295708,4.1643896,2400000,24000,36.47,-0.0030588072,0.032455955,7896,0.06299935,0.068116,2.2392130058797193,310.64997959136963,0.005910334
49,0.9679884500801563,4.1364617,2450000,24500,31.11,-0.0021772985,0.03311367,7952,0.06630086,0.04450201,1.7496763962984552,317.5120658874512,0.0046804077
50,0.9674002379179001,4.105212,2500000,25000,33.42,-0.0021337732,0.034467805,8362,0.06755107,0.046275992,1.8603539967079996,324.39999747276306,0.004705339
51,0.968271691352129,4.0748296,2550000,25500,28.68,-0.002051113,0.03151925,7885,0.07072094,0.047914,1.6255898539331974,330.96891474723816,0.004743239
52,0.9637035243213177,4.046172,2600000,26000,30.83,-0.0016404818,0.035020348,7938,0.07322129,0.04302001,1.8250512965454255,337.8786962032318,0.004496145
