serial_timesteps,approxkl,total_timesteps,time_elapsed,ep_len_mean,n_updates,ep_reward_mean,value_loss,explained_variance,policy_loss,fps,clipfrac,policy_entropy,true_reward
17500,0.0027646883,1750000,114.80456447601318,71.59,35,-11.890222413226029,72.75082,0.07839184999465942,-0.004427365,16671,0.020064002,5.7462587,-0.3719502
18000,0.0024430982,1800000,118.2968921661377,101.34,36,-36.74790973271842,133.86226,0.062200069427490234,-0.004273568,17540,0.017499998,5.7663794,-0.4600121
18500,0.0028912732,1850000,121.76348829269409,104.03,37,-18.21022151045002,69.816635,0.11242634057998657,-0.0040523405,18834,0.020874,5.7909465,-0.3894268
19000,0.0025897203,1900000,124.96461796760559,102.61,38,-28.00185688488118,122.52671,0.08187717199325562,-0.0036032512,19245,0.017777998,5.8010955,-0.4372771
19500,0.0034723796,1950000,128.14718747138977,107.85,39,-25.836528102007414,35.518707,0.1872914433479309,-0.005141799,19032,0.030814007,5.826429,-0.3726174
20000,0.0027534412,2000000,131.1689133644104,91.13,40,-17.22953256239211,49.11677,0.16963255405426025,-0.0041090986,19609,0.020607999,5.8492303,-0.39327386
20500,0.003071979,2050000,134.3518226146698,128.55,41,-27.206481618053626,41.755898,0.2459619641304016,-0.004311464,21505,0.024766002,5.8658705,-0.3609105
21000,0.0030565027,2100000,137.12026166915894,112.0,42,-15.380387072707826,32.279346,0.28261393308639526,-0.0044750986,15017,0.024919998,5.882287,-0.34093872
21500,0.0026362557,2150000,140.81845569610596,172.68,43,-42.67378026726355,27.789831,0.31457042694091797,-0.0035604432,17847,0.019458,5.8904877,-0.3258415
22000,0.0024907792,2200000,144.09858989715576,133.82,44,-23.33239926385448,107.29127,0.13072997331619263,-0.0039895074,17218,0.016306005,5.89679,-0.43268645
22500,0.002697184,2250000,147.57838606834412,162.34,45,-36.76595917461448,60.305065,0.21253007650375366,-0.003304044,16836,0.019625999,5.9040127,-0.38365224
23000,0.0030191299,2300000,151.1488494873047,168.09,46,-32.97166720794621,23.005919,0.3810962438583374,-0.0032883224,16431,0.02236,5.8955164,-0.31282684
23500,0.0027539178,2350000,154.74179244041443,229.1,47,-49.689076323133776,19.207531,0.44198304414749146,-0.0027772451,16545,0.020372,5.8976293,-0.2970035
24000,0.003003847,2400000,158.15461325645447,235.21,48,-55.95334343850408,16.814882,0.45748502016067505,-0.0031324925,19563,0.020457998,5.9079394,-0.30469957
24500,0.0028650847,2450000,161.2529332637787,245.87,49,-55.16525150343537,38.083546,0.3645596504211426,-0.003448198,18254,0.02113,5.9027276,-0.35125804
25000,0.0028797442,2500000,164.4747188091278,284.92,50,-57.27428755853603,26.023005,0.43558794260025024,-0.0033508837,17821,0.021358002,5.9114227,-0.29377368
25500,0.0027105873,2550000,167.89137077331543,308.18,51,-62.236071060038036,27.700205,0.44046616554260254,-0.0032188212,18311,0.018762004,5.913868,-0.28061652
26000,0.002857027,2600000,171.14747190475464,288.86,52,-40.710068406629716,11.480241,0.633102148771286,-0.0028445798,16976,0.021142,5.910742,-0.24366133
26500,0.0036921334,2650000,174.492689371109,356.17,53,-39.322500343036,4.7958927,0.7787681221961975,-0.0038170854,18201,0.034762003,5.9124165,-0.1753966
27000,0.005102621,2700000,177.72180843353271,390.14,54,-19.894421605368446,1.5405395,0.9023251086473465,-0.0062350603,17040,0.05792401,5.9034424,-0.12069305
27500,0.0062022493,2750000,181.21895790100098,397.28,55,1.0255058073695182,0.78848916,0.9561189450323582,-0.008858429,17187,0.077141985,5.8728046,-0.07615939
28000,0.0054664807,2800000,184.6340672969818,413.26,56,6.576352992339516,0.8419813,0.9599143452942371,-0.007830018,16780,0.060932007,5.8298273,-0.04945185
28500,0.00511712,2850000,187.98381352424622,430.92,57,13.818125247177795,0.77165776,0.9674264416098595,-0.007374865,17770,0.054463986,5.7850056,-0.024864262
29000,0.0046305074,2900000,191.32268118858337,443.91,58,14.885559938589713,0.6897901,0.9684456065297127,-0.0060442067,18613,0.044316,5.7369447,-0.012137632
29500,0.004770862,2950000,194.47517895698547,442.88,59,15.887133469209052,0.5883519,0.9762410894036293,-0.0067177997,18614,0.045416,5.674907,-0.015920866
30000,0.0056300205,3000000,197.63509964942932,455.12,60,16.810728579741422,0.60167086,0.974249504506588,-0.00638538,17734,0.060609993,5.611102,-0.003481561
30500,0.004873266,3050000,200.95330429077148,466.64,61,18.807803830576383,0.5638477,0.9703046828508377,-0.0060907495,21358,0.049464,5.5493383,0.011314703
31000,0.004461784,3100000,203.78401899337769,467.17,62,19.299689182343094,0.48848385,0.9745564498007298,-0.0048681227,18174,0.042044,5.4965796,0.010811635
31500,0.0048013865,3150000,206.92043161392212,471.69,63,18.72016594706859,0.46447754,0.9740903079509735,-0.0047938903,18607,0.047944,5.4558563,0.014576826
32000,0.0042884974,3200000,210.02740621566772,478.04,64,19.608479662236224,0.40733087,0.976632222533226,-0.0049999245,16431,0.036220003,5.3928547,0.021414576
32500,0.0047066975,3250000,213.39749097824097,475.18,65,21.121683791100512,0.47066945,0.9723101053386927,-0.0056331293,16733,0.045232005,5.332547,0.022178013
33000,0.005021147,3300000,217.0074851512909,482.68,66,22.52466273987721,0.44801873,0.9637902416288853,-0.0048236726,18045,0.052248,5.277346,0.03150799
33500,0.0038998444,3350000,220.3241946697235,476.7,67,23.852906395736028,0.4565814,0.9692013878375292,-0.0044972934,20527,0.033260003,5.228984,0.028418507
34000,0.0046163234,3400000,223.31911611557007,480.59,68,22.645386828528945,0.4588563,0.9664718620479107,-0.004820824,20083,0.043402005,5.1785045,0.028973436
34500,0.005074305,3450000,226.17448139190674,482.87,69,24.113389786754386,0.4469072,0.9613452777266502,-0.004627702,22037,0.051079992,5.1196785,0.035322554
35000,0.0042219604,3500000,228.95928192138672,492.44,70,24.752013988989056,0.43255877,0.953361377120018,-0.0046782144,17547,0.03762999,5.064977,0.042813536
35500,0.0045064036,3550000,232.29405760765076,483.65,71,25.07340349779409,0.42059627,0.9648567922413349,-0.0052041993,15853,0.041455995,5.004649,0.036785256
36000,0.004398836,3600000,235.912091255188,492.41,72,26.852057945538228,0.4572167,0.9331347942352295,-0.0041999663,19380,0.040488,4.945525,0.047368485
36500,0.0046250797,3650000,239.06706547737122,487.22,73,25.747608098761187,0.39437848,0.9579446874558926,-0.004369892,20205,0.046580005,4.8985686,0.04177837
37000,0.0044628857,3700000,242.0756402015686,487.07,74,28.109014013345927,0.43249667,0.9466640837490559,-0.0040157805,18008,0.042290002,4.8505106,0.045488726
37500,0.003962068,3750000,245.17118000984192,489.05,75,29.007232513404425,0.36207026,0.955567117780447,-0.0045621903,19450,0.033532,4.7978787,0.04922645
38000,0.0040349034,3800000,248.15035104751587,488.4,76,27.324799946719686,0.47654274,0.9481486156582832,-0.004706333,17895,0.035774004,4.7414765,0.046021737
38500,0.0049380474,3850000,251.43374395370483,489.54,77,30.76770159429836,0.34462517,0.9544922336935997,-0.0046697264,16032,0.04854,4.6804676,0.05290187
39000,0.0038639111,3900000,255.1372082233429,488.03,78,31.16047375623473,0.392953,0.9512391798198223,-0.0043198015,15252,0.033512,4.6243825,0.052137583
39500,0.003913436,3950000,258.9847550392151,485.6,79,30.011070943513133,0.45312524,0.9529935121536255,-0.004408984,16935,0.033611998,4.5794125,0.047715
40000,0.0043127127,4000000,262.4146497249603,488.84,80,30.8285696434692,0.3427456,0.9578766711056232,-0.0039227083,15011,0.039776005,4.5428576,0.05295235
40500,0.004143081,4050000,266.2887954711914,490.08,81,31.35807310796408,0.3241136,0.9572825282812119,-0.0042089853,15376,0.03627801,4.5055695,0.054658055
41000,0.0042268415,4100000,270.11336183547974,490.61,82,31.137752308259888,0.31631607,0.958610039204359,-0.0047902917,16392,0.040028,4.4558015,0.054499004
41500,0.0049233516,4150000,273.6641991138458,493.4,83,30.774873373900647,0.40045193,0.9447011686861515,-0.0046864245,15411,0.049459998,4.398201,0.056009796
42000,0.0051209466,4200000,277.3308320045471,494.82,84,32.19022782705304,0.3466246,0.9379780143499374,-0.004877701,22085,0.053859994,4.3517857,0.060062535
42500,0.006139072,4250000,280.0515592098236,493.54,85,31.600203130376702,0.30740488,0.9575331695377827,-0.0043674204,20445,0.07416399,4.325037,0.057968497
43000,0.005490322,4300000,282.9997367858887,494.77,86,34.06036327086557,0.28761363,0.9465653151273727,-0.005520429,17246,0.059198003,4.2836576,0.06380845
43500,0.0059467657,4350000,286.44790172576904,495.35,87,34.59012315799269,0.30284294,0.9394776746630669,-0.0052177804,16879,0.06795802,4.225367,0.06529681
