time_elapsed,approxkl,clipfrac,serial_timesteps,true_reward,ep_reward_mean,explained_variance,ep_len_mean,policy_entropy,policy_loss,value_loss,total_timesteps,fps,n_updates
231.96219944953918,0.004290519,0.042221993,17500,0.09258942,2.5402899899582554,0.9143914207816124,39.34,4.9960155,-0.005765693,0.4880287,1750000,8066,35
238.58221077919006,0.0042921575,0.040082008,18000,0.09732344,2.692115315089122,0.9167901277542114,40.75,4.971941,-0.005608737,0.47975475,1800000,8003,36
245.3281705379486,0.0046045473,0.046775993,18500,0.10061153,2.793843392551189,0.9264610931277275,40.75,4.9508348,-0.0066742636,0.4376231,1850000,7834,37
252.3700830936432,0.0047241743,0.048217993,19000,0.093678676,2.075720969098511,0.9214909598231316,39.5,4.931076,-0.005965386,0.43046242,1900000,7769,38
259.3324785232544,0.004283795,0.041261997,19500,0.099898994,2.9511139844531136,0.9258133769035339,36.58,4.9110484,-0.0060482575,0.4675187,1950000,7738,39
266.3010342121124,0.0041745794,0.039313994,20000,0.09948506,2.4139744216921097,0.9265945255756378,40.46,4.887808,-0.00567932,0.44751588,2000000,7876,40
273.16225957870483,0.0039305505,0.035558,20500,0.11280468,2.413282483370276,0.9300459027290344,36.76,4.8637457,-0.005418483,0.5198775,2050000,7875,41
279.75475454330444,0.004457423,0.044753995,21000,0.10356505,2.282844760511507,0.9301951080560684,33.38,4.837457,-0.006357746,0.46965978,2100000,8308,42
286.2580678462982,0.0043311487,0.04252001,21500,0.10590397,2.791205652084318,0.9308153167366982,40.5,4.812233,-0.006355963,0.47215295,2150000,7765,43
293.2543261051178,0.0046236627,0.045792,22000,0.11496537,3.33679199977516,0.932897187769413,42.18,4.784325,-0.0063835345,0.5367495,2200000,7821,44
300.09564995765686,0.004007051,0.038776007,22500,0.109595604,2.542938116933219,0.927984356880188,38.02,4.7682557,-0.005667329,0.5343329,2250000,8025,45
306.8189206123352,0.004425844,0.043174006,23000,0.1181287,3.8292021107216714,0.9300035536289215,38.7,4.7522078,-0.005922965,0.59279937,2300000,7869,46
313.7860298156738,0.004729396,0.048778,23500,0.118796974,2.70196304569894,0.9347317963838577,39.96,4.718598,-0.006146482,0.5200376,2350000,7861,47
