fps,time_elapsed,policy_loss,true_reward,total_timesteps,approxkl,explained_variance,value_loss,serial_timesteps,policy_entropy,n_updates,ep_reward_mean,ep_len_mean,clipfrac
7733,227.01696705818176,-0.0061133234,-0.018789379,1700000,0.004148353,0.9159918576478958,0.17670706,17000,5.025442,34,0.046076268747710855,44.21,0.038932007
7995,234.04266929626465,-0.0070845014,-0.016731547,1750000,0.0049633123,0.9201269596815109,0.19295849,17500,5.0015574,35,0.3275361381307448,46.94,0.053639993
7620,240.78957557678223,-0.0068903877,-0.014900713,1800000,0.0049079,0.9206248670816422,0.18639392,18000,4.972918,36,0.5442850101741351,46.3,0.051412
8022,247.97437810897827,-0.006554802,-0.014150287,1850000,0.004621438,0.9228097349405289,0.18580632,18500,4.9450407,37,0.435602057750948,41.34,0.047622
7967,254.5701723098755,-0.0061254124,-0.01256977,1900000,0.004119477,0.923073798418045,0.18588184,19000,4.922505,38,0.2925268874023459,37.31,0.039538004
8047,261.393931388855,-0.006860699,-0.013247805,1950000,0.00478551,0.9194140434265137,0.18462373,19500,4.894597,39,0.37747862784173775,44.25,0.049170006
7737,268.07397198677063,-0.0070064627,-0.008102069,2000000,0.004471512,0.9228147193789482,0.19735436,20000,4.8649535,40,1.176397257859062,43.92,0.044595994
8071,274.84338569641113,-0.0067025064,-0.012200172,2050000,0.0047086854,0.9285465106368065,0.17204271,20500,4.833133,41,0.34262617092957953,41.22,0.048226003
7725,281.56849217414856,-0.0065798485,-0.0047197733,2100000,0.004793966,0.9269286766648293,0.19070517,21000,4.8013024,42,0.9875978160233353,45.47,0.048917998
8053,288.5063090324402,-0.0072311955,-0.0019255609,2150000,0.0049491543,0.9262391999363899,0.19173671,21500,4.7678967,43,1.0008059693775795,42.61,0.051952004
7951,295.3359444141388,-0.006782971,-0.0050405655,2200000,0.00495441,0.9345641583204269,0.18448791,22000,4.743693,44,0.6587056189334544,44.38,0.053190004
7771,302.14515805244446,-0.0075533153,-0.0075862044,2250000,0.0049785357,0.9302593916654587,0.18907854,22500,4.718027,45,0.6083618275290064,42.25,0.053965993
7732,308.8915936946869,-0.0071060564,-0.0037611786,2300000,0.0051112073,0.9312781244516373,0.20173174,23000,4.6862626,46,0.8858087201039598,45.58,0.055156004
7964,315.7836425304413,-0.0066749332,-0.0045439815,2350000,0.0049216137,0.938144139945507,0.20545001,23500,4.656415,47,0.7037117779567051,43.28,0.051484004
8031,322.6622498035431,-0.0070498763,-0.0032687979,2400000,0.0049484083,0.9367920309305191,0.19910288,24000,4.6305923,48,0.9659153579149279,47.9,0.051880006
8014,329.35810899734497,-0.0070222337,-4.2714214e-06,2450000,0.004660754,0.9320980459451675,0.2057421,24500,4.610237,49,1.411853047702607,48.93,0.048468012
7706,336.136860370636,-0.006402075,-0.00047593054,2500000,0.004680686,0.9374398589134216,0.19984847,25000,4.5873685,50,1.6694899507187073,51.78,0.04816799
7960,343.15654158592224,-0.0069678007,0.0005770604,2550000,0.004892828,0.9423176571726799,0.19433592,25500,4.5620565,51,1.2372586814021633,49.55,0.051515993
7911,349.9834713935852,-0.0074863704,0.00041501553,2600000,0.004904958,0.9420194625854492,0.18959942,26000,4.543876,52,1.2824988805665634,48.02,0.05266001
8261,356.8032476902008,-0.006997407,0.00090272765,2650000,0.0049166786,0.9410182647407055,0.19577263,26500,4.515496,53,1.052379178867559,52.08,0.05084601
7776,363.47254157066345,-0.007174264,0.0017819295,2700000,0.005194461,0.9372355788946152,0.20843609,27000,4.4788523,54,1.7992151720177207,53.91,0.05681401
7892,370.4265248775482,-0.0077676177,0.0031565872,2750000,0.0050895195,0.939695481210947,0.19997844,27500,4.4500847,55,1.622306635726418,51.04,0.055232
7918,376.99615836143494,-0.007163937,0.0058777016,2800000,0.005073846,0.9420099295675755,0.20018327,28000,4.4238243,56,1.0997782287886366,49.61,0.055019997
7820,383.8688654899597,-0.0064988825,0.0023974641,2850000,0.004603295,0.9449444934725761,0.19640881,28500,4.40399,57,1.1141284090952832,50.12,0.046880003
7818,390.86563181877136,-0.00788182,0.007909764,2900000,0.0054202504,0.9490981251001358,0.18311618,29000,4.377329,58,1.8521454074005306,47.26,0.060437992
7916,397.8708875179291,-0.0074150995,0.0052149026,2950000,0.0052455286,0.9471386484801769,0.19255638,29500,4.3519635,59,1.5515966673838557,53.46,0.05792401
8097,404.7773115634918,-0.0073005827,0.004114401,3000000,0.0051075476,0.9506176970899105,0.17496653,30000,4.324651,60,1.6141015140009403,49.41,0.054208003
7763,411.59467005729675,-0.0071075168,0.009356165,3050000,0.005126832,0.9479855373501778,0.20367664,30500,4.2987323,61,1.3355726898642752,49.48,0.055709995
7884,418.40318846702576,-0.00780929,0.0056805895,3100000,0.0053180633,0.9509497135877609,0.17155436,31000,4.273281,62,1.2164288230356397,53.47,0.05904799
7839,425.221022605896,-0.008310493,0.010815569,3150000,0.0052178665,0.9509619548916817,0.19903141,31500,4.2468233,63,1.3302936998667791,53.79,0.056975998
8166,432.2041997909546,-0.006833759,0.010247424,3200000,0.004816725,0.9501733481884003,0.20591547,32000,4.2270646,64,2.408732541558129,63.02,0.050769996
8003,438.8071343898773,-0.007228096,0.007359021,3250000,0.0047400473,0.9528945423662663,0.19590376,32500,4.1964617,65,2.105558308489199,56.89,0.048629995
7927,445.51149916648865,-0.007256804,0.010185893,3300000,0.0050661527,0.9556066617369652,0.18707696,33000,4.1688585,66,1.6331432772579138,53.46,0.05489798
7743,452.49646377563477,-0.008344477,0.012007993,3350000,0.005449022,0.9582845196127892,0.18476334,33500,4.1482244,67,2.12624977539308,55.8,0.06044
7805,459.42835450172424,-0.007536686,0.011097912,3400000,0.005155568,0.9582367800176144,0.18764691,34000,4.1343026,68,1.6185983383449638,47.12,0.057350002
8108,466.389288187027,-0.007863767,0.007274278,3450000,0.005084157,0.95321149751544,0.20061672,34500,4.1148086,69,2.077132416534587,58.51,0.05530199
7695,472.7849736213684,-0.007859864,0.013959988,3500000,0.005396006,0.9592007920145988,0.17812634,35000,4.0954103,70,2.949647794085904,63.43,0.060324006
7842,479.79840087890625,-0.007387161,0.015509353,3550000,0.005171512,0.9599905163049698,0.19152893,35500,4.082529,71,2.754171849677805,58.06,0.05722601
8115,486.5853922367096,-0.00759192,0.012648072,3600000,0.0053065843,0.9638954252004623,0.17344572,36000,4.0643334,72,2.519309304216877,61.17,0.05964002
8022,493.26935338974,-0.0072533954,0.017336896,3650000,0.0049232217,0.9630616009235382,0.18513916,36500,4.046602,73,3.4092001142999653,73.95,0.052313995
7765,500.05115127563477,-0.007994213,0.015129829,3700000,0.005426797,0.9655401520431042,0.1700759,37000,4.0314164,74,2.725814520980348,70.81,0.061591994
8254,507.0178234577179,-0.007830217,0.014273474,3750000,0.005282283,0.9645110853016376,0.16751733,37500,4.02219,75,3.1146977759507717,75.39,0.060283996
7988,513.685863494873,-0.0071207695,0.017487556,3800000,0.0051387926,0.9661655612289906,0.17179742,38000,4.0138206,76,3.244964619982202,67.59,0.056900002
8368,520.2913875579834,-0.007869809,0.01932723,3850000,0.0056614643,0.9662130922079086,0.16430682,38500,3.9989333,77,3.783734930177161,74.26,0.06509201
7979,526.7583854198456,-0.008714033,0.015736412,3900000,0.005959222,0.9685753211379051,0.16280058,39000,3.978664,78,3.545342701122936,80.67,0.069726
7898,533.6250689029694,-0.007916516,0.018858876,3950000,0.0053710286,0.9675970859825611,0.1763886,39500,3.9584713,79,2.5067926900540622,64.03,0.059884
7998,540.4854748249054,-0.0080292635,0.016049355,4000000,0.0053097215,0.969763208180666,0.17470396,40000,3.9449093,80,3.1248719967104264,75.59,0.060531996
8249,547.3545792102814,-0.008285665,0.01797498,4050000,0.0057583796,0.9682009331882,0.17280847,40500,3.9152584,81,4.447930964976986,78.85,0.06587599
7871,553.7732367515564,-0.008956507,0.015791807,4100000,0.0057909153,0.9687037952244282,0.16763447,41000,3.8792233,82,3.7700024654852315,85.57,0.06695599
7738,560.6886224746704,-0.007932687,0.021666827,4150000,0.005603924,0.9718872979283333,0.1557434,41500,3.8492346,83,4.924045731983206,98.34,0.063996
7959,567.677699804306,-0.008301645,0.02079886,4200000,0.0053994725,0.974838500842452,0.14787336,42000,3.8212218,84,4.357017521880953,93.33,0.060636
7988,574.4010035991669,-0.00853578,0.020341797,4250000,0.0055224085,0.973199674859643,0.16501802,42500,3.7958603,85,5.931537090686033,114.67,0.06302001
7765,581.2123572826385,-0.007974402,0.019411793,4300000,0.0054224283,0.9714899901300669,0.17359334,43000,3.7758276,86,5.378308193168196,111.37,0.061878014
7818,588.036714553833,-0.007870009,0.021666437,4350000,0.0055600284,0.9729973431676626,0.15172161,43500,3.7541993,87,6.187923028682999,125.41,0.063092
7700,594.9787802696228,-0.008670436,0.021175444,4400000,0.0057115494,0.9717555493116379,0.15717283,44000,3.727819,88,6.449407393761066,140.88,0.066486
8023,601.9768850803375,-0.008871818,0.025912317,4450000,0.0063611027,0.9761001039296389,0.14538297,44500,3.6952918,89,7.053404172306327,167.51,0.075784005
8012,608.7343330383301,-0.008375457,0.018107733,4500000,0.005786617,0.9683920070528984,0.17281139,45000,3.6567483,90,5.702029070607023,165.88,0.065847985
7620,615.5812323093414,-0.009238624,0.021930646,4550000,0.00602359,0.97416140884161,0.15363699,45500,3.6218357,91,6.076838248197491,160.69,0.070999995
7890,622.5823602676392,-0.008838045,0.021074213,4600000,0.005781844,0.9719106294214725,0.15677845,46000,3.6013434,92,6.590341659656042,185.7,0.06688398
7760,629.4143483638763,-0.008186223,0.024790918,4650000,0.0058528893,0.9718715343624353,0.15396774,46500,3.5870328,93,7.5707075584838455,225.88,0.06963201
8112,636.402468919754,-0.008785571,0.028183596,4700000,0.0063833175,0.9747233465313911,0.13388667,47000,3.5591395,94,9.08463440706504,261.04,0.076142006
8059,643.1025586128235,-0.008527281,0.027701225,4750000,0.005843249,0.9687078036367893,0.1505282,47500,3.5292597,95,8.46552704914704,247.4,0.067542
8026,649.9981167316437,-0.008507362,0.027263926,4800000,0.005798264,0.9739095140248537,0.13574673,48000,3.5058715,96,9.75683232983567,244.12,0.067026
8254,656.6016476154327,-0.008731791,0.029579155,4850000,0.0059094215,0.9718320593237877,0.1360802,48500,3.478314,97,8.500292611500845,247.46,0.06890798
7997,663.0533871650696,-0.008140426,0.03420651,4900000,0.0056633134,0.9743047934025526,0.116350606,49000,3.458512,98,9.200756679817532,230.09,0.064642
8164,669.8795866966248,-0.008597865,0.033530913,4950000,0.005645076,0.972191708162427,0.12784275,49500,3.435414,99,9.677092494523459,247.22,0.06393799
8265,676.55113530159,-0.008336383,0.03469926,5000000,0.005741203,0.9724500328302383,0.12849644,50000,3.4066694,100,11.2840917427772,261.43,0.06528
8358,683.2200109958649,-0.008885631,0.031464666,5050000,0.0057646306,0.9745122231543064,0.10453353,50500,3.3901784,101,10.323416578909674,266.5,0.066797994
7908,689.821939945221,-0.0078688525,0.032332543,5100000,0.0053486587,0.9729443602263927,0.11391848,51000,3.3709824,102,9.100410366340148,236.28,0.057818003
8239,696.4275286197662,-0.009255295,0.03485122,5150000,0.0056802095,0.975655784830451,0.102816135,51500,3.3518326,103,9.848604437957839,231.93,0.06545399
7997,703.0806744098663,-0.008530538,0.033497047,5200000,0.00612687,0.9709408134222031,0.11400135,52000,3.3374593,104,9.249746769391859,250.51,0.073395975
8123,709.7844805717468,-0.009099493,0.03956759,5250000,0.005720867,0.9777166210114956,0.11424449,52500,3.3032246,105,10.881540689274443,222.49,0.062976
8268,716.2672386169434,-0.008196913,0.037433602,5300000,0.005265685,0.9801848996430635,0.07965747,53000,3.2661462,106,9.093652820166954,225.81,0.05826999
8367,722.8656890392303,-0.008853624,0.03476083,5350000,0.0056520044,0.9734109863638878,0.102892675,53500,3.2378879,107,10.00505325705517,252.19,0.06443801
8245,729.4455246925354,-0.009174006,0.036194604,5400000,0.0058593075,0.9738635290414095,0.10392345,54000,3.2109344,108,11.26357065475142,263.61,0.06801002
8037,735.812249660492,-0.008376327,0.03809871,5450000,0.004983087,0.9731093924492598,0.106563985,54500,3.1904266,109,9.96905283286149,229.14,0.05472999
7928,742.415699005127,-0.008618441,0.035749607,5500000,0.0052263374,0.973832132294774,0.095525354,55000,3.156649,110,11.382545652263925,306.28,0.05755201
7755,749.1783804893494,-0.0072110766,0.039350417,5550000,0.0047879163,0.9784631095826626,0.08031435,55500,3.1237917,111,8.849721041143058,206.82,0.051252007
7974,756.1507134437561,-0.008624616,0.03400714,5600000,0.0052230232,0.9744377098977566,0.082723916,56000,3.1072874,112,10.994998798615743,304.13,0.058269996
7974,762.9778361320496,-0.007579091,0.041895807,5650000,0.0048280684,0.9759421944618225,0.10035841,56500,3.100553,113,10.067644504335648,221.14,0.052322
8033,769.9129476547241,-0.008530686,0.034936704,5700000,0.0056066704,0.972629964351654,0.10729384,57000,3.0873284,114,12.958052825955855,326.83,0.06327398
7954,776.5185544490814,-0.0085515,0.041741837,5750000,0.0052251644,0.9750824738293886,0.10256389,57500,3.0625043,115,12.0920797367673,270.85,0.056628007
8174,783.3069407939911,-0.008458537,0.039722066,5800000,0.0048807845,0.9693811535835266,0.1306757,58000,3.0367303,116,10.030077928417741,220.39,0.05283399
8314,790.0343837738037,-0.0076099574,0.041590646,5850000,0.0052662427,0.9766097720712423,0.10397052,58500,3.0186627,117,10.347961226237603,228.7,0.058197998
8123,796.670197725296,-0.008493146,0.03944815,5900000,0.005233765,0.9795650169253349,0.08217434,59000,2.9959328,118,10.831473804898486,253.63,0.05713599
8199,803.4724295139313,-0.008333165,0.044557497,5950000,0.0056944955,0.9781758170574903,0.09583213,59500,2.9710183,119,9.927149700892514,197.53,0.06432399
7835,810.081835269928,-0.008544671,0.042313736,6000000,0.004687059,0.9703228306025267,0.1316645,60000,2.9470506,120,9.765549798369902,195.24,0.049377993
7881,817.1198916435242,-0.008739231,0.04448444,6050000,0.005773783,0.9800426848232746,0.09027212,60500,2.9260845,121,9.632919603274313,212.78,0.067428
7814,824.0548543930054,-0.007884417,0.043824513,6100000,0.005154242,0.973667299374938,0.11789332,61000,2.9082522,122,10.564517757415942,217.6,0.055740003
7963,830.9304225444794,-0.00736583,0.048687875,6150000,0.0052577173,0.9737738985568285,0.12269224,61500,2.8872862,123,10.078654684899538,172.41,0.057381984
8134,837.7654716968536,-0.007066271,0.0397836,6200000,0.0053012683,0.974746385589242,0.10373617,62000,2.8694959,124,8.854023489127794,205.31,0.058856007
7902,844.3649697303772,-0.007634742,0.04563619,6250000,0.005684551,0.9778720904141665,0.09900484,62500,2.85271,125,9.314306008714647,180.05,0.065254
8049,850.9787983894348,-0.00822626,0.043463297,6300000,0.0056584645,0.9794091619551182,0.089901105,63000,2.828946,126,9.066538847325427,187.79,0.06394601
8043,857.6084032058716,-0.008130482,0.048049033,6350000,0.0061929035,0.9816103018820286,0.09394656,63500,2.795702,127,10.391515063174884,201.37,0.072571985
7998,864.4070794582367,-0.008456102,0.050124813,6400000,0.005141993,0.9796024858951569,0.10401726,64000,2.768889,128,9.729042303336028,163.34,0.057086002
8121,871.3267703056335,-0.008227034,0.04741485,6450000,0.005244087,0.9784196652472019,0.10183756,64500,2.746446,129,10.247491147206588,187.57,0.05809399
7942,877.8806846141815,-0.00817797,0.048610795,6500000,0.005397944,0.9764420725405216,0.10507494,65000,2.7236292,130,10.178092104126444,173.19,0.05928801
8422,884.546802520752,-0.008185215,0.048846334,6550000,0.00528604,0.9811392314732075,0.09537032,65500,2.705499,131,10.768924277619881,182.24,0.059279993
8541,891.0532517433167,-0.008990408,0.047242988,6600000,0.0059564537,0.9767119102180004,0.11548545,66000,2.689422,132,9.405161971340203,158.49,0.070172
8376,897.3608989715576,-0.008557504,0.04618922,6650000,0.0059030037,0.9796795230358839,0.110442355,66500,2.6725128,133,8.718491881296178,148.77,0.06796599
8408,903.9337253570557,-0.0075933947,0.0438187,6700000,0.005985868,0.9830561354756355,0.08337572,67000,2.6531909,134,11.333981312508094,250.23,0.07027599
8427,910.3429136276245,-0.008117481,0.04797835,6750000,0.005271864,0.9789191335439682,0.10513122,67500,2.6376612,135,9.66870722253776,166.01,0.0599
8431,916.8348495960236,-0.008150388,0.044994064,6800000,0.0055237417,0.9758582059293985,0.11717707,68000,2.6340125,136,10.420456010562047,217.83,0.063096
8248,923.064368724823,-0.007829439,0.052189287,6850000,0.005029617,0.9727254379540682,0.12974933,68500,2.629667,137,9.619139131853444,146.06,0.056325983
8032,929.7085118293762,-0.008071089,0.050487258,6900000,0.005602713,0.9811659436672926,0.09296096,69000,2.6075737,138,9.087995193804527,151.58,0.06224999
8308,936.4080264568329,-0.007508993,0.05152807,6950000,0.0055681462,0.9808758031576872,0.101778075,69500,2.5899465,139,10.27213271354065,148.7,0.06439
8359,942.7208273410797,-0.007912876,0.053502876,7000000,0.0056789503,0.9805338401347399,0.09875244,70000,2.579971,140,11.223394250302427,187.18,0.064846
8314,949.2657463550568,-0.008509232,0.05133316,7050000,0.005557521,0.9747747629880905,0.11681266,70500,2.5751956,141,9.90116928341522,151.87,0.064864
8068,955.7469310760498,-0.008133523,0.052500036,7100000,0.005298295,0.9741103108972311,0.13433772,71000,2.566077,142,11.104269518263864,175.43,0.059648003
8111,962.466787815094,-0.008111983,0.053613253,7150000,0.0051914384,0.9801231753081083,0.10436375,71500,2.551602,143,10.156623523870294,165.59,0.058026005
8222,969.1325206756592,-0.007681191,0.05354568,7200000,0.005518232,0.978998139500618,0.10160808,72000,2.5295072,144,11.508741483819868,177.38,0.06216199
8106,975.614120721817,-0.008447515,0.056477338,7250000,0.005533682,0.9805683847516775,0.10683298,72500,2.5160108,145,10.692439260575211,166.71,0.064192005
8196,982.326322555542,-0.008996129,0.054732364,7300000,0.005757419,0.9821811486035585,0.09383521,73000,2.5089629,146,10.530748850882082,149.98,0.06738002
8243,989.0044870376587,-0.008455427,0.056072153,7350000,0.0057561668,0.984329229220748,0.08060074,73500,2.4983816,147,9.60182444962673,144.88,0.066762
8418,995.5958015918732,-0.008546522,0.05695369,7400000,0.005183724,0.9803497064858675,0.10511319,74000,2.4776857,148,9.991203095847085,154.27,0.05956401
8370,1002.0510776042938,-0.0087613575,0.062673464,7450000,0.0053642346,0.9847534671425819,0.08686436,74500,2.451295,149,10.864865110381652,149.66,0.06062199
8299,1008.4585747718811,-0.008026835,0.05722523,7500000,0.0057054516,0.9832831546664238,0.091346465,75000,2.430939,150,10.990696218160055,163.05,0.064330004
8119,1014.7571625709534,-0.008163137,0.05772906,7550000,0.0056595034,0.9835124295204878,0.08797785,75500,2.4152708,151,11.90688061385652,178.24,0.06475201
