true_reward,explained_variance,time_elapsed,policy_loss,value_loss,policy_entropy,n_updates,clipfrac,ep_reward_mean,fps,ep_len_mean,total_timesteps,approxkl,serial_timesteps
-0.43483663,0.1318967342376709,154.32656621932983,-0.00046313874,3.5138092,5.630147,35,2.7999999e-05,-4.639959202594678,11274,26.64,1750000,0.0003802068,17500
-0.42972222,0.04680943489074707,158.8328206539154,-0.00025325257,3.2786765,5.6276917,36,5.0000002e-05,-4.906369337122815,11810,30.58,1800000,0.00038752533,18000
-0.4260999,0.07549989223480225,163.13090658187866,-0.0005369705,2.9308136,5.627483,37,5.9999998e-06,-4.229963506635886,11523,26.48,1850000,0.00022944956,18500
-0.4321997,0.0538252592086792,167.52941703796387,-0.000484614,2.8892484,5.627605,38,0.000218,-3.443419446684784,11659,23.51,1900000,0.0004947318,19000
-0.42306903,0.024976491928100586,171.87932705879211,-0.00056869246,2.7016487,5.6263494,39,3.4e-05,-3.856304846492785,13068,28.27,1950000,0.00040010666,19500
-0.4253596,0.021145284175872803,175.76642060279846,-0.00056867406,2.729529,5.625077,40,6.9999995e-05,-3.7686239578922685,10704,25.99,2000000,0.00039311856,20000
-0.4167306,0.005959987640380859,180.4969997406006,-0.00045226986,2.4682007,5.625311,41,2.3999999e-05,-3.562909307408554,12644,27.75,2050000,0.00029077302,20500
-0.41093004,0.01589977741241455,184.51135969161987,-0.0005763105,2.2768202,5.6271486,42,4.2e-05,-3.591891130251373,11517,26.37,2100000,0.00028189886,21000
-0.40860122,-0.039725542068481445,188.91782593727112,-0.00058769353,2.5186496,5.628882,43,8e-05,-3.794221668064929,11565,25.89,2150000,0.00034193476,21500
-0.41226363,-0.04454958438873291,193.32999062538147,-0.0006190639,2.2562728,5.6294146,44,6.6e-05,-4.361949386261113,12213,26.69,2200000,0.0003164445,22000
-0.41195717,-0.03354167938232422,197.48159384727478,-0.00037308794,2.3614063,5.6314135,45,5.7999998e-05,-3.4601694068055666,11406,24.6,2250000,0.00035306328,22500
-0.4085295,-0.027750492095947266,201.92848658561707,-0.00038110203,2.0701456,5.6350923,46,8e-06,-3.4426013066721497,11344,27.1,2300000,0.00019048352,23000
-0.40019774,-0.044161438941955566,206.39479637145996,-0.0004297027,2.2523637,5.636082,47,3.6e-05,-3.9034804590582644,11921,27.44,2350000,0.00031904285,23500
-0.39846593,-0.039452552795410156,210.66438126564026,-0.00080191076,2.3673608,5.6349235,48,0.00015,-3.3692956724920804,11708,26.94,2400000,0.00034786653,24000
-0.39508677,-0.06221425533294678,214.99686765670776,-0.00083253754,2.0125852,5.634131,49,0.002632,-4.599828660064795,11516,32.64,2450000,0.00093305076,24500
