clipfrac,ep_len_mean,explained_variance,policy_loss,policy_entropy,serial_timesteps,ep_reward_mean,fps,approxkl,true_reward,time_elapsed,total_timesteps,value_loss,n_updates
0.05324599,31.15,0.0026345252990722656,-0.00493623,5.6878633,500,-6.012762042461746,8231,0.0049337423,-0.51668245,0.0024750232696533203,50000,40.58658,1
0.05452199,30.83,0.006975054740905762,-0.0052920603,5.702333,1000,-6.503088837666582,8114,0.005079718,-0.54520595,6.882766485214233,100000,65.83542,2
0.058272015,31.42,0.02705448865890503,-0.0049509113,5.7298517,1500,-5.395334531931804,8021,0.0051835626,-0.5218242,13.678171396255493,150000,44.968067,3
0.05302601,30.62,0.04373729228973389,-0.0056107314,5.7379127,2000,-7.494461263196717,8312,0.0049512596,-0.53174984,20.33431363105774,200000,42.092464,4
0.06099599,30.8,0.07803934812545776,-0.0049480665,5.759583,2500,-6.820594003832216,8026,0.0053958492,-0.51169384,26.972620010375977,250000,35.140583,5
0.062716015,28.36,0.0871652364730835,-0.0050311238,5.7854505,3000,-5.3149502877109445,7878,0.0054320004,-0.50842994,33.68765687942505,300000,34.486347,6
0.07043201,27.73,0.10980015993118286,-0.0055410136,5.8026466,3500,-5.139303963223192,8285,0.0059204586,-0.50260395,40.24256372451782,350000,31.396738,7
0.05936399,28.97,0.13220196962356567,-0.00423204,5.816158,4000,-5.098485342946369,8046,0.005251071,-0.49625728,46.89882469177246,400000,29.985123,8
0.058224,32.5,0.15766584873199463,-0.005149678,5.8191686,4500,-7.572896867536674,8118,0.005256419,-0.48805723,53.534799337387085,450000,26.233545,9
0.054967985,29.11,0.18313902616500854,-0.00569516,5.815885,5000,-5.703182863246184,8158,0.0050347806,-0.47457704,60.30410838127136,500000,23.704563,10
0.052095998,27.12,0.06963711977005005,-0.0051048193,5.8292556,5500,-4.042201513001186,8209,0.0049278317,-0.48834905,66.9892201423645,550000,37.365917,11
0.055961996,31.56,0.1605055332183838,-0.005380262,5.817484,6000,-4.173563238707338,8780,0.00516853,-0.48672876,73.56332206726074,600000,27.070627,12
0.052552,32.01,0.11451023817062378,-0.004735495,5.846581,6500,-5.639281581137693,8074,0.0048683984,-0.4808401,79.7622663974762,650000,34.73383,13
0.06050601,30.51,0.19627892971038818,-0.006226805,5.875294,7000,-5.080663230013434,8111,0.005371488,-0.46467015,86.66873860359192,700000,21.810492,14
0.059621997,28.98,0.17545688152313232,-0.005810802,5.907251,7500,-5.053894802587456,8061,0.0052793343,-0.469955,93.42737936973572,750000,22.921553,15
0.060386013,31.26,0.19395476579666138,-0.0050447662,5.9197884,8000,-7.475668759337059,8118,0.0053518773,-0.46107966,100.27533316612244,800000,22.850893,16
0.061427996,29.9,0.23346418142318726,-0.0056357807,5.9527235,8500,-4.330184388024703,7920,0.005349125,-0.4424327,106.89100480079651,850000,18.612007,17
0.045203995,32.94,0.09314596652984619,-0.0045643444,6.0005608,9000,-5.65230095711433,8334,0.0043951226,-0.47248238,113.84165263175964,900000,40.499924,18
0.056288008,29.59,0.11211711168289185,-0.005552822,6.0057764,9500,-4.18827922743003,8217,0.0053472435,-0.4599945,120.35417461395264,950000,32.75239,19
0.07544799,30.27,0.42382389307022095,-0.0067882254,6.0139465,10000,-3.8675810163457207,8509,0.006211468,-0.4223232,126.86170148849487,1000000,10.4149475,20
0.060069993,33.39,0.18187910318374634,-0.0066013765,6.026781,10500,-4.977699585859845,8278,0.0054188496,-0.44081417,133.09622502326965,1050000,22.511683,21
0.067732,35.23,0.32342100143432617,-0.006566206,6.039695,11000,-5.9911648585819055,8024,0.005746567,-0.41485542,139.6371808052063,1100000,12.027596,22
0.067949995,32.61,0.3492087125778198,-0.0061388966,6.0669727,11500,-4.00352954883223,8273,0.0058494555,-0.40879667,146.3154332637787,1150000,11.047377,23
0.050226007,31.69,0.14376217126846313,-0.005464573,6.092583,12000,-3.256057847357497,8393,0.0047531785,-0.4296739,153.02612257003784,1200000,30.598103,24
0.050236,36.44,0.13173747062683105,-0.0056633884,6.120666,12500,-4.366625115806873,8223,0.0047195763,-0.42403936,159.537207365036,1250000,29.412542,25
0.06218801,35.81,0.3233201503753662,-0.0068159928,6.1473327,13000,-4.208177599049068,8082,0.0054558516,-0.40100965,166.14141011238098,1300000,12.356135,26
0.06586001,36.24,0.4739425778388977,-0.0066093355,6.147472,13500,-3.981517676008207,8392,0.0057308297,-0.39010784,172.7295799255371,1350000,6.556388,27
0.066746,48.13,0.35894471406936646,-0.0060634436,6.1544356,14000,-7.760315626472274,8355,0.0057477523,-0.38496694,179.06600999832153,1400000,10.169762,28
0.059712008,35.16,0.37317365407943726,-0.0057769483,6.180281,14500,-4.9829554264563924,8341,0.0052918107,-0.38966855,185.4642515182495,1450000,9.042347,29
0.064342,43.15,0.4738171696662903,-0.004970828,6.1780634,15000,-3.448337017020567,8302,0.0056815525,-0.36395106,191.92908143997192,1500000,6.7428613,30
0.053706005,35.34,0.24231523275375366,-0.005408832,6.192674,15500,-3.9532019387768376,8081,0.004995951,-0.37794024,198.642151594162,1550000,13.855682,31
0.063519984,43.48,0.5054150819778442,-0.007265085,6.202559,16000,-4.016955633908001,8216,0.005552515,-0.35989246,205.20237231254578,1600000,6.4150157,32
0.051406007,51.37,0.22793692350387573,-0.0070792143,6.23848,16500,-5.382910199967631,8111,0.0048695146,-0.3678694,211.86099886894226,1650000,23.975107,33
0.049924005,48.1,0.1407192349433899,-0.006147865,6.289642,17000,-8.66094940805015,8179,0.0049608336,-0.39361605,218.5729591846466,1700000,56.366623,34
0.049139995,51.2,0.17775756120681763,-0.006352165,6.311536,17500,-9.621125747192623,8021,0.0048031267,-0.40318054,225.18931674957275,1750000,52.773903,35
0.049354006,54.58,0.46975046396255493,-0.006437806,6.329393,18000,-5.034541838582227,8063,0.004656452,-0.3331952,232.12989020347595,1800000,10.447845,36
0.057250004,50.36,0.31638777256011963,-0.006723646,6.3521843,18500,-9.590930976589188,8307,0.005169087,-0.36135268,239.00187993049622,1850000,16.945969,37
