ep_reward_mean,n_updates,ep_len_mean,time_elapsed,true_reward,policy_loss,policy_entropy,clipfrac,total_timesteps,approxkl,fps,serial_timesteps,explained_variance,value_loss
-0.9653963842790109,1,37.33,0.020273923873901367,-0.04790253,-0.005888374,5.673444,0.037016004,50000,0.00402129,7986,500,0.09364229440689087,0.6802531
-0.9731137526885868,2,38.8,6.975637912750244,-0.046221863,-0.005991582,5.6655912,0.033705994,100000,0.0037315064,7851,1000,0.25416243076324463,0.599795
-0.46640741882132714,3,39.79,13.818270921707153,-0.042089246,-0.0052263113,5.656521,0.032520007,150000,0.0037766746,8011,1500,0.39097899198532104,0.4785065
-0.6128072868239542,4,32.72,20.60987949371338,-0.04557219,-0.00527654,5.6520123,0.0304,200000,0.0034839667,8013,2000,0.4587727189064026,0.46019882
-0.6613079081167962,5,37.0,27.525062322616577,-0.04785862,-0.0051335176,5.6413,0.029569995,250000,0.003618322,7643,2500,0.5275092720985413,0.45707202
-0.9568278390378692,6,40.14,34.45392918586731,-0.04556119,-0.005244897,5.6345453,0.03357,300000,0.003762506,7726,3000,0.5894830524921417,0.39073762
-0.09476663514346001,7,40.24,41.357762813568115,-0.04000407,-0.005092217,5.614589,0.032072,350000,0.0037667952,7960,3500,0.6440809071063995,0.36579758
-0.8111033329140628,8,40.32,47.89732909202576,-0.042292476,-0.005156013,5.5957003,0.028571997,400000,0.003462899,7912,4000,0.6668453514575958,0.3581646
-0.9092157358107943,9,43.53,54.73621129989624,-0.04268355,-0.0055251694,5.586694,0.031293996,450000,0.0035786661,7727,4500,0.6974720358848572,0.32081157
-0.5006641222217877,10,37.23,61.67053771018982,-0.040096644,-0.0057171113,5.5788274,0.033484004,500000,0.003785413,7709,5000,0.7390526831150055,0.28536132
-0.3095786327977839,11,35.97,68.6827621459961,-0.04147081,-0.006090125,5.565099,0.034096006,550000,0.0038408209,7871,5500,0.7532413452863693,0.2890773
-0.4989241984918772,12,39.93,75.36612391471863,-0.043183975,-0.005128141,5.5516953,0.030906005,600000,0.0036057252,7689,6000,0.7688388526439667,0.32084954
-0.4201185612443078,13,37.05,82.47536897659302,-0.042307716,-0.0054602944,5.5388584,0.030711997,650000,0.0036642933,8013,6500,0.7926943451166153,0.27086636
-0.6431915267958539,14,33.32,89.32921409606934,-0.039957955,-0.0053456444,5.5246444,0.033115998,700000,0.0038075661,7964,7000,0.8222320973873138,0.25162923
-0.678670965288402,15,36.52,96.07745051383972,-0.040470343,-0.0059844293,5.507006,0.037706006,750000,0.0040459554,7990,7500,0.8104717433452606,0.2687303
-0.503800607656085,16,38.15,102.83598756790161,-0.03956482,-0.0064361645,5.493135,0.042461995,800000,0.0042533814,8032,8000,0.8315569460391998,0.23483953
-0.13425909967438202,17,44.68,109.61317753791809,-0.035828542,-0.0060921945,5.4844713,0.037784003,850000,0.004024438,7984,8500,0.8522331714630127,0.21138343
-0.22438855492131551,18,35.85,116.53136944770813,-0.034596514,-0.006214188,5.4744916,0.046674,900000,0.0045321407,8030,9000,0.8554425090551376,0.2055604
-0.5188828962229308,19,34.4,123.31049084663391,-0.035767116,-0.006106843,5.4603443,0.037692,950000,0.0040089255,8138,9500,0.861680194735527,0.22829422
-0.4076826140322373,20,34.03,129.94271087646484,-0.035637792,-0.0061914395,5.445615,0.04324,1000000,0.004450823,8045,10000,0.8629422187805176,0.21852772
-0.5044552398243104,21,43.18,136.68813633918762,-0.03517912,-0.00576429,5.4211674,0.037328,1050000,0.004006857,7918,10500,0.8785494118928909,0.19201829
-0.18101782452591578,22,42.8,143.5351996421814,-0.030684024,-0.006587431,5.393867,0.047984004,1100000,0.0046845307,7982,11000,0.8776758015155792,0.20501573
-0.20933690495483462,23,37.48,150.40411472320557,-0.028761072,-0.005529748,5.375394,0.03624599,1150000,0.003999289,8086,11500,0.8778150975704193,0.19116813
-0.2800171901255089,24,35.73,157.02550959587097,-0.033023253,-0.0055305813,5.3569417,0.038912,1200000,0.0040997174,8118,12000,0.8846737742424011,0.1935663
-0.659114935967591,25,34.64,163.67038679122925,-0.029175801,-0.0063739205,5.3407726,0.043866005,1250000,0.004404184,7964,12500,0.8872016221284866,0.19520487
-0.26503404883344045,26,37.79,170.53853607177734,-0.026152844,-0.006301521,5.326519,0.048514005,1300000,0.004666995,7805,13000,0.8946360275149345,0.20308761
0.201172898998193,27,36.76,177.53516054153442,-0.0231272,-0.005782162,5.3115363,0.039378006,1350000,0.004144592,8205,13500,0.8969841226935387,0.18061203
-0.1335751835321571,28,37.12,184.21897268295288,-0.02759203,-0.0061460678,5.288964,0.044186015,1400000,0.0045406856,8102,14000,0.9007537215948105,0.18485203
0.10542729454944492,29,40.38,190.78979444503784,-0.025814971,-0.006836468,5.2619853,0.049210005,1450000,0.0048070373,7823,14500,0.8972883597016335,0.18793282
0.2601055109065055,30,38.06,197.611576795578,-0.02703547,-0.0056890678,5.2351885,0.038298,1500000,0.0040828423,7998,15000,0.9059132784605026,0.17862263
0.20293804602097226,31,39.33,204.44719696044922,-0.019948967,-0.005569905,5.217355,0.037701998,1550000,0.00401817,8507,15500,0.900531217455864,0.18821807
-0.17707879031913762,32,39.64,210.8101680278778,-0.02402813,-0.0066575133,5.1877875,0.050157994,1600000,0.0048804064,7885,16000,0.8998230248689651,0.16556363
-0.09854834210913395,33,40.74,217.5682270526886,-0.022866063,-0.0065318686,5.1520324,0.04514,1650000,0.0045455704,8092,16500,0.9057147279381752,0.17233554
