fps,time_elapsed,approxkl,policy_entropy,value_loss,explained_variance,clipfrac,serial_timesteps,ep_len_mean,n_updates,ep_reward_mean,policy_loss,true_reward,total_timesteps
8047,108.25506854057312,0.0035351512,5.47167,0.3356884,0.8178192377090454,0.030412002,8500,42.77,17,-2.9781141538272005,-0.0052664233,-0.091003545,850000
8066,114.97119641304016,0.0037110725,5.4582806,0.2852177,0.8426498174667358,0.03223201,9000,37.21,18,-2.4458946964061763,-0.0055935406,-0.09075302,900000
7867,121.53316569328308,0.004217198,5.4437,0.2510792,0.8540525138378143,0.039904,9500,41.66,19,-2.515912314622619,-0.006225556,-0.08747897,950000
8092,128.5566601753235,0.0038752106,5.430494,0.26524347,0.85974982380867,0.036284007,10000,40.79,20,-2.134795725012773,-0.006071232,-0.08691221,1000000
8131,135.09081292152405,0.0039729215,5.4171824,0.2640012,0.8724849075078964,0.037276,10500,45.21,21,-1.8593113707998419,-0.00602348,-0.084588654,1050000
7934,141.77650213241577,0.00372839,5.4052033,0.28932947,0.8627645522356033,0.031948004,11000,36.82,22,-2.1806574340520455,-0.0052612526,-0.08710838,1100000
7884,148.50115203857422,0.0039418195,5.386466,0.26089925,0.8817557021975517,0.034598004,11500,39.15,23,-1.955678019482839,-0.005731497,-0.08020255,1150000
7787,155.42950963974,0.004248266,5.359937,0.23419368,0.8912255391478539,0.040706005,12000,42.32,24,-2.5536824704064567,-0.006184917,-0.08375636,1200000
8057,162.42053127288818,0.004225472,5.3442254,0.2195451,0.8964444026350975,0.04012201,12500,36.26,25,-2.1274737433067004,-0.006148823,-0.08343585,1250000
8129,169.05555987358093,0.004216447,5.3258953,0.20989192,0.9025412946939468,0.040005993,13000,39.38,26,-2.026315785829911,-0.0064125983,-0.08399498,1300000
