fps,value_loss,true_reward,clipfrac,policy_entropy,explained_variance,approxkl,serial_timesteps,n_updates,ep_len_mean,time_elapsed,policy_loss,total_timesteps,ep_reward_mean
8318,77.562645,-0.38400802,0.019959997,5.764647,0.051200151443481445,0.0027783702,17500,35,55.11,231.74185180664062,-0.003988327,1750000,-5.76136826485776
7845,31.870457,-0.36263138,0.016908,5.778662,0.12799054384231567,0.0024507237,18000,36,59.06,238.17070388793945,-0.0028866904,1800000,-9.767827859886774
7976,50.63217,-0.39589506,0.019270003,5.7948318,0.11485409736633301,0.00269015,18500,37,62.35,245.1162507534027,-0.004291806,1850000,-12.718641022546798
8011,56.807228,-0.37885392,0.021242004,5.8286114,0.12046587467193604,0.0027537856,19000,38,70.89,251.85393357276917,-0.004220882,1900000,-8.390320999326837
7838,40.852848,-0.37359184,0.020947998,5.8655696,0.12395888566970825,0.002742784,19500,39,68.2,258.59798288345337,-0.00322943,1950000,-25.387847027741557
7955,43.48564,-0.37831327,0.021528,5.8932447,0.18825268745422363,0.0028642633,20000,40,66.58,265.52671670913696,-0.0043063117,2000000,-8.743852038047553
8065,94.95118,-0.4333265,0.026832001,5.9142222,0.09200316667556763,0.0032173558,20500,41,96.37,272.29600644111633,-0.004161403,2050000,-47.006845071089884
8074,39.469315,-0.39484355,0.02091,5.930821,0.20058751106262207,0.0027727885,21000,42,88.33,278.8369381427765,-0.00367694,2100000,-20.927829570061476
8062,159.80586,-0.47691968,0.016696002,5.949725,0.0912356972694397,0.0024360958,21500,43,83.7,285.6121735572815,-0.0037157654,2150000,-37.49563785986578
7703,31.586624,-0.38095772,0.028156005,5.9810166,0.256591260433197,0.0032139672,22000,44,74.53,292.40621161460876,-0.004070505,2200000,-12.256154732239374
7697,59.585567,-0.39581314,0.020626,6.01438,0.19460129737854004,0.0028616656,22500,45,108.25,299.3842170238495,-0.0035962807,2250000,-29.483455919066387
8119,317.1606,-0.6251391,0.017712,6.04533,0.10296124219894409,0.0023874217,23000,46,89.37,306.50596046447754,-0.0033088606,2300000,-31.89898138745353
7887,264.24536,-0.60368186,0.013450002,6.059759,0.09730637073516846,0.0022185596,23500,47,108.77,313.2459146976471,-0.0035993585,2350000,-60.544662776595175
8249,53.995,-0.36570296,0.012809999,6.073646,0.21834003925323486,0.0020743657,24000,48,120.28,320.09200644493103,-0.0024160608,2400000,-37.64970438189479
7803,66.261314,-0.38158816,0.017154,6.0872316,0.22316855192184448,0.0024473194,24500,49,127.02,326.7077887058258,-0.003522756,2450000,-34.32098834290029
7973,79.26416,-0.37871677,0.011686,6.097839,0.19386422634124756,0.002101405,25000,50,148.81,333.6346366405487,-0.002495794,2500000,-41.52648438902514
7897,29.954084,-0.30600595,0.01609,6.101009,0.3512340188026428,0.0023720644,25500,51,156.18,340.3070514202118,-0.002657417,2550000,-23.219678786768235
7899,108.67979,-0.42561716,0.016116,6.1072283,0.20578086376190186,0.0023721016,26000,52,152.18,347.02980971336365,-0.0031387287,2600000,-29.018100228982757
7696,73.68374,-0.36732462,0.018101998,6.1230383,0.27236121892929077,0.002540223,26500,53,141.82,353.8709411621094,-0.0037896761,2650000,-24.856368233862412
7859,52.13913,-0.3189353,0.014129999,6.1300726,0.29624658823013306,0.0021997823,27000,54,165.46,360.781188249588,-0.002686191,2700000,-22.304486631605705
7971,94.16445,-0.31880617,0.016401997,6.141446,0.25063610076904297,0.0023811045,27500,55,181.72,367.7591178417206,-0.0035393042,2750000,-24.317047083140768
8062,35.20298,-0.26776266,0.012993999,6.152538,0.38180941343307495,0.0020346679,28000,56,181.61,374.618026971817,-0.0027014366,2800000,-15.325259427566548
8042,47.059345,-0.27213845,0.018556,6.1590242,0.34174275398254395,0.0026410923,28500,57,191.87,381.28805589675903,-0.0027267474,2850000,-22.304790874622586
7988,2.3434725,-0.20099,0.02985,6.1553593,0.8794671073555946,0.0034372413,29000,58,207.5,388.0713481903076,-0.003965254,2900000,-8.579959829219938
8168,7.035803,-0.16933945,0.035092007,6.1361146,0.7603895664215088,0.003701274,29500,59,257.37,394.8488085269928,-0.0037858593,2950000,-3.7868433731763163
8041,1.6185334,-0.14474104,0.039062,6.115401,0.9265594035387039,0.0039623897,30000,60,277.5,401.40461897850037,-0.005130148,3000000,-0.23654750253640372
8063,0.93138087,-0.10985576,0.055696,6.089739,0.9586067460477352,0.0050553507,30500,61,330.74,408.1489815711975,-0.006713429,3050000,4.826280050919913
7882,0.89193344,-0.07002068,0.05285399,6.048773,0.9690781235694885,0.004995822,31000,62,359.2,414.9273028373718,-0.0070953574,3100000,14.583444090578677
7737,0.80868185,-0.032150306,0.05710801,6.006972,0.9725834149867296,0.005374227,31500,63,405.5,421.77807092666626,-0.0067092185,3150000,19.244128361947205
7979,0.7438411,-0.043864146,0.047904,5.9536543,0.9770084843039513,0.0047634034,32000,64,392.39,428.58286476135254,-0.005833217,3200000,17.64948981379681
8302,0.77664,-0.01550936,0.048534,5.902216,0.9762827474623919,0.0049002212,32500,65,420.82,435.48787903785706,-0.0055683465,3250000,21.997552486941473
8623,0.7294802,-0.012431258,0.044838004,5.853183,0.9745519924908876,0.0046475665,33000,66,428.94,442.02956104278564,-0.0051651434,3300000,21.369245874425534
8235,0.7969967,-0.0005308678,0.040442005,5.793148,0.9757240302860737,0.004519886,33500,67,434.74,448.31667280197144,-0.005387289,3350000,25.81123007522553
8208,0.68658835,-0.0050828084,0.045684002,5.7296596,0.9783158730715513,0.00477736,34000,68,432.29,454.8931415081024,-0.005233764,3400000,24.254061621992406
8227,0.75351834,0.0057455096,0.041582,5.6794057,0.974353764206171,0.004443565,34500,69,440.73,461.34373784065247,-0.0043179654,3450000,26.409729812470136
8235,0.64568716,0.010240765,0.032033995,5.6256905,0.9778714515268803,0.003839582,35000,70,447.11,467.93763637542725,-0.0043702256,3500000,26.08810324609949
7929,0.61680496,0.0024409154,0.042364,5.5725255,0.9803757593035698,0.0045242673,35500,71,435.82,474.5772497653961,-0.004764549,3550000,26.09351433019175
7939,0.6525584,0.008514762,0.028970009,5.526253,0.975591791793704,0.0036455882,36000,72,444.0,481.3327376842499,-0.004450586,3600000,27.848102432623293
8111,0.5549104,0.0152220335,0.042582,5.4869,0.9782555568963289,0.004503804,36500,73,448.11,488.1397931575775,-0.004454198,3650000,28.220662858686865
7922,0.5934061,0.02809833,0.041592013,5.440613,0.9719689954072237,0.004540054,37000,74,460.96,494.6925709247589,-0.0041835248,3700000,29.496040269489093
7987,0.5440658,0.024687879,0.030612,5.388229,0.9760962780565023,0.0037486395,37500,75,455.77,501.51060795783997,-0.0043157525,3750000,29.77766342917497
8033,0.5933389,0.022023318,0.043446008,5.3479686,0.9760955274105072,0.00462961,38000,76,451.21,508.29474449157715,-0.004723595,3800000,30.987338976245045
