time_elapsed,ep_reward_mean,policy_loss,value_loss,approxkl,total_timesteps,fps,true_reward,n_updates,explained_variance,policy_entropy,serial_timesteps,clipfrac,ep_len_mean
229.82580184936523,1.1279996255645222,-0.005342873,0.0070784474,0.004606669,1750000,7986,0.03986813,35,0.989893495105207,4.610557,17500,0.046102002,31.17
236.65817785263062,0.9473279530797595,-0.0051668775,0.0069153626,0.004626248,1800000,7763,0.039478466,36,0.9900504285469651,4.5876884,18000,0.046986,27.09
243.65643978118896,1.1230036300025859,-0.004873053,0.0069983383,0.0049067303,1850000,7769,0.03753362,37,0.9895356371998787,4.5632524,18500,0.050983995,32.39
250.746098279953,1.0590536793513183,-0.0055305725,0.0064938758,0.0051744776,1900000,8054,0.038583554,38,0.9907526066526771,4.532719,19000,0.055889986,30.08
257.46767377853394,1.2504857063264672,-0.005271177,0.006184127,0.0048687463,1950000,8049,0.039133802,39,0.9911679876968265,4.499888,19500,0.050578,32.49
264.25909996032715,1.0925540568097085,-0.005557097,0.0074410825,0.0051917327,2000000,8474,0.04022708,40,0.989626144990325,4.4697566,20000,0.056138,29.65
270.7520422935486,1.1231410085769244,-0.0049408767,0.007321119,0.0045414423,2050000,7842,0.0404659,41,0.9897988894954324,4.4468226,20500,0.044990007,31.14
277.68899369239807,1.1871231720648165,-0.005104355,0.007153259,0.0048981095,2100000,8166,0.03876981,42,0.9896894125267863,4.423658,21000,0.050930005,31.59
284.33711433410645,1.4055480301743501,-0.0046162587,0.0070344373,0.004705995,2150000,8154,0.041087538,43,0.9902417697012424,4.4054775,21500,0.04959801,31.66
291.03557538986206,1.0077061642685794,-0.004806967,0.006396392,0.004736558,2200000,7721,0.040233955,44,0.9908636854961514,4.3862395,22000,0.048568,26.46
297.86292338371277,1.0625575545023367,-0.0051038708,0.007068224,0.004738498,2250000,8278,0.04022467,45,0.9902063841000199,4.37297,22500,0.050044008,28.0
304.3653244972229,1.3444368508314346,-0.004785401,0.0072810417,0.0046567125,2300000,7758,0.038642745,46,0.9898350089788437,4.3528724,23000,0.04769802,33.37
311.3701391220093,1.1596000039457612,-0.005244858,0.0067824437,0.005155259,2350000,7920,0.040374447,47,0.9904921865090728,4.337317,23500,0.057297993,31.53
318.1704332828522,1.280309249549482,-0.0048067076,0.006498056,0.004607776,2400000,8171,0.0406489,48,0.990988727658987,4.318033,24000,0.046573993,32.15
324.739066362381,1.3505016690357639,-0.0049037454,0.0070062787,0.005307219,2450000,8102,0.041229125,49,0.990545466542244,4.2926545,24500,0.058221985,30.76
331.48657488822937,1.111138736250516,-0.004863609,0.0065156496,0.005053539,2500000,8087,0.039928623,50,0.9911618987098336,4.26467,25000,0.054705996,27.61
338.2943959236145,1.0790409064540245,-0.005011862,0.00897584,0.005489962,2550000,8045,0.03885158,51,0.9874823922291398,4.242115,25500,0.062382,33.88
345.11821007728577,1.4323077502498562,-0.004313115,0.007892895,0.005035467,2600000,8210,0.040591635,52,0.9892175160348415,4.219751,26000,0.053566,36.15
