policy_entropy,approxkl,true_reward,explained_variance,policy_loss,time_elapsed,clipfrac,n_updates,serial_timesteps,fps,ep_len_mean,total_timesteps,value_loss,ep_reward_mean
5.0794425,0.0049844254,-0.017684735,0.9164792075753212,-0.006670922,226.98627376556396,0.05283201,34,17000,7818,41.21,1700000,0.1860316,0.18264426224599448
5.046594,0.004227595,-0.017575566,0.9115798026323318,-0.0058510317,233.8281626701355,0.038380004,35,17500,7857,42.03,1750000,0.2142728,0.17988589138083624
5.015824,0.0043647164,-0.017637089,0.9139045029878616,-0.006420502,240.67065930366516,0.043726005,36,18000,7911,42.43,1800000,0.19503677,-0.15146606392867398
4.9901237,0.0046794885,-0.017950526,0.9154019206762314,-0.0066784234,247.5355806350708,0.048349995,37,18500,7947,44.84,1850000,0.21652296,0.5771351284209232
4.9733996,0.0047081793,-0.015717188,0.9194404184818268,-0.0068916096,254.32141065597534,0.049158,38,19000,7881,44.66,1900000,0.20455544,-0.10431118328197045
4.966684,0.0047662775,-0.01743544,0.9230139404535294,-0.006754263,261.150723695755,0.050145995,39,19500,7933,42.32,1950000,0.20293751,0.2753468807623722
4.958195,0.004185934,-0.012054608,0.927395187318325,-0.0060850666,268.0535681247711,0.041012,40,20000,7825,37.45,2000000,0.17719124,0.10608861413245904
4.943219,0.004847441,-0.009863797,0.9242967292666435,-0.0068117557,274.9552321434021,0.051582,41,20500,8098,45.01,2050000,0.21462688,0.7683153479643079
4.920549,0.004482388,-0.010202116,0.9179687052965164,-0.0062454874,281.7405331134796,0.044928007,42,21000,8103,37.62,2100000,0.2084564,0.33390234216036335
4.897424,0.0046395003,-0.0114371935,0.9206914603710175,-0.006712847,288.34923243522644,0.04815001,43,21500,8017,42.59,2150000,0.21324696,0.013925845161684264
4.8702235,0.0048171375,-0.012804038,0.9284877255558968,-0.007334372,295.2069616317749,0.05052001,44,22000,8066,40.38,2200000,0.19070844,0.4605107993334241
4.8512635,0.0043267,-0.006325352,0.928065799176693,-0.0064256103,301.9797132015228,0.043130007,45,22500,7913,43.98,2250000,0.21935059,0.9738355558143666
4.8321958,0.004789074,-0.006094161,0.9338865503668785,-0.0069952337,308.7308843135834,0.049654007,46,23000,7931,41.86,2300000,0.19404869,0.9011118876516412
4.8135715,0.0050043683,-0.007875251,0.9266794323921204,-0.00727292,315.59917521476746,0.054494,47,23500,8093,45.35,2350000,0.20745784,0.7022364726819069
4.7872376,0.0044502653,-0.005336368,0.9313269183039665,-0.006789803,322.3979113101959,0.044352006,48,24000,7979,49.44,2400000,0.19729017,1.820348474246057
4.7609196,0.00433799,-0.0091938535,0.9281238839030266,-0.0060868775,329.1385328769684,0.041691996,49,24500,7448,46.22,2450000,0.20741802,0.7475475677163922
4.7310033,0.0048636664,-0.003129253,0.9349562525749207,-0.0071890294,336.14665269851685,0.051365986,50,25000,8137,44.07,2500000,0.17946191,0.6338587236161402
4.701081,0.0047050165,0.00017254506,0.9336884170770645,-0.0069566737,342.9049696922302,0.049044,51,25500,7948,46.03,2550000,0.2082785,0.8048172864405205
4.6853004,0.0048161033,-0.004291691,0.9380296878516674,-0.007434789,349.8287627696991,0.05116999,52,26000,8016,39.15,2600000,0.19479188,0.500391515235533
4.6669064,0.004970714,0.0008601661,0.9391768053174019,-0.007193713,356.68667817115784,0.05387,53,26500,7991,47.24,2650000,0.19189626,1.994457964994799
4.6496854,0.004949631,-0.00086178613,0.9292739257216454,-0.0069330567,363.51693964004517,0.053141996,54,27000,7840,44.4,2700000,0.2180674,0.3829089223405026
4.6282187,0.004922446,0.0021356586,0.9379554986953735,-0.006628473,370.380765914917,0.051382,55,27500,7589,47.54,2750000,0.20351769,1.7055115616984404
4.60311,0.0048621832,0.0036348957,0.9419738128781319,-0.006903186,377.6162600517273,0.051436003,56,28000,8039,42.45,2800000,0.1926403,0.6101520612851892
4.5787163,0.004931035,0.0032545917,0.9425213783979416,-0.0071451743,384.43250465393066,0.05171,57,28500,7667,48.96,2850000,0.20484824,0.9221220617324434
4.5539203,0.005530441,0.007264783,0.9410575218498707,-0.007800905,391.53707671165466,0.063251995,58,29000,8065,47.36,2900000,0.19477873,1.53686363793262
4.540089,0.0049180468,0.0027301838,0.946149330586195,-0.006741538,398.01528120040894,0.053478006,59,29500,7846,43.63,2950000,0.1919392,1.2608839453684049
4.520191,0.0051242732,0.0022809405,0.9442413225769997,-0.0073745195,404.9998712539673,0.055786,60,30000,7893,49.19,3000000,0.19562726,1.426673317186287
4.4923263,0.0048621977,0.0025403877,0.9451330155134201,-0.00711661,411.87175703048706,0.051602006,61,30500,7901,44.19,3050000,0.19667181,0.8680818937523873
4.4662614,0.0046633305,0.008663579,0.9544706828892231,-0.006475544,418.7942781448364,0.047888007,62,31000,7820,46.26,3100000,0.18516031,1.1624733153318811
4.4475064,0.0049396553,0.010297317,0.9454219974577427,-0.0074703433,425.6951677799225,0.052967995,63,31500,8049,55.43,3150000,0.20816696,1.9599507469472883
4.4265614,0.0051226704,0.0057671876,0.9540134817361832,-0.007312462,432.3639838695526,0.055812,64,32000,7729,51.01,3200000,0.17827742,1.596461188606081
4.4021945,0.0049667195,0.0061044483,0.953564390540123,-0.006902886,439.3864552974701,0.053632006,65,32500,7613,52.39,3250000,0.19244398,1.518224276040237
4.3878345,0.004754476,0.0075429645,0.9492798931896687,-0.007158693,446.5690960884094,0.050747994,66,33000,7879,47.39,3300000,0.1960213,1.6440974691465817
4.3793225,0.005161187,0.009416703,0.9535737931728363,-0.008110778,453.5504825115204,0.05742599,67,33500,7856,54.58,3350000,0.18759923,1.8671126773742435
4.3466053,0.0055995663,0.012993907,0.9586915634572506,-0.007788488,460.50281262397766,0.062811986,68,34000,7875,51.43,3400000,0.17563882,1.8142207064895046
