value_loss,true_reward,clipfrac,ep_len_mean,time_elapsed,policy_entropy,approxkl,ep_reward_mean,serial_timesteps,total_timesteps,policy_loss,fps,explained_variance,n_updates
0.9072855,-0.07058379,0.040627994,37.31,0.0027060508728027344,5.67361,0.0042749103,-0.9727695173025132,500,50000,-0.0049845953,8139,-0.12034094333648682,1
0.7359799,-0.070024155,0.026552005,38.16,6.838020324707031,5.673519,0.0032929876,-1.0327397310733795,1000,100000,-0.0035476703,8619,0.12290000915527344,2
0.57315385,-0.064650215,0.03484,39.05,13.124947309494019,5.670526,0.0038452565,-1.2624058467149735,1500,150000,-0.004656235,8566,0.2017045021057129,3
0.43059766,-0.058713183,0.03556,42.36,19.193021297454834,5.6590295,0.0038856606,-1.007179732322693,2000,200000,-0.0048354752,8741,0.35803472995758057,4
0.3406271,-0.056443434,0.042274002,42.39,25.22537112236023,5.6442137,0.0042947126,-1.172077578306198,2500,250000,-0.005742589,8524,0.4500125050544739,5
0.30277652,-0.053825576,0.046622016,41.38,31.690568447113037,5.6357875,0.0045035444,-0.8755720967054367,3000,300000,-0.0057196408,8216,0.511747270822525,6
0.2793103,-0.05035636,0.045037996,43.23,38.40575909614563,5.6193995,0.004493515,-0.8285166120529175,3500,350000,-0.0058798455,8106,0.569797545671463,7
0.20223215,-0.045643058,0.047576014,41.34,45.101235151290894,5.597759,0.004593271,-0.516738201379776,4000,400000,-0.006323674,8560,0.6549898087978363,8
0.17695555,-0.04119978,0.052226,46.15,51.43115711212158,5.5835743,0.0048436965,-0.3240654969215393,4500,450000,-0.00687282,8214,0.7033500373363495,9
0.16767159,-0.038437217,0.052266013,40.45,58.15075182914734,5.5635962,0.0049957656,-0.32769182562828064,5000,500000,-0.006902616,8374,0.7304902970790863,10
0.16016448,-0.03413987,0.054087993,50.13,64.70854067802429,5.5571904,0.004914598,-0.20393789321184158,5500,550000,-0.0076434617,8643,0.7783275842666626,11
0.12343401,-0.028479107,0.058693986,47.99,71.00304841995239,5.545611,0.0052421256,0.18460647344589234,6000,600000,-0.0074514477,8307,0.817563995718956,12
0.106056385,-0.025461804,0.05662401,51.89,77.66332697868347,5.519642,0.005254498,-0.14112475514411926,6500,650000,-0.006979585,8207,0.8317123353481293,13
0.12328621,-0.025092227,0.049119998,45.36,84.33505702018738,5.4965754,0.004796878,0.29637488663196565,7000,700000,-0.0065183803,8267,0.8270674496889114,14
0.102761745,-0.023037104,0.052739993,55.2,90.90814924240112,5.463891,0.005084455,0.5822057050466537,7500,750000,-0.0069388514,8425,0.863653227686882,15
0.11404194,-0.02175052,0.048788,58.17,97.46325039863586,5.4360533,0.004772236,0.2219640600681305,8000,800000,-0.006266078,8279,0.8627629280090332,16
0.10736555,-0.021260545,0.045596,55.22,103.96238374710083,5.4286323,0.004471214,0.18778449475765227,8500,850000,-0.0066307373,8261,0.8765612617135048,17
0.08762754,-0.019431971,0.042513996,57.25,110.56585836410522,5.4229665,0.004390216,0.4479463493824005,9000,900000,-0.00574867,8302,0.8920419439673424,18
0.07997732,-0.017759265,0.045466,55.94,117.0542209148407,5.41137,0.0045483266,0.5387365913391113,9500,950000,-0.0066092294,8157,0.9088023900985718,19
