value_loss,true_reward,clipfrac,explained_variance,total_timesteps,ep_len_mean,time_elapsed,ep_reward_mean,policy_loss,fps,serial_timesteps,approxkl,policy_entropy,n_updates
0.17126869,-0.018427894,0.040638003,0.9135449081659317,1700000,41.29,222.9619677066803,0.24329789998831985,-0.0063036666,8270,17000,0.004301707,5.0687885,34
0.17823043,-0.017236572,0.048556004,0.9137989431619644,1750000,41.76,229.4976737499237,0.2812608308328345,-0.006261951,8195,17500,0.0047584446,5.040687,35
0.19364282,-0.014743023,0.047046002,0.9087641015648842,1800000,42.95,235.83474445343018,0.46441126904348495,-0.006551137,8343,18000,0.0045900913,5.012656,36
0.18104002,-0.01684324,0.052862,0.9193925112485886,1850000,42.09,242.42778301239014,0.32098052048677345,-0.00699258,7786,18500,0.0050011426,4.9750686,37
0.1888331,-0.015384043,0.049214,0.9129474237561226,1900000,39.8,249.3625237941742,0.354370692429693,-0.0066530933,8252,19000,0.0048090313,4.942354,38
0.19919826,-0.014398482,0.04888,0.9191033765673637,1950000,40.97,255.9836187362671,0.7363806278160336,-0.007337591,8021,19500,0.004668518,4.9315248,39
0.18598428,-0.016236296,0.05045601,0.9146632850170135,2000000,40.99,262.5827419757843,0.2861339498675079,-0.006853074,8313,20000,0.0048495024,4.9159727,40
0.19549356,-0.010822111,0.051657986,0.9193309918045998,2050000,42.84,269.1586196422577,0.32714442582509945,-0.006566107,8170,20500,0.0048154807,4.8925037,41
0.20596203,-0.01319736,0.049785994,0.9286824092268944,2100000,43.89,275.8234033584595,0.5944916207781352,-0.0072710384,8295,21000,0.0047449735,4.8701,42
0.17598547,-0.008370934,0.045604,0.9298986867070198,2150000,38.72,282.40213346481323,0.2217240177529311,-0.0066417484,8445,21500,0.0044110585,4.853233,43
0.2113704,-0.009615633,0.04404,0.9199685156345367,2200000,44.6,288.7008113861084,0.8468613055866444,-0.0072008697,8094,22000,0.0043396573,4.8325787,44
0.20069532,-0.009954772,0.048902,0.9233281537890434,2250000,41.29,295.4625835418701,0.6666973573101859,-0.0066035204,8083,22500,0.004735414,4.8053794,45
0.1905964,-0.0058865948,0.051891997,0.9283183589577675,2300000,39.68,302.11935353279114,0.5300895866326027,-0.0073332624,8138,23000,0.0049004173,4.773123,46
0.19158524,-0.0023203895,0.051760007,0.9341960400342941,2350000,43.23,308.72416496276855,0.8365969061429496,-0.0071101706,7923,23500,0.00483683,4.753191,47
0.19932489,-0.001162131,0.043576002,0.9313815161585808,2400000,48.46,315.44030499458313,0.9007079004311527,-0.00589725,7643,24000,0.0043241866,4.739985,48
0.18409891,-0.008391117,0.058446005,0.9359674006700516,2450000,43.59,322.59705090522766,0.7941119461423659,-0.0075102733,8007,24500,0.005281695,4.72155,49
0.19279473,0.0031946918,0.05827801,0.931283988058567,2500000,42.16,329.2707562446594,1.2114756872045473,-0.00725652,7920,25000,0.0052981824,4.70274,50
0.20059592,-0.0010713082,0.04766801,0.9323996305465698,2550000,37.2,336.13812708854675,0.799659619302547,-0.006517155,7904,25500,0.00469489,4.6762776,51
0.2010991,0.003000869,0.046576004,0.9321274682879448,2600000,45.05,343.00873041152954,1.935455325783987,-0.005971217,8046,26000,0.004577208,4.662282,52
0.17728847,0.0016448515,0.053443983,0.940041184425354,2650000,45.12,349.72178411483765,1.6236185028449837,-0.007367531,7976,26500,0.0050045117,4.649561,53
0.1947271,-0.0005129077,0.059228,0.9350570142269135,2700000,39.02,356.6304404735565,0.7423317465108267,-0.008258287,8169,27000,0.005388613,4.619335,54
0.19015406,-0.0020756056,0.04955801,0.9410285763442516,2750000,44.45,363.37425804138184,1.1616124347889127,-0.0069845016,8322,27500,0.0047114864,4.5903788,55
0.1753909,0.0037598563,0.056590006,0.944773655384779,2800000,38.85,369.8924472332001,0.8218130127878976,-0.0076037305,7942,28000,0.005229143,4.5615425,56
0.18782778,0.0037977512,0.052134003,0.9410963095724583,2850000,51.3,376.67681646347046,1.4415851527749328,-0.0070662503,7884,28500,0.004862729,4.534814,57
0.20643295,0.004337625,0.05714799,0.9431053437292576,2900000,47.32,383.5731942653656,1.104906235891176,-0.0076050325,8093,29000,0.005238903,4.510215,58
0.18923652,0.000839154,0.061775997,0.942672822624445,2950000,47.76,390.3130695819855,1.3219608051612157,-0.007354557,8038,29500,0.005478028,4.4802856,59
0.19333602,0.010601205,0.05806601,0.9452304989099503,3000000,45.93,396.9984254837036,1.4183979588850344,-0.00726967,8308,30000,0.005245322,4.4587345,60
0.19539873,0.006779963,0.051641997,0.946758110076189,3050000,52.37,403.541136264801,2.198353865208046,-0.006854979,8202,30500,0.004858142,4.4401655,61
0.19597304,0.0066200653,0.055838004,0.947519276291132,3100000,46.3,410.2341818809509,0.9634207787427295,-0.007646731,8145,31000,0.005105417,4.420454,62
