policy_entropy,value_loss,serial_timesteps,n_updates,total_timesteps,policy_loss,clipfrac,explained_variance,ep_len_mean,ep_reward_mean,time_elapsed,approxkl,fps,true_reward
5.631628,2.4472194,17500,35,1750000,-0.0005490196,1.19999995e-05,-0.026354551315307617,30.26,-5.288982908716862,149.43858170509338,0.00032693218,10593,-0.4189534
5.627186,2.2744296,18000,36,1800000,-0.0007164079,4e-06,-0.06198084354400635,27.31,-4.611469833153096,154.22145652770996,0.00030119912,11594,-0.42130223
5.6222296,2.0291362,18500,37,1850000,-0.000566937,8.4e-05,-0.11507797241210938,30.16,-4.919484969611876,158.59693264961243,0.00040949936,11497,-0.4177491
5.6183634,1.8088499,19000,38,1900000,-0.0005980159,7.6e-05,-0.15440058708190918,31.45,-5.191265585770506,163.00578927993774,0.0003399415,11166,-0.41074225
5.6160145,1.7175639,19500,39,1950000,-0.00073236244,6.4e-05,-0.1555095911026001,30.34,-5.1929769054196955,167.55074524879456,0.0003812871,10651,-0.4102368
5.6128454,1.5110271,20000,40,2000000,-0.0006963778,0.00024799997,-0.19577515125274658,27.24,-4.269533372686783,172.30778217315674,0.00049607217,11607,-0.4050646
5.6070127,1.3618677,20500,41,2050000,-0.00080299686,0.000236,-0.20653486251831055,26.31,-3.6650527615239845,176.67712998390198,0.00046059993,12023,-0.40687117
5.6036253,1.3049905,21000,42,2100000,-0.00077320216,0.000938,-0.2391144037246704,28.69,-4.010907902289532,180.9044530391693,0.00070950843,11968,-0.40327597
5.5989933,1.1943758,21500,43,2150000,-0.0011421645,0.0017420001,-0.27331745624542236,28.68,-4.2081276896672355,185.14468121528625,0.0008659085,11309,-0.394484
5.590796,1.1564665,22000,44,2200000,-0.0009731272,0.0039959997,-0.2998000383377075,26.75,-3.942703836609435,189.62935972213745,0.0010905334,10628,-0.39619333
5.582405,1.0997239,22500,45,2250000,-0.001334905,0.010544,-0.2509065866470337,28.57,-4.147153025123825,194.40094780921936,0.0016768547,11290,-0.39031854
5.5606484,1.0090736,23000,46,2300000,-0.0017488521,0.020313999,-0.22331762313842773,27.21,-3.441313799604959,198.91647911071777,0.002424882,10867,-0.38497958
5.5428023,1.0481018,23500,47,2350000,-0.0013286537,0.012218,-0.2344149351119995,29.4,-4.047521682926745,203.578058719635,0.0018099707,11905,-0.38837454
5.5262604,0.9353299,24000,48,2400000,-0.0018444102,0.018068003,-0.16683614253997803,28.68,-3.636759297345543,207.8369951248169,0.0024841796,11265,-0.38214433
5.509308,0.9514384,24500,49,2450000,-0.000979292,0.003726,-0.17301344871520996,29.09,-3.973390956064468,212.3401620388031,0.0011656964,12516,-0.37712875
