approxkl,fps,n_updates,ep_len_mean,clipfrac,total_timesteps,serial_timesteps,value_loss,ep_reward_mean,policy_loss,explained_variance,true_reward,time_elapsed,policy_entropy
0.004306522,8294,35,24.1,0.038445994,1750000,17500,0.6904802,-1.8451589735969902,-0.0033289148,0.954821240156889,0.18818274,222.52281761169434,4.959291
0.0037853115,8024,36,27.6,0.028742008,1800000,18000,0.64200574,-1.466704015173018,-0.0022302533,0.958374097943306,0.18887228,229.11904573440552,4.93191
0.0039001722,8338,37,28.84,0.032966003,1850000,18500,0.58018494,-1.1150125465728342,-0.002760209,0.9625151343643665,0.1905249,235.93159246444702,4.9141636
0.0039583524,8362,38,27.05,0.033124007,1900000,19000,0.5542321,-1.4868994511291385,-0.0026015334,0.9638546705245972,0.19300851,242.42077207565308,4.9017344
0.003688095,8380,39,31.6,0.029718006,1950000,19500,0.49201724,-0.881197351012379,-0.0025304595,0.9686649441719055,0.19622487,248.73221492767334,4.8934727
0.004288706,8410,40,31.21,0.037845995,2000000,20000,0.41183951,-0.9517937968485057,-0.0030233816,0.9732350707054138,0.19621317,255.17351698875427,4.8800716
0.0036369257,8230,41,32.34,0.029871998,2050000,20500,0.3824724,-0.7233244796656072,-0.0021559536,0.9753264579921961,0.19752298,261.5451235771179,4.8652143
0.003978011,8295,42,32.46,0.033928,2100000,21000,0.32653084,-0.7216357351839542,-0.0023446912,0.9781183395534754,0.19812098,268.2437903881073,4.852841
0.0036532285,8356,43,33.7,0.029760001,2150000,21500,0.2685428,-0.5095832183584571,-0.002365452,0.9816357456147671,0.19968294,274.76733231544495,4.844839
0.0042222305,8404,44,36.65,0.039084014,2200000,22000,0.22737545,0.01117073990404606,-0.0027356208,0.9836846087127924,0.199799,281.33551478385925,4.8375196
0.003898493,8051,45,37.59,0.032996003,2250000,22500,0.15940596,0.17673457900062203,-0.002127852,0.9880497101694345,0.20001361,287.8288588523865,4.831362
0.0044849254,8114,46,36.3,0.042936005,2300000,23000,0.099197425,-0.04799032043665648,-0.0027726847,0.9917334020137787,0.20028098,294.49518871307373,4.812775
0.0042733797,8544,47,35.36,0.03746,2350000,23500,0.0739956,-0.16957641968503595,-0.0023447103,0.9933401085436344,0.20115963,301.04371190071106,4.7924223
0.0047803014,8263,48,36.65,0.046419993,2400000,24000,0.056019124,0.08328436464071273,-0.0032278558,0.9945758651010692,0.2029014,307.54153966903687,4.7735577
0.004433961,8407,49,38.08,0.04146801,2450000,24500,0.037415497,0.33903396582230927,-0.0028499067,0.996028246358037,0.20389941,314.178022146225,4.7544103
0.004273106,7894,50,41.15,0.038626,2500000,25000,0.026963895,0.9841729780472815,-0.0025860674,0.9969667750410736,0.20530295,320.7251057624817,4.7356634
0.004652938,8106,51,41.52,0.04569999,2550000,25500,0.016557625,1.1051129725575448,-0.0024720284,0.997768870787695,0.20560807,327.57963705062866,4.7144856
0.004513803,8165,52,39.02,0.04434199,2600000,26000,0.01170342,0.5872580670937896,-0.0023122495,0.9981980667216703,0.2049088,334.11185812950134,4.6861567
0.0050539644,8378,53,40.25,0.051459994,2650000,26500,0.007705357,0.8595754972100258,-0.0029866535,0.9987876339582726,0.20605946,340.6433570384979,4.6583815
0.0050365156,8331,54,44.46,0.052567992,2700000,27000,0.005594241,1.894011498466134,-0.003344304,0.9991481655160896,0.20800045,347.13652443885803,4.6243296
