serial_timesteps,policy_loss,approxkl,ep_reward_mean,n_updates,fps,ep_len_mean,explained_variance,true_reward,total_timesteps,clipfrac,value_loss,policy_entropy,time_elapsed
18000,-0.004089706,0.005566933,-4.8315532129415075,36,9912,34.61,0.17913639545440674,-0.41408902,1800000,0.064913996,17.070765,6.2632184,194.6127052307129
18500,-0.0044314503,0.0051067723,-5.248280489002467,37,9950,35.86,0.28556716442108154,-0.41860133,1850000,0.055704013,13.857317,6.269041,200.1790645122528
19000,-0.0042037214,0.0057613635,-4.548190345729926,38,9943,34.5,0.43715888261795044,-0.4008555,1900000,0.06637199,4.862494,6.270202,205.83512234687805
19500,-0.005519658,0.004694441,-4.23034065388751,39,9917,34.6,0.11759066581726074,-0.45159706,1950000,0.0493,80.342415,6.3061347,211.46937108039856
20000,-0.0040038615,0.0052184556,-4.336168466958552,40,9919,35.37,0.1449231505393982,-0.42874622,2000000,0.052898005,45.885223,6.3272243,216.9956681728363
20500,-0.0041810367,0.004357425,-14.230070653771527,41,9887,41.23,0.1337541937828064,-0.40657663,2050000,0.042848002,25.113997,6.350788,222.63309240341187
21000,-0.0052949036,0.004760344,-7.065241511426502,42,9914,38.25,0.15193712711334229,-0.4409126,2100000,0.049552012,54.737057,6.392122,228.35181379318237
21500,-0.0075164083,0.006434718,-3.184421628314667,43,9924,33.09,0.8304503858089447,-0.37462023,2150000,0.077116005,0.92762166,6.3916893,234.04096627235413
22000,-0.004294573,0.0049594636,-3.162104911743518,44,9905,37.56,0.1736222505569458,-0.41272315,2200000,0.050814003,56.93611,6.401275,239.43146634101868
22500,-0.0038763222,0.0062406217,-8.98153375861248,45,9898,37.41,0.16423773765563965,-0.3910137,2250000,0.075050004,13.287762,6.4216375,244.90100526809692
23000,-0.0040134327,0.0051122685,-21.526872631584325,46,9893,34.73,0.13065779209136963,-0.41716117,2300000,0.049541987,82.41296,6.422448,250.43989753723145
23500,-0.0017495904,0.0061080353,-3.254706506035727,47,9963,31.91,0.4102122187614441,-0.36145964,2350000,0.07213999,5.69094,6.4118996,255.96161890029907
24000,-0.0038748875,0.0049930373,-6.769410675030867,48,9885,36.02,0.3553990125656128,-0.36573714,2400000,0.05326802,7.4348826,6.378032,261.62181663513184
24500,-0.004587242,0.004609423,-10.909569941480331,49,9907,37.5,0.3030845522880554,-0.37628946,2450000,0.046698008,17.588202,6.3906403,267.10194301605225
25000,-0.0032920775,0.005576749,-3.984762744767504,50,9886,29.87,0.2455132007598877,-0.37538365,2500000,0.059616,28.036707,6.39488,272.7783043384552
25500,-0.003118895,0.005491457,-2.7668901626802107,51,9860,31.2,0.367728054523468,-0.36060956,2550000,0.06128801,11.267426,6.3696265,278.2827537059784
26000,-0.004527791,0.006092795,-11.580670265795051,52,9913,38.4,0.4148000478744507,-0.34767565,2600000,0.072098,7.305745,6.339702,283.8918991088867
26500,-0.0073728357,0.008370954,-2.9698118580811568,53,9896,33.85,0.9061476364731789,-0.33728883,2650000,0.10781199,0.29815474,6.288129,289.30780267715454
27000,-0.003696445,0.0058171097,-6.832549963873302,54,9879,34.54,0.42879611253738403,-0.3453372,2700000,0.067834005,4.920463,6.2848735,294.85572934150696
27500,-0.004766648,0.0060999286,-3.17619595860946,55,9852,33.42,0.6423069536685944,-0.33868277,2750000,0.072732,1.5517688,6.294018,300.34860944747925
28000,-0.00452027,0.007048494,-2.4601608389421745,56,9906,32.84,0.5445285141468048,-0.3391821,2800000,0.086108,2.717904,6.269699,305.94566798210144
