approxkl,policy_entropy,n_updates,clipfrac,value_loss,fps,explained_variance,policy_loss,total_timesteps,ep_reward_mean,serial_timesteps,time_elapsed,true_reward,ep_len_mean
0.004457695,5.163142,35,0.045994,0.19795065,8340,0.9726856108754873,-0.0070042233,1750000,4.4226097496375045,17500,221.37803602218628,0.029306695,80.12
0.0045706527,5.151056,36,0.046378013,0.21819349,8268,0.967764500528574,-0.0069372584,1800000,3.862262294419561,18000,228.00280594825745,0.02454006,66.44
0.0042280755,5.149782,37,0.042375997,0.2076608,8235,0.972038121894002,-0.007142027,1850000,3.8214391703145156,18500,234.61313366889954,0.028343013,76.07
0.0041414322,5.1435814,38,0.039258007,0.2505493,8209,0.9690049756318331,-0.006245915,1900000,4.319559273578161,19000,241.2523000240326,0.02863541,84.79
0.0040954202,5.124129,39,0.038960002,0.21629938,8245,0.9743403289467096,-0.0063915174,1950000,4.281164151549296,19500,247.80431842803955,0.029476168,73.97
0.0045978553,5.103515,40,0.047373995,0.19259764,8488,0.9751966074109077,-0.007116047,2000000,3.822336704893836,20000,254.38635659217834,0.028354816,68.5
0.004196313,5.0961194,41,0.041405987,0.23713666,8344,0.9717117995023727,-0.006408408,2050000,4.370912429208511,20500,260.94039392471313,0.026559563,72.2
0.004026184,5.088459,42,0.03857,0.19232279,8051,0.976854657754302,-0.006191014,2100000,5.530650817922706,21000,267.37640142440796,0.03200479,80.32
0.0043105953,5.0689955,43,0.042372003,0.20123763,8098,0.9759066551923752,-0.0068806736,2150000,4.96835837440387,21500,274.00811767578125,0.031651706,76.28
0.004080109,5.0633235,44,0.039916,0.18826889,8174,0.9798226077109575,-0.0066182925,2200000,6.305191962066856,22000,280.6793246269226,0.027971728,90.59
0.004258759,5.052848,45,0.040966004,0.19879073,8331,0.9776928331702948,-0.006462938,2250000,5.210701438891329,22500,287.39258217811584,0.028939046,81.17
0.0043155784,5.035183,46,0.043070003,0.17792308,8154,0.9808061774820089,-0.0063210987,2300000,4.2976686147852,23000,293.77692890167236,0.030617442,81.63
0.0046639056,5.0175614,47,0.048559994,0.18581624,8257,0.9797292891889811,-0.00721038,2350000,5.273914679071486,23500,300.1080913543701,0.030086463,89.05
0.004304099,5.0073376,48,0.044118,0.18480879,8315,0.9802681617438793,-0.007248421,2400000,5.4308107620081865,24000,306.75222849845886,0.027983462,90.9
0.004441181,4.994422,49,0.045323998,0.14970897,8376,0.9837742745876312,-0.006745051,2450000,5.36583522618907,24500,313.3115439414978,0.03357528,82.59
0.0042294357,4.99188,50,0.041433997,0.14250109,8315,0.9851065594702959,-0.006492287,2500000,5.058345191969675,25000,319.73302245140076,0.03253618,90.37
0.0043478273,4.978284,51,0.042434007,0.13542958,8529,0.9855635715648532,-0.0064926427,2550000,5.923449829613691,25500,326.15308809280396,0.031837914,106.39
0.0040747914,4.9645042,52,0.03914001,0.1762835,8136,0.9816669579595327,-0.006465773,2600000,5.641786092901619,26000,332.25827074050903,0.02636711,100.92
0.0046415133,4.9552884,53,0.048052,0.13751677,8327,0.9854498915374279,-0.006634422,2650000,5.38281977290196,26500,338.9464497566223,0.029303316,105.13
0.0043730824,4.9403825,54,0.043755997,0.13958888,8276,0.9853635309264064,-0.0068544364,2700000,6.419751323455566,27000,345.30740785598755,0.029717693,100.31
0.005084078,4.919659,55,0.056248,0.12721881,8610,0.985897927545011,-0.0077050133,2750000,5.32329170956541,27500,351.66830492019653,0.030159453,110.14
0.004812939,4.9029408,56,0.051517997,0.1124032,8518,0.9879869557917118,-0.007735202,2800000,4.951300982329883,28000,357.7065222263336,0.029233042,97.27
0.0047514816,4.8832884,57,0.050996,0.11509534,8116,0.9868887821212411,-0.0075792964,2850000,5.155292509878591,28500,364.18251514434814,0.03030019,97.1
0.0043353764,4.8639674,58,0.043351993,0.12487341,8397,0.9865703703835607,-0.0071526514,2900000,7.143263039751114,29000,370.9264726638794,0.03238192,107.42
0.00456447,4.844905,59,0.045964003,0.10930067,8096,0.9882315676659346,-0.0065016835,2950000,6.543119468406367,29500,377.33177495002747,0.03420544,118.04
0.004677528,4.8293986,60,0.04888001,0.11386398,8156,0.9872357547283173,-0.0076189674,3000000,6.917475345801522,30000,383.7267677783966,0.030579463,128.58
0.0050944723,4.807592,61,0.05501,0.093369655,8493,0.9895781399682164,-0.007664984,3050000,6.024440295395225,30500,390.4523150920868,0.029597346,108.52
0.0046309675,4.783979,62,0.048075996,0.100384995,8257,0.9887695359066129,-0.0074507976,3100000,7.208824645108794,31000,396.8101603984833,0.034611378,138.73
0.0046999836,4.767443,63,0.049151994,0.11563185,7944,0.9868732187896967,-0.007407288,3150000,6.91975062452658,31500,403.4360420703888,0.031662542,122.94
0.004909667,4.748088,64,0.052543994,0.10921299,8190,0.9875146867707372,-0.0073635364,3200000,7.609606869580448,32000,410.3733274936676,0.032710835,132.74
0.0048556235,4.7277546,65,0.051777996,0.09561001,8401,0.98852155264467,-0.0073229643,3250000,6.99005576233576,32500,416.9523882865906,0.03152042,154.13
0.0048132567,4.720538,66,0.05204401,0.097539835,7912,0.9891445282846689,-0.007602596,3300000,7.4415585782362905,33000,423.33689188957214,0.03445378,126.5
0.0049384073,4.7045655,67,0.052261993,0.098387375,8326,0.9888725262135267,-0.0070670606,3350000,7.663195397675972,33500,430.0842432975769,0.035655838,163.79
0.004942497,4.6792936,68,0.05209001,0.10793506,8214,0.9870697371661663,-0.007263665,3400000,8.349750212211111,34000,436.4091737270355,0.03239511,185.49
0.0045958995,4.659758,69,0.04851801,0.10975866,8029,0.987462654709816,-0.007003243,3450000,8.85053184280197,34500,442.9971354007721,0.035855204,185.52
0.0047643464,4.6459093,70,0.051487997,0.086407565,8239,0.9890445731580257,-0.0074006184,3500000,7.338281484225627,35000,449.59048652648926,0.03226293,205.24
0.004999252,4.6289306,71,0.054025993,0.09034971,8263,0.9876106912270188,-0.00739492,3550000,8.359213608442538,35500,456.17751145362854,0.03171867,220.99
0.0048756017,4.609009,72,0.051854,0.108476855,8261,0.9860934959724545,-0.007032624,3600000,8.53549271333979,36000,462.75676584243774,0.032962993,233.27
0.0048973053,4.5987844,73,0.052343987,0.08907999,8074,0.9872324494645,-0.0075742574,3650000,8.3425124073198,36500,469.36311769485474,0.030896457,246.5
0.0048558665,4.5872855,74,0.051808003,0.083172865,8525,0.9882553024217486,-0.007523404,3700000,10.379306654970762,37000,476.0019443035126,0.034561154,284.65
0.0049407305,4.5785627,75,0.055154,0.10533933,8536,0.9850527821108699,-0.007939579,3750000,10.551823000400354,37500,482.1882610321045,0.032223377,297.58
0.0049028313,4.570785,76,0.052585997,0.10806641,8066,0.984860179014504,-0.00741234,3800000,11.21275020362305,38000,488.38568592071533,0.03579488,287.66
