time_elapsed,approxkl,ep_len_mean,n_updates,total_timesteps,fps,policy_loss,explained_variance,policy_entropy,clipfrac,value_loss,serial_timesteps,true_reward,ep_reward_mean
0.002453327178955078,0.004065445,40.34,1,50000,7647,-0.0060709296,0.14341109991073608,5.6678076,0.037281994,0.524625,500,-0.042249493,-0.5301990642460805
7.026476144790649,0.0034899837,35.86,2,100000,8060,-0.005148564,0.2869213819503784,5.652675,0.028269997,0.49926376,1000,-0.041138716,-0.5796883842353417
13.704464673995972,0.003352629,37.05,3,150000,8175,-0.005229105,0.40477871894836426,5.6412077,0.028174,0.4424964,1500,-0.04398443,-0.7269691807102936
20.125991344451904,0.0037907558,40.8,4,200000,8285,-0.0052748276,0.4575410485267639,5.634473,0.034399997,0.39340895,2000,-0.03850206,-0.4385509753914084
26.607354164123535,0.0034767347,36.94,5,250000,8058,-0.005134812,0.5425623059272766,5.625431,0.028691998,0.38945332,2500,-0.040957816,-0.3286033462527121
33.330840826034546,0.003346584,40.91,6,300000,7992,-0.0049561434,0.5898095667362213,5.6193132,0.028322006,0.33237618,3000,-0.04054722,-0.2953893247527958
40.11896109580994,0.0036232597,41.6,7,350000,7798,-0.005185048,0.6337088346481323,5.6136975,0.031152008,0.33468667,3500,-0.041331906,-1.0151896144391503
47.144044399261475,0.0037789773,38.26,8,400000,8297,-0.0058192266,0.6653931736946106,5.599489,0.033605997,0.3291358,4000,-0.039979395,-0.7076410868153107
53.74163866043091,0.004141079,38.54,9,450000,7981,-0.005838533,0.6980437338352203,5.5800285,0.039000012,0.29447317,4500,-0.037784975,-0.3260225492846075
60.48644185066223,0.0036935895,36.67,10,500000,7811,-0.0054133325,0.7217520177364349,5.5657244,0.032584,0.3009849,5000,-0.038216185,-0.5499105570017128
67.40701866149902,0.0037819296,37.7,11,550000,7826,-0.0057971645,0.7530794143676758,5.5490055,0.03280401,0.27546647,5500,-0.037549637,-0.08107278723411582
74.18812894821167,0.004097563,36.89,12,600000,7824,-0.006309183,0.769623875617981,5.5302315,0.038966004,0.2860149,6000,-0.036502562,-0.6431796330465295
81.20706129074097,0.0038273535,36.39,13,650000,8250,-0.005566595,0.7952274680137634,5.513533,0.033454005,0.26948234,6500,-0.035322536,-0.4031875401447178
87.6712372303009,0.0035957235,39.64,14,700000,8213,-0.005299395,0.8003632426261902,5.4947515,0.030144002,0.26901647,7000,-0.03355578,-0.6469966894492972
94.07854342460632,0.0043389373,40.81,15,750000,8216,-0.0061228187,0.8021703660488129,5.479178,0.042808004,0.26587716,7500,-0.03438061,-0.4316534439516545
100.66840815544128,0.003803249,37.22,16,800000,7959,-0.0061419993,0.8067203611135483,5.455044,0.032726,0.28523389,8000,-0.032061074,-0.1318879297602689
107.54044723510742,0.004147721,36.62,17,850000,8079,-0.005771707,0.823514387011528,5.432682,0.03841801,0.28010467,8500,-0.029586926,-0.24541800375209277
113.96355843544006,0.004219551,40.08,18,900000,8116,-0.0061986423,0.8405990749597549,5.4093056,0.039513998,0.26323444,9000,-0.03279569,-0.18862494921835604
120.61744213104248,0.004032508,35.39,19,950000,7952,-0.0065990705,0.8352447897195816,5.38486,0.036897995,0.28013667,9500,-0.030484863,-0.18026480107349926
127.44568085670471,0.0039470135,41.16,20,1000000,8351,-0.006337868,0.8436797261238098,5.365976,0.036834005,0.25796607,10000,-0.027343081,-0.23937117498298904
133.92223739624023,0.004032301,42.14,21,1050000,8231,-0.005652645,0.8495970368385315,5.3433337,0.036959995,0.2694156,10500,-0.028538452,-0.0999125230453501
140.4224727153778,0.0041087097,38.14,22,1100000,8295,-0.0061494797,0.852883368730545,5.314859,0.037620008,0.2618703,11000,-0.028441016,-0.37523314355501497
147.01596403121948,0.0042430693,40.51,23,1150000,7814,-0.006529821,0.8590058535337448,5.2940216,0.041690003,0.24974032,11500,-0.027522944,0.5990692923265306
154.02455949783325,0.004126482,40.61,24,1200000,8250,-0.006241517,0.8598848134279251,5.2783895,0.038010005,0.2767555,12000,-0.02532701,-0.3442988228306058
160.29702138900757,0.0044729505,35.69,25,1250000,8171,-0.0062880884,0.8560952246189117,5.259391,0.044324007,0.25879645,12500,-0.023467293,-0.09076909122719372
166.98832607269287,0.0039483267,38.96,26,1300000,8517,-0.0059957313,0.8669504821300507,5.2440715,0.036714002,0.25731632,13000,-0.024479875,-0.12253246885855333
173.3517506122589,0.0043436643,36.57,27,1350000,8138,-0.0061211633,0.8687183856964111,5.224882,0.042944003,0.25023106,13500,-0.020721048,0.02867481991805107
179.95685172080994,0.0042508375,39.51,28,1400000,7904,-0.0058890386,0.8552073985338211,5.193333,0.040688004,0.2651971,14000,-0.019889027,-0.16334710050097784
186.83715558052063,0.0049949805,39.25,29,1450000,7998,-0.006815117,0.8654931634664536,5.1532445,0.05154601,0.27550164,14500,-0.021222832,0.04833868570807681
193.5451054573059,0.00486099,40.0,30,1500000,8395,-0.006812356,0.87405726313591,5.117009,0.05003999,0.26793742,15000,-0.019387852,0.10028169935209007
200.00982189178467,0.0037650005,41.1,31,1550000,8161,-0.005183293,0.8820496425032616,5.09218,0.033393998,0.26681298,15500,-0.012137577,0.48385785314028906
206.35358214378357,0.0046868743,41.59,32,1600000,8493,-0.0065379106,0.8780810907483101,5.0615773,0.046719998,0.2622239,16000,-0.01575348,0.28267078656648664
212.50470566749573,0.0044421684,40.24,33,1650000,8852,-0.00609026,0.8784889131784439,5.037187,0.044022,0.2570832,16500,-0.013017927,0.23371082643629051
