approxkl,clipfrac,fps,total_timesteps,time_elapsed,policy_loss,explained_variance,value_loss,ep_reward_mean,ep_len_mean,n_updates,serial_timesteps,policy_entropy,true_reward
0.0039242576,0.034896005,7602,50000,0.020753145217895508,-0.006040892,0.10489028692245483,0.700452,-0.6010062500589265,36.44,1,500,5.669318,-0.04968526
0.0034204507,0.029175999,8449,100000,7.22868537902832,-0.0054062395,0.2560175061225891,0.56574947,-0.5708485671160451,38.04,2,1000,5.6631446,-0.044327017
0.0034336082,0.030124,8216,150000,13.697413444519043,-0.0051774345,0.38256698846817017,0.5710703,-1.0959118142522493,44.09,3,1500,5.665625,-0.046250004
0.0037545862,0.033526003,7886,200000,20.461081981658936,-0.0057726773,0.48752355575561523,0.43991446,-0.5230554673212464,40.64,4,2000,5.659118,-0.03985659
0.0036748927,0.031846,7907,250000,27.35307240486145,-0.0054138233,0.5431318581104279,0.41423044,-0.2727937093720538,39.19,5,2500,5.651037,-0.043718614
0.003594882,0.031766,8008,300000,34.00163531303406,-0.005508153,0.5937380492687225,0.386243,-0.6392905079032789,43.14,6,3000,5.6535683,-0.044550426
0.0035232734,0.029991996,8029,350000,40.69854688644409,-0.005138256,0.6713127791881561,0.3352868,-0.5421575239059894,34.25,7,3500,5.6515307,-0.039938934
0.003354459,0.027422002,8155,400000,47.497504472732544,-0.005090526,0.6862945854663849,0.3149116,-0.7361762262413686,35.28,8,4000,5.6442103,-0.0397926
0.0034619453,0.027884008,8027,450000,54.195348024368286,-0.0053099995,0.7195221185684204,0.32025626,-0.9310388044937281,39.2,9,4500,5.635577,-0.04445248
0.0036653548,0.033195995,8018,500000,61.09407377243042,-0.0055392515,0.7284408509731293,0.28985932,-0.30948652519931785,35.97,10,5000,5.62328,-0.041712165
0.0037946338,0.032392003,8127,550000,67.8653872013092,-0.0054979906,0.7671130448579788,0.27618435,-0.18224953558961715,38.68,11,5500,5.6037693,-0.042411707
0.0037880477,0.034224004,7857,600000,74.6670446395874,-0.0059689875,0.7846897840499878,0.266696,-0.30298099711013493,35.15,12,6000,5.586916,-0.040739283
0.0036496508,0.031670004,7832,650000,81.67702198028564,-0.0059473515,0.8074963390827179,0.2362043,-0.6773545908959931,34.1,13,6500,5.575807,-0.040381737
0.003875309,0.033559993,8167,700000,88.63639521598816,-0.0055922,0.8177548050880432,0.25895524,-0.31558443773785255,43.44,14,7000,5.5596557,-0.038137767
0.0040664915,0.037688002,7728,750000,95.3650770187378,-0.0058525116,0.8210897445678711,0.2515589,-0.12177786160740652,35.44,15,7500,5.5373216,-0.035993
0.004153998,0.039841995,7853,800000,102.54812860488892,-0.0059091435,0.8419430106878281,0.2355147,-0.5364826385294146,42.94,16,8000,5.5202527,-0.037427604
0.004056941,0.03847,7797,850000,109.49322819709778,-0.006257197,0.8618435263633728,0.21714607,-0.4920751909897081,42.84,17,8500,5.505669,-0.039102938
0.0040431186,0.036949996,8032,900000,116.36125349998474,-0.005814777,0.8570143580436707,0.21715724,-0.25539039835311994,43.28,18,9000,5.491125,-0.038695924
0.0040836832,0.037952,8095,950000,123.17250680923462,-0.005904619,0.8604083508253098,0.2140693,-0.2928892843329231,38.71,19,9500,5.476009,-0.03023481
0.004013102,0.037834,8320,1000000,129.90562057495117,-0.0060747224,0.874172106385231,0.20706762,-0.564444209320718,38.96,20,10000,5.4558506,-0.03351032
0.0038601616,0.035225995,8276,1050000,136.4012475013733,-0.005984802,0.877037525177002,0.22230253,-0.2764620150129122,42.18,21,10500,5.4388127,-0.033550747
0.004064263,0.03907399,7980,1100000,143.03955745697021,-0.0056747873,0.8749260008335114,0.21916269,-0.3239710022138388,36.89,22,11000,5.4332685,-0.031107498
0.004506586,0.044184007,8506,1150000,149.87982201576233,-0.0063230144,0.8836534768342972,0.19956607,-0.4001693199714646,39.52,23,11500,5.4201646,-0.030866174
0.0044543087,0.042268004,8101,1200000,156.3216917514801,-0.006259393,0.8886719048023224,0.21017049,-0.11220638979255454,38.94,24,12000,5.386983,-0.028341085
0.004102464,0.038392004,7924,1250000,163.1647665500641,-0.0057022683,0.8899827674031258,0.20004775,0.01350490271444869,35.18,25,12500,5.3602037,-0.029728016
0.0045304582,0.045151997,8294,1300000,170.13320589065552,-0.00608589,0.8907698169350624,0.2058107,-0.14346389538564835,37.19,26,13000,5.3350697,-0.027014215
0.004568192,0.045725998,8127,1350000,176.8361210823059,-0.006168958,0.8966034352779388,0.1890746,0.1607408621490322,38.18,27,13500,5.3116,-0.028147414
0.004269957,0.040843997,8093,1400000,183.52535891532898,-0.0061520524,0.8996021747589111,0.19396815,-0.12499976762403094,46.0,28,14000,5.279884,-0.029358178
0.004151417,0.04087,8244,1450000,190.1205551624298,-0.006459343,0.9125874862074852,0.17575617,0.2059203675512981,39.2,29,14500,5.2637434,-0.026014462
0.004497038,0.044843994,8241,1500000,196.80722379684448,-0.006196369,0.897275909781456,0.19916242,0.18335830050695223,40.52,30,15000,5.24427,-0.023523629
0.004216317,0.041512,8111,1550000,203.4060502052307,-0.0061193537,0.9069471508264542,0.18350595,0.27303183866468317,42.11,31,15500,5.230333,-0.020186521
0.004454494,0.045161992,7955,1600000,210.13976001739502,-0.0064176684,0.9082499593496323,0.18490307,0.008889853685977868,40.7,32,16000,5.213488,-0.02003896
0.004782621,0.049545992,8183,1650000,217.0356628894806,-0.006859442,0.9165448918938637,0.17594272,-0.22754842264352193,38.21,33,16500,5.187547,-0.022906557
