n_updates,policy_loss,policy_entropy,total_timesteps,approxkl,clipfrac,explained_variance,true_reward,ep_reward_mean,fps,value_loss,time_elapsed,ep_len_mean,serial_timesteps
71,-0.007583507,4.193792,3550000,0.0052054375,0.05689001,0.9301895797252655,0.030375838,1.8433638014399185,7911,0.32184505,472.4867424964905,44.17,35500
72,-0.0080697695,4.1753383,3600000,0.005517404,0.063142,0.9312608167529106,0.029991433,2.7466497463497217,8333,0.35366738,479.3076572418213,53.61,36000
73,-0.0078061516,4.16149,3650000,0.0051591666,0.056879986,0.9332717210054398,0.03346931,2.2260553112096386,8064,0.34514034,485.8684844970703,48.2,36500
74,-0.006876062,4.143559,3700000,0.0048004966,0.050672002,0.9271930679678917,0.029121783,1.7337148010241252,7933,0.35646725,492.49127864837646,45.48,37000
75,-0.007067958,4.114432,3750000,0.0050707506,0.054177996,0.9318469017744064,0.03496132,2.2100953498488525,8074,0.352668,499.36264276504517,52.1,37500
76,-0.007138363,4.0831795,3800000,0.0051082675,0.055146,0.93368049710989,0.036540613,3.5753210668230895,8132,0.3426602,506.2039613723755,55.72,38000
77,-0.007366451,4.0560923,3850000,0.0052879183,0.058444,0.9332409724593163,0.035433568,2.015979181175353,7946,0.33617842,512.8842957019806,47.02,38500
78,-0.008320237,4.030864,3900000,0.0055591976,0.064075984,0.9261209070682526,0.03966113,2.00336356803964,7701,0.34741986,519.7119498252869,47.48,39000
79,-0.008224034,4.007877,3950000,0.00527804,0.05872999,0.9320567026734352,0.03589749,2.2777207826903396,8020,0.35453126,526.8210713863373,49.83,39500
80,-0.0076741995,3.9790888,4000000,0.005609845,0.06344399,0.9372100606560707,0.03844615,2.323276845362561,8212,0.333569,533.6119401454926,52.41,40000
81,-0.008073463,3.9504893,4050000,0.0056321807,0.064749986,0.9345530495047569,0.033066537,2.21528518360552,8221,0.33055085,540.2815706729889,47.57,40500
82,-0.008026684,3.9312305,4100000,0.005480106,0.06262201,0.9431530982255936,0.03713928,2.0105372450746652,8230,0.33466733,546.9694995880127,45.6,41000
83,-0.008146513,3.919461,4150000,0.0053768065,0.061782,0.9388513527810574,0.043438368,2.5498486844150468,8203,0.33272925,553.472131729126,53.76,41500
84,-0.008211105,3.8946257,4200000,0.0057477267,0.066645995,0.9411468841135502,0.041070905,1.8198422898872377,7941,0.3439411,559.9764928817749,47.25,42000
85,-0.008174214,3.8647635,4250000,0.0056484453,0.064957984,0.9396234788000584,0.03955811,1.8577479656397191,7714,0.34290937,566.723256111145,45.89,42500
86,-0.0082841655,3.8358495,4300000,0.0054742913,0.060888004,0.9470044076442719,0.045837305,2.416548110973163,7995,0.3280074,573.752406835556,49.04,43000
87,-0.007554899,3.8113596,4350000,0.005398038,0.06041401,0.9421827383339405,0.04531274,1.955831478732689,7992,0.33430362,580.4798767566681,48.38,43500
88,-0.008473685,3.7893283,4400000,0.005658897,0.065654,0.9432250782847404,0.044230483,2.9509470307445738,7863,0.33114937,587.2686834335327,57.5,44000
89,-0.008110869,3.768705,4450000,0.0053815013,0.062127996,0.9485985562205315,0.044780552,2.7574372408968704,8197,0.3097325,594.1968381404877,50.53,44500
90,-0.007950206,3.7537634,4500000,0.0055057434,0.06341799,0.9470652565360069,0.04094195,3.104625704874343,8078,0.32612115,600.9171099662781,57.6,45000
91,-0.00742828,3.7351382,4550000,0.0054320395,0.061636,0.9424585476517677,0.048888486,3.3501225185384826,7777,0.33730796,607.5791149139404,55.37,45500
92,-0.0075907772,3.711977,4600000,0.005067536,0.056376003,0.9456482119858265,0.054168727,2.7736592707699312,7962,0.3410999,614.5308878421783,50.62,46000
93,-0.00788638,3.682486,4650000,0.0055066645,0.062778,0.9500590711832047,0.050000854,3.1973760436603333,7962,0.31719723,621.4430351257324,55.44,46500
