n_updates,clipfrac,true_reward,total_timesteps,value_loss,explained_variance,time_elapsed,approxkl,fps,ep_reward_mean,policy_entropy,policy_loss,serial_timesteps,ep_len_mean
1,0.024929995,-0.47527552,50000,31.52745,0.04414534568786621,0.0025572776794433594,0.0032883936,7651,-4.000893637199843,5.673692,-0.0039351596,500,26.43
2,0.025712002,-0.47152653,100000,29.85391,0.060871005058288574,7.295199871063232,0.0033219638,8080,-5.834419404961664,5.682074,-0.0035055622,1000,28.12
3,0.026766002,-0.46179178,150000,25.139135,0.1280091404914856,14.177616119384766,0.0034023735,7966,-4.9070243965205735,5.6833405,-0.004391597,1500,28.29
4,0.022510003,-0.45938456,200000,24.346287,0.15068286657333374,21.05536937713623,0.003050422,8145,-5.5620176629076745,5.6840334,-0.003458905,2000,28.35
5,0.024617998,-0.4608,250000,22.363203,0.20383089780807495,27.436620235443115,0.0033175976,8029,-4.306248151067411,5.6727624,-0.003595123,2500,25.07
6,0.015074001,-0.49399778,300000,86.48975,0.012235879898071289,34.27602410316467,0.0026948778,8365,-4.358332036178399,5.6644216,-0.002784476,3000,25.96
7,0.026448004,-0.4455609,350000,16.876474,0.32832837104797363,40.639086961746216,0.0032695436,7841,-4.926649467134539,5.668511,-0.0037479207,3500,28.99
8,0.029705996,-0.43884593,400000,15.4506645,0.37113505601882935,47.60420346260071,0.0035643887,8087,-3.79101130544087,5.6635103,-0.0038085175,4000,25.66
9,0.029086001,-0.4309004,450000,13.929327,0.4163082242012024,54.07332491874695,0.0034507206,8387,-3.922143162660941,5.6662335,-0.0037141172,4500,26.85
10,0.03556,-0.4303563,500000,12.462978,0.4526156187057495,60.61297559738159,0.003930401,8538,-3.936760940081076,5.666353,-0.0037487808,5000,27.3
11,0.030856004,-0.42688742,550000,11.8192625,0.4647805690765381,67.1125373840332,0.0035768438,8503,-3.9383907307249135,5.6615543,-0.004061034,5500,27.18
12,0.033972003,-0.4251784,600000,10.975743,0.48036593198776245,73.55915403366089,0.0038757757,8152,-4.0529318381179475,5.6596136,-0.004028076,6000,27.48
13,0.033724,-0.41629788,650000,10.198355,0.4740403890609741,80.31620121002197,0.003872843,8194,-4.615683853526043,5.658594,-0.004129055,6500,29.21
14,0.027486,-0.41340074,700000,9.236429,0.5052036941051483,87.00717806816101,0.0033566146,8324,-4.253391425471186,5.649214,-0.003505479,7000,27.71
15,0.035040002,-0.41579452,750000,8.483615,0.5395202338695526,93.49576497077942,0.004003852,8082,-4.237440965580827,5.632418,-0.00449612,7500,26.86
16,0.031996,-0.4030307,800000,7.7920275,0.5195941030979156,100.1987419128418,0.0036127851,8028,-3.650345902293616,5.6356616,-0.004241727,8000,27.71
17,0.024112003,-0.39421102,850000,6.9167967,0.5360287129878998,106.91103029251099,0.0031688998,8375,-4.3849761989295075,5.629684,-0.0034053354,8500,32.06
18,0.024296002,-0.40247986,900000,9.864392,0.30687302350997925,113.20309042930603,0.003232691,8244,-3.7697608440558987,5.6121125,-0.0031421802,9000,31.09
19,0.016954001,-0.42113727,950000,40.127106,0.035966336727142334,119.53029799461365,0.0025467107,8399,-3.997586160309493,5.6172194,-0.0021017066,9500,27.1
20,0.03671001,-0.3795641,1000000,5.3782697,0.5648710429668427,126.04138326644897,0.00397831,8156,-4.134149308378382,5.615357,-0.004790204,10000,32.85
21,0.030694006,-0.38125756,1050000,4.8433504,0.5801854431629181,132.46911931037903,0.0038468905,8260,-3.9929922323014626,5.594629,-0.0035600648,10500,29.11
22,0.031586006,-0.38162968,1100000,4.491376,0.5649600625038147,138.96874904632568,0.00363449,8340,-4.10015765862976,5.5826435,-0.0041737366,11000,27.55
23,0.034023996,-0.36697966,1150000,3.8193276,0.5814444422721863,145.18430066108704,0.003978274,8586,-3.988664957261644,5.572292,-0.004426484,11500,29.29
24,0.028175998,-0.3662749,1200000,3.8809893,0.5507721900939941,151.52273511886597,0.0036271578,8141,-3.4741337265149923,5.5606327,-0.003681678,12000,29.48
25,0.026226003,-0.35500854,1250000,3.417925,0.5875223278999329,158.04364275932312,0.0034632878,8197,-3.6920092734835634,5.539057,-0.0037123293,12500,31.64
26,0.031317994,-0.3685929,1300000,4.4996367,0.4724773168563843,164.5273940563202,0.0035806599,8317,-3.843142537697349,5.5202837,-0.004294758,13000,29.78
27,0.02998001,-0.36915296,1350000,4.8221107,0.39820587635040283,170.98991179466248,0.0034875,8094,-3.823055290568718,5.5210905,-0.0037983553,13500,34.22
28,0.023221998,-0.36138734,1400000,5.4310236,0.3416813611984253,177.70097613334656,0.0029860476,8354,-3.4794978221063504,5.5294905,-0.0029159968,14000,29.86
29,0.024294004,-0.36412388,1450000,5.2117214,0.32208359241485596,184.19677472114563,0.0031977994,8210,-3.4177033106866883,5.5305457,-0.0035876918,14500,32.78
30,0.030418003,-0.362325,1500000,5.371936,0.3240193724632263,190.88301515579224,0.0034805087,8445,-5.968694498144978,5.5275946,-0.0040257843,15000,42.22
31,0.033585995,-0.34702238,1550000,3.8266532,0.5195489227771759,197.31971096992493,0.0038160002,8660,-4.169120382953733,5.5246186,-0.0046229674,15500,38.73
32,0.03446001,-0.35493135,1600000,4.4859276,0.44162625074386597,203.64418816566467,0.0036858523,8403,-4.719962593724322,5.5288525,-0.004251168,16000,41.46
33,0.028744001,-0.35463175,1650000,5.4286366,0.39850765466690063,210.15991711616516,0.0035628632,8218,-5.725203775970512,5.527908,-0.003925541,16500,41.96
34,0.021286001,-0.36152706,1700000,8.524761,0.23909443616867065,216.75147223472595,0.0029214628,8399,-4.596214412132522,5.5212317,-0.0034491385,17000,43.0
35,0.027702,-0.36387125,1750000,10.057089,0.2030010223388672,223.35916256904602,0.0034023148,8421,-9.652517894706016,5.517682,-0.0045951996,17500,48.66
36,0.028011993,-0.36016437,1800000,16.394165,0.18601518869400024,229.77685952186584,0.0034203213,8473,-9.60300752403806,5.5227094,-0.003692408,18000,51.49
37,0.019264001,-0.44361824,1850000,76.17015,0.03556281328201294,236.19990587234497,0.00259113,8179,-12.13775276115547,5.539379,-0.0038125778,18500,50.02
38,0.023901997,-0.37407884,1900000,30.125095,0.10191553831100464,242.937828540802,0.0030339935,7965,-25.341266178359074,5.5659013,-0.003606841,19000,67.12
39,0.024492,-0.3635504,1950000,20.712801,0.2124650478363037,249.74458742141724,0.0031586925,8053,-14.834312633331306,5.585928,-0.004293399,19500,67.86
40,0.022933997,-0.40224737,2000000,36.40228,0.11380112171173096,256.6210262775421,0.0029179463,8361,-22.062533382008095,5.600525,-0.0033923916,20000,74.09
41,0.016411997,-0.4915553,2050000,160.87686,0.03674113750457764,263.18046283721924,0.0025440324,8141,-30.022319915359148,5.609758,-0.003191188,20500,68.81
42,0.018078,-0.4670786,2100000,115.799904,0.07964509725570679,269.902375459671,0.0026234118,8484,-18.03490576616041,5.6232677,-0.0033968783,21000,68.48
43,0.015164004,-0.5066864,2150000,127.2671,0.08178043365478516,276.2344448566437,0.0024512338,8068,-23.796320669645556,5.6435657,-0.0035874352,21500,77.5
44,0.020565996,-0.5182761,2200000,136.40848,0.10093873739242554,282.81142258644104,0.0027686758,8308,-36.50134246941589,5.6652546,-0.0038610345,22000,80.59
45,0.014779999,-0.5225822,2250000,153.21964,0.08851039409637451,289.34326100349426,0.0023623186,8319,-43.89389753423126,5.6894574,-0.0035738447,22500,84.81
46,0.018389998,-0.5855113,2300000,213.84464,0.08679348230361938,295.94435572624207,0.002412742,8235,-36.58241991910049,5.7097864,-0.0036107686,23000,68.94
47,0.01651,-0.48641026,2350000,123.43572,0.09501218795776367,302.4809775352478,0.0025118676,8134,-34.94196787629928,5.7311854,-0.00338246,23500,76.51
48,0.018972,-0.46022972,2400000,86.08497,0.14713674783706665,309.204726934433,0.0026742574,7950,-36.713812285680305,5.7489624,-0.0035669077,24000,85.6
49,0.013722002,-0.5635863,2450000,207.73389,0.11277931928634644,316.15760469436646,0.0021185938,8531,-25.47159075025367,5.770361,-0.0035388367,24500,77.34
50,0.016901998,-0.6593246,2500000,308.51434,0.09477806091308594,322.5900158882141,0.0024502291,8139,-41.58842323043058,5.7956777,-0.0032731153,25000,88.09
51,0.014294001,-0.59871787,2550000,192.5281,0.1526395082473755,329.2925407886505,0.0023779392,7968,-41.47898275178302,5.7970586,-0.0032700526,25500,85.64
52,0.0134919975,-0.54880804,2600000,171.71646,0.15935897827148438,336.1695647239685,0.002208637,8028,-24.454235155828645,5.8039403,-0.002990669,26000,70.42
53,0.014478002,-0.5923928,2650000,220.90926,0.14330458641052246,342.9062068462372,0.0021679148,8250,-31.57109111975131,5.827541,-0.0034918818,26500,83.39
54,0.016611999,-0.48649722,2700000,124.68359,0.18970072269439697,349.54958510398865,0.0026166055,8181,-24.89168896065769,5.8474665,-0.002740047,27000,78.27
55,0.015602002,-0.50212806,2750000,154.0966,0.19131076335906982,356.2597918510437,0.0025129041,7991,-45.90026352299274,5.849191,-0.0027502826,27500,98.49
56,0.015452001,-0.5591796,2800000,181.72261,0.1925067901611328,363.064062833786,0.0022477936,8195,-35.073633513115894,5.860133,-0.0031403168,28000,94.01
57,0.012958001,-0.52156675,2850000,149.01913,0.20111876726150513,369.6886441707611,0.0022407053,8424,-28.905908462230624,5.879774,-0.0032775728,28500,92.69
58,0.012564,-0.6647924,2900000,279.89932,0.17372852563858032,375.8413782119751,0.002136857,8362,-33.39672650646893,5.897447,-0.0032358023,29000,88.41
59,0.012149999,-0.50334907,2950000,125.01877,0.2251942753791809,382.4210317134857,0.0019974764,8407,-24.781886411962095,5.911948,-0.0024877181,29500,81.78
60,0.015582001,-0.4763909,3000000,139.07217,0.20541495084762573,388.95077109336853,0.0021635254,8362,-18.25214220828486,5.927908,-0.003274476,30000,79.6
61,0.015736,-0.5824381,3050000,226.87035,0.191802978515625,395.49706053733826,0.0022295024,8505,-43.88832552072965,5.952933,-0.0030890743,30500,97.33
62,0.013871998,-0.45605052,3100000,103.86265,0.2480209469795227,401.984007358551,0.0022896037,8457,-32.06431255968108,5.9794703,-0.0032659874,31000,106.31
63,0.016398,-0.57597554,3150000,189.01604,0.2378482222557068,408.2796983718872,0.002482052,8273,-53.475668190163105,5.9895935,-0.0036221596,31500,117.8
64,0.012564,-0.5440893,3200000,198.88414,0.23098856210708618,414.89012455940247,0.002250157,8242,-21.338297919760734,6.0041656,-0.0033176255,32000,90.59
65,0.01481,-0.4747194,3250000,134.17926,0.25162917375564575,421.3980026245117,0.0022921576,8146,-36.04022391376517,6.008841,-0.0034341428,32500,112.75
66,0.016956,-0.5006963,3300000,189.30191,0.24401766061782837,428.0250508785248,0.0025943955,8110,-50.23189977408053,6.000623,-0.0030522435,33000,123.16
67,0.017935999,-0.4548534,3350000,96.1664,0.31308889389038086,434.7962703704834,0.002600192,7897,-51.262143605171374,6.0045104,-0.003249795,33500,104.98
68,0.016549999,-0.3055516,3400000,19.035088,0.5581043362617493,441.65359568595886,0.0024756356,8320,-19.25394051912812,6.0119977,-0.002584975,34000,143.05
69,0.015774,-0.32930887,3450000,39.955856,0.44961655139923096,448.208598613739,0.0024800894,7986,-23.982196439338693,6.0221386,-0.0028500184,34500,135.07
70,0.02464,-0.28020316,3500000,10.217711,0.6895363032817841,454.87386870384216,0.0029832118,7903,-18.511820238987912,6.032351,-0.0034776158,35000,159.49
71,0.017834002,-0.26378846,3550000,32.87918,0.44139713048934937,461.72083735466003,0.002657455,8306,-9.423470073203893,6.0367427,-0.0026827909,35500,163.56
72,0.055512,-0.20825113,3600000,1.8289979,0.8946820497512817,468.29841661453247,0.005033597,8418,-6.5955344041458055,6.0172787,-0.006175416,36000,177.64
73,0.044643994,-0.16822888,3650000,0.86753434,0.9551358930766582,474.8124797344208,0.004406039,8072,1.3056054388388305,5.992343,-0.0061742426,36500,232.82
74,0.047155995,-0.11202051,3700000,0.9535599,0.9557872451841831,481.51661682128906,0.004481003,7910,5.532638216182531,5.959867,-0.0069067287,37000,311.7
75,0.057129983,-0.09647905,3750000,0.84963053,0.9691127575933933,488.3410370349884,0.005318493,8302,11.949813052343325,5.909761,-0.0068863463,37500,330.8
